source,target,,,,
ANAPC11,PSMA3,,,,
ANAPC11,PSMA4,,,,
ANAPC11,PSMA5,,,,
ANAPC11,PSMA6,,,,
ANAPC11,PSMA7,,,,
ANAPC11,PSMB1,,,,
ANAPC11,PSMB10,,,,
ANAPC11,PSMB2,,,,
ANAPC11,PSMB3,,,,
ANAPC11,PSMB4,,,,
ANAPC11,PSMB5,,,,
ANAPC11,PSMB6,,,,
ANAPC11,PSMB7,,,,
ANAPC11,PSMC1,,,,
ANAPC11,PSMC2,,,,
ANAPC11,PSMC3,,,,
ANAPC11,PSMC4,,,,
ANAPC11,PSMC5,,,,
ANAPC11,PSMC6,,,,
ANAPC11,PSMD10,,,,
ANAPC11,PSMD11,,,,
ANAPC11,PSMD12,,,,
ANAPC11,PSMD13,,,,
ANAPC11,PSMD14,,,,
ANAPC11,PSMD3,,,,
ANAPC11,PSMD4,,,,
ANAPC11,PSMD5,,,,
ANAPC11,PSMD6,,,,
ANAPC11,PSMD7,,,,
ANAPC11,PSMD8,,,,
ANAPC11,PSMD9,,,,
ANAPC11,PSME1,,,,
ANAPC11,PSME2,,,,
ANAPC11,PSME3,,,,
ANAPC11,PSME4,,,,
ANAPC11,PSMF1,,,,
ANAPC11,PTTG1,,,,
ANAPC11,PTTG2,,,,
ANAPC11,RBX1,,,,
ANAPC11,RELA,,,,
ANAPC11,RNF2,,,,
ANAPC11,RNF7,,,,
ANAPC11,RPN1,,,,
ANAPC11,RPN2,,,,
ANAPC11,SKP1,,,,
ANAPC11,SKP2,,,,
ANAPC11,UBC,,,,
ANAPC11,UBE2C,,,,
ANAPC11,UBE2D1,,,,
ANAPC11,UBE2D3,,,,
ANAPC11,UBE2E1,,,,
ANAPC11,UBE2K,,,,
ANAPC11,UBE2S,,,,
ANAPC11,WDFY1,,,,
ANAPC11,WDFY2,,,,
CCT4,ACTG1,,,,
CCT4,CCT2,,,,
CCT4,CCT3,,,,
CCT4,CCT4,,,,
CCT4,CCT5,,,,
CCT4,CCT6A,,,,
CCT4,CCT7,,,,
CCT4,CCT8,,,,
CCT4,COP1,,,,
CCT4,FARS2,,,,
CCT4,GCN1,,,,
CCT4,GRPEL1,,,,
CCT4,GRPEL2,,,,
CCT4,HSP90AA4P,,,,
CCT4,HSPA4,,,,
CCT4,HSPE1,,,,
CCT4,MKKS,,,,
CCT4,P4HB,,,,
CCT4,PDCL3,,,,
CCT4,PEX19,,,,
CCT4,PFDN1,,,,
CCT4,PFDN2,,,,
CCT4,PFDN4,,,,
CCT4,PFDN5,,,,
CCT4,PPP2CB,,,,
CCT4,PPP4C,,,,
CCT4,RPSA,,,,
CCT4,SSR1,,,,
CCT4,STK3,,,,
CCT4,STRN,,,,
CCT4,STRN3,,,,
CCT4,STRN4,,,,
CCT4,TARBP1,,,,
CCT4,TCP1,,,,
CCT4,TUBA1B,,,,
CCT4,TUBA1C,,,,
CCT4,TUBA4A,,,,
CCT4,TUBB2A,,,,
CCT4,TUBB4A,,,,
CCT4,TUBB4B,,,,
CCT4,TUBB6,,,,
CCT4,TXNL1,,,,
CCT4,UBC,,,,
CCT7,ACTG1,,,,
CCT7,ATG16L1,,,,
CCT7,CCT2,,,,
CCT7,CCT3,,,,
CCT7,CCT4,,,,
CCT7,CCT5,,,,
CCT7,CCT6A,,,,
CCT7,CCT7,,,,
CCT7,CCT8,,,,
CCT7,EEF1G,,,,
CCT7,FARS2,,,,
CCT7,GMPS,,,,
CCT7,GRPEL1,,,,
CCT7,GRPEL2,,,,
CCT7,HSP90AA4P,,,,
CCT7,HSP90AB2P,,,,
CCT7,HSPA8,,,,
CCT7,HSPA9,,,,
CCT7,HSPE1,,,,
CCT7,HSPH1,,,,
CCT7,MIR3652,,,,
CCT7,MOB4,,,,
CCT7,PAN2,,,,
CCT7,PFDN1,,,,
CCT7,PFDN2,,,,
CCT7,PFDN4,,,,
CCT7,PFDN5,,,,
CCT7,PPP2CB,,,,
CCT7,PPP4C,,,,
CCT7,RPL5,,,,
CCT7,STK3,,,,
CCT7,STRN,,,,
CCT7,STRN3,,,,
CCT7,STRN4,,,,
