"","source","target"
"197","ANAPC11","PSMA5"
"198","ANAPC11","PSMA6"
"199","ANAPC11","PSMA7"
"200","ANAPC11","PSMB1"
"201","ANAPC11","PSMB10"
"202","ANAPC11","PSMB2"
"203","ANAPC11","PSMB3"
"204","ANAPC11","PSMB4"
"205","ANAPC11","PSMB5"
"206","ANAPC11","PSMB6"
"207","ANAPC11","PSMB7"
"208","ANAPC11","PSMC1"
"209","ANAPC11","PSMC2"
"210","ANAPC11","PSMC3"
"211","ANAPC11","PSMC4"
"212","ANAPC11","PSMC5"
"213","ANAPC11","PSMC6"
"214","ANAPC11","PSMD10"
"215","ANAPC11","PSMD11"
"216","ANAPC11","PSMD12"
"217","ANAPC11","PSMD13"
"218","ANAPC11","PSMD14"
"219","ANAPC11","PSMD3"
"220","ANAPC11","PSMD4"
"221","ANAPC11","PSMD5"
"222","ANAPC11","PSMD6"
"223","ANAPC11","PSMD7"
"224","ANAPC11","PSMD8"
"225","ANAPC11","PSMD9"
"226","ANAPC11","PSME1"
"227","ANAPC11","PSME2"
"228","ANAPC11","PSME3"
"229","ANAPC11","PSME4"
"230","ANAPC11","PSMF1"
"231","ANAPC11","PTTG1"
"232","ANAPC11","PTTG2"
"233","ANAPC11","RBX1"
"234","ANAPC11","RELA"
"235","ANAPC11","RNF2"
"236","ANAPC11","RNF7"
"237","ANAPC11","RPN1"
"238","ANAPC11","RPN2"
"239","ANAPC11","SKP1"
"240","ANAPC11","SKP2"
"241","ANAPC11","UBC"
"242","ANAPC11","UBE2C"
"243","ANAPC11","UBE2D1"
"244","ANAPC11","UBE2D3"
"245","ANAPC11","UBE2E1"
"246","ANAPC11","UBE2K"
"247","ANAPC11","UBE2S"
"248","ANAPC11","WDFY1"
"249","ANAPC11","WDFY2"
"250","CCT4","ACTG1"
"251","CCT4","CCT2"
"252","CCT4","CCT3"
"253","CCT4","CCT5"
"254","CCT4","CCT6A"
"255","CCT4","CCT7"
"256","CCT4","CCT8"
"257","CCT4","COP1"
"258","CCT4","FARS2"
"259","CCT4","GCN1"
"260","CCT4","GRPEL1"
"261","CCT4","GRPEL2"
"262","CCT4","HSP90AA4P"
"263","CCT4","HSPA4"
"264","CCT4","HSPE1"
"265","CCT4","MKKS"
"266","CCT4","P4HB"
"267","CCT4","PDCL3"
"268","CCT4","PEX19"
"269","CCT4","PFDN1"
"270","CCT4","PFDN2"
"271","CCT4","PFDN4"
"272","CCT4","PFDN5"
"273","CCT4","PPP2CB"
"274","CCT4","PPP4C"
"275","CCT4","RPSA"
"276","CCT4","SSR1"
"277","CCT4","STK3"
"278","CCT4","STRN"
"279","CCT4","STRN3"
"280","CCT4","STRN4"
"281","CCT4","TARBP1"
"282","CCT4","TCP1"
"283","CCT4","TUBA1B"
"284","CCT4","TUBA1C"
"285","CCT4","TUBA4A"
"286","CCT4","TUBB2A"
"287","CCT4","TUBB4A"
"288","CCT4","TUBB4B"
"289","CCT4","TUBB6"
"290","CCT4","TXNL1"
"291","CCT4","UBC"
"292","CCT7","ACTG1"
"293","CCT7","ATG16L1"
"294","CCT7","CCT2"
"295","CCT7","CCT3"
"296","CCT7","CCT4"
"297","CCT7","CCT5"
"298","CCT7","CCT6A"
"299","CCT7","CCT8"
"300","CCT7","EEF1G"
"301","CCT7","FARS2"
"302","CCT7","GMPS"
"303","CCT7","GRPEL1"
"304","CCT7","GRPEL2"
"305","CCT7","HSP90AA4P"
"306","CCT7","HSP90AB2P"
"307","CCT7","HSPA8"
"308","CCT7","HSPA9"
"309","CCT7","HSPE1"
"310","CCT7","HSPH1"
"311","CCT7","MIR3652"
"312","CCT7","MOB4"
"313","CCT7","PAN2"
"314","CCT7","PFDN1"
"315","CCT7","PFDN2"
"316","CCT7","PFDN4"
"317","CCT7","PFDN5"
"318","CCT7","PPP2CB"
"319","CCT7","PPP4C"
"320","CCT7","RPL5"
"321","CCT7","STK3"
"322","CCT7","STRN"
"323","CCT7","STRN3"
"324","CCT7","STRN4"
"325","CCT7","TCP1"
"326","CCT7","TRIM28"
"327","CCT7","TUBA1B"
"328","CCT7","TUBA1C"
"329","CCT7","TUBA4A"
"330","CCT7","TUBB2A"
"331","CCT7","TUBB4A"
"332","CCT7","TUBB4B"
"333","CCT7","TUBB6"
"334","CCT7","UBC"
"335","COX6A1","COA6"
"336","COX6A1","COX4I1"
"337","COX6A1","COX5A"
"338","COX6A1","COX5B"
"339","COX6A1","COX6B1"
"340","COX6A1","COX6C"
"341","COX6A1","COX7A2L"
"342","COX6A1","COX7C"
"343","COX6A1","COX8A"
"344","COX6A1","CYC1"
"345","COX6A1","CYCS"
"346","COX6A1","MT-CO1"
"347","COX6A1","MT-CO2"
"348","COX6A1","MT-CO3"
"349","COX6A1","MT-CYB"
"350","COX6A1","NDUFA13"
"351","COX6A1","NDUFA4"
"352","COX6A1","NDUFA5"
"353","COX6A1","NDUFA6"
"354","COX6A1","NDUFA7"
"355","COX6A1","NDUFA8"
"356","COX6A1","NDUFAB1"
"357","COX6A1","NDUFB10"
"358","COX6A1","NDUFB11"
"359","COX6A1","NDUFB5"
"360","COX6A1","NDUFB7"
"361","COX6A1","NDUFB8"
"362","COX6A1","NDUFB9"
"363","COX6A1","NDUFS3"
"364","COX6A1","NDUFS6"
"365","COX6A1","NDUFV2"
"366","COX6A1","PMPCB"
"367","COX6A1","SDHC"
"368","COX6A1","SDHD"
"369","COX6A1","UQCR10"
"370","COX6A1","UQCRB"
"371","COX6A1","UQCRC1"
"372","COX6A1","UQCRC2"
"373","COX6A1","UQCRFS1P1"
"374","COX6A1","UQCRHL"
"375","COX6A1","UQCRQ"
"376","CPSF6","CLP1"
"377","CPSF6","CPSF1"
"378","CPSF6","CPSF2"
"379","CPSF6","CPSF3"
"380","CPSF6","CPSF7"
"381","CPSF6","CSTF2"
"382","CPSF6","HNRNPK"
"383","CPSF6","MAX"
"384","CPSF6","NUDT21"
"385","CPSF6","NUP107"
"386","CPSF6","NXF1"
"387","CPSF6","PCF11"
"388","CPSF6","TNPO3"
"389","DDX17","BYSL"
"390","DDX17","DCP2"
"391","DDX17","DDX5"
"392","DDX17","DDX56"
"393","DDX17","DGCR8"
"394","DDX17","DHX9"
"395","DDX17","EP300"
"396","DDX17","FBL"
"397","DDX17","GMPS"
"398","DDX17","GNL2"
"399","DDX17","GNL3"
"400","DDX17","GTPBP4"
"401","DDX17","HDAC1"
"402","DDX17","HNRNPA1"
"403","DDX17","HRH1"
"404","DDX17","ILF3"
"405","DDX17","MAGOH"
"406","DDX17","MIS12"
"407","DDX17","NAT10"
"408","DDX17","NCOA2"
"409","DDX17","NOP2"
"410","DDX17","NOP56"
"411","DDX17","NOP58"
"412","DDX17","PCNA"
"413","DDX17","PDCD11"
"414","DDX17","PWP1"
"415","DDX17","RPA2"
"416","DDX17","RPF2"
"417","DDX17","RRP12"
"418","DDX17","SF1"
"419","DDX17","SRA1"
"420","DDX17","SREK1"
"421","DDX17","SRSF1"
"422","DDX17","TFF1"
"423","DDX17","TP53"
"424","DDX17","U2AF2"
"425","DDX17","UBC"
"426","DDX17","ZWINT"
"427","DHX9","AGO2"
"428","DHX9","AKAP8L"
"429","DHX9","ALYREF"
"430","DHX9","CCAR1"
"431","DHX9","CCND1"
"432","DHX9","CD2BP2"
"433","DHX9","CDC40"
"434","DHX9","CHUK"
"435","DHX9","CLP1"
"436","DHX9","CPSF2"
"437","DHX9","CPSF3"
"438","DHX9","CPSF7"
"439","DHX9","CREBBP"
"440","DHX9","CSDE1"
"441","DHX9","CSTF1"
"442","DHX9","CSTF2"
"443","DHX9","CSTF3"
"444","DHX9","DDX17"
"445","DHX9","DDX20"
"446","DHX9","DDX21"
"447","DHX9","DDX23"
"448","DHX9","DDX5"
"449","DHX9","DHX38"
"450","DHX9","DICER1"
"451","DHX9","DNAJC8"
"452","DHX9","EFTUD2"
"453","DHX9","EGFR"
"454","DHX9","EMB"
"455","DHX9","FLI1"
"456","DHX9","FUS"
"457","DHX9","GTF2F1"
"458","DHX9","GTF2F2"
"459","DHX9","HEXIM1"
"460","DHX9","HNRNPA0"
"461","DHX9","HNRNPA1"
"462","DHX9","HNRNPA2B1"
"463","DHX9","HNRNPA3"
"464","DHX9","HNRNPC"
"465","DHX9","HNRNPD"
"466","DHX9","HNRNPF"
"467","DHX9","HNRNPH1"
"468","DHX9","HNRNPK"
"469","DHX9","HNRNPL"
"470","DHX9","HNRNPM"
"471","DHX9","HNRNPR"
"472","DHX9","HNRNPU"
"473","DHX9","HNRNPUL1"
"474","DHX9","IKBKB"
"475","DHX9","ILF2"
"476","DHX9","ILF3"
"477","DHX9","KHDRBS1"
"478","DHX9","MAGOH"
"479","DHX9","MYD88"
"480","DHX9","NCBP1"
"481","DHX9","NCBP2"
"482","DHX9","NFAT5"
"483","DHX9","NFKB1"
"484","DHX9","NFKB2"
"485","DHX9","NFKBIA"
"486","DHX9","NFKBIB"
"487","DHX9","NFX1"
"488","DHX9","NRAS"
"489","DHX9","NUDT21"
"490","DHX9","NXF1"
"491","DHX9","PABPN1"
"492","DHX9","PAPOLA"
"493","DHX9","PCBP1"
"494","DHX9","PCBP2"
"495","DHX9","PCF11"
"496","DHX9","PCNA"
"497","DHX9","PHF5A"
"498","DHX9","POLR2A"
"499","DHX9","POLR2B"
"500","DHX9","POLR2C"
"501","DHX9","POLR2E"
"502","DHX9","POLR2F"
"503","DHX9","POLR2G"
"504","DHX9","POLR2H"
"505","DHX9","POLR2I"
"506","DHX9","POLR2J"
"507","DHX9","POLR2K"
"508","DHX9","POLR2L"
"509","DHX9","PRKDC"
"510","DHX9","PRMT1"
"511","DHX9","PRPF4"
"512","DHX9","PRPF6"
"513","DHX9","PRPF8"
"514","DHX9","PTBP1"
"515","DHX9","RBM5"
"516","DHX9","RBMX"
"517","DHX9","RBP4"
"518","DHX9","RELA"
"519","DHX9","RNPS1"
"520","DHX9","SF3A1"
"521","DHX9","SF3A3"
"522","DHX9","SF3B1"
"523","DHX9","SF3B3"
"524","DHX9","SF3B5"
"525","DHX9","SNRNP200"
"526","DHX9","SNRNP40"
"527","DHX9","SNRNP70"
"528","DHX9","SNRPA"
"529","DHX9","SNRPA1"
"530","DHX9","SNRPB"
"531","DHX9","SNRPB2"
"532","DHX9","SNRPD1"
"533","DHX9","SNRPD2"
"534","DHX9","SNRPD3"
"535","DHX9","SNRPE"
"536","DHX9","SNRPF"
"537","DHX9","SNRPG"
"538","DHX9","SNU13"
"539","DHX9","SP100"
"540","DHX9","SRRM1"
"541","DHX9","SRSF1"
"542","DHX9","SRSF11"
"543","DHX9","SRSF2"
"544","DHX9","SRSF3"
"545","DHX9","SRSF4"
"546","DHX9","SRSF5"
"547","DHX9","SRSF6"
"548","DHX9","SRSF7"
"549","DHX9","SRSF9"
"550","DHX9","SSRP1"
"551","DHX9","STAT3"
"552","DHX9","STAU1"
"553","DHX9","SUGP1"
"554","DHX9","SYNCRIP"
"555","DHX9","TOP2A"
"556","DHX9","TXNL4A"
"557","DHX9","U2AF1L4"
"558","DHX9","U2AF2"
"559","DHX9","UBC"
"560","DHX9","UPF3B"
"561","DHX9","WRN"
"562","DHX9","XRCC5"
"563","DHX9","YBX1"
"564","DHX9","ZBP1"
"565","EIF1AX","DHX29"
"566","EIF1AX","EIF1"
"567","EIF1AX","EIF1B"
"568","EIF1AX","EIF2S1"
