Names	total	elements
		UBXN7
		PRKCD
		MRPL15
		VPS41
		NDUFB4
		RBMS2
		UQCRHL
		DHX15
		CNOT6
		LSM10
		UBE2L6
		HLF
		RPS13
		SUN1
		WDR12
		RPSA
		XPC
		GSTP1
		TCF4
		NOP58
		MT-CYB
		STAT5A
		NRAS
		AURKA
		RPL22L1
		PABPC3
		EGR1
		PTPN2
		SF3A3
		HDAC9
		DNAJC3
		IL27RA
		MT-ND2
		COP1
		RPS8
		TUBA1B
		TRMT6
		PSMC6
		ABCB1
		PSMD5
		RPL4
		MAD2L1
		EIF4A3
		SSR3
		PRPF3
		RPS21
		PPP3CC
		PIM1
		ALYREF
		PSMF1
		NFE2L2
		RNF2
		NEK6
		NR3C1
		KLF4
		HEXIM1
		PIK3C2A
		YWHAZ
		DNAJC7
		LMO4
		HDAC3
		RPL10
		PFKL
		MRPS18A
		TCEA2
		HCK
		PPP1CC
		AURKB
		YY1
		FLOT2
		SLBP
		MTOR
		PRPF39
		SRP68
		USP4
		LSM3
		ANKRD42
		RPS2
		NDUFS2
		CDC37L1
		SSRP1
		CCT4
		BNIP3
		SNRPE
		VMP1
		NDUFA13
		SPCS3
		EIF4E2
		MRPS7
		FES
		MAPK14
		DYNLL2
		GTF2F2
		TPT1
		NHP2
		ZNRD1
		FAU
		CEBPD
		VPS39
		EIF2S3
		GRWD1
		CTSB
		RPL7
		DCTN1
		MRRF
		RAD1
		TNF
		TNKS2
		MRTO4
		SIRT2
		LCK
		LUC7L
		DDX39A
		C1QBP
		RAF1
		NDUFB8
		PRPF6
		SMG8
		HNRNPA0
		FURIN
		PGAM1
		IKBKG
		IL23A
		RPLP0P6
		PCBP1
		CPSF3
		TCP1
		BRCC3
		ERCC1
		BLM
		AGO2
		RPS10-NUDT3
		CREBBP
		SENP6
		SMAD7
		PARK7
		WBP1
		MAP2K2
		PSMC4
		RPN1
		EIF3D
		ZBTB16
		RNF7
		NOP10
		PSMB2
		SUGT1
		PGM1
		MIR3652
		SNRPC
		SNRPD1
		SUMO3
		UQCRB
		PSMD8
		MAP1LC3B
		DNAJB4
		PCNA
		ABCE1
		LDHA
		RAD52
		CYC1
		RPL22
		EGLN1
		FHIT
		NUP85
		MRPL20
		EIF2S1
		RWDD3
		HELZ2
		JAK2
		CHUK
		RAB5A
		TERF2
		PHC2
		CASP1
		STAT3
		ISCU
		CD2AP
		SMN2
		ARSB
		RPS26
		BARD1
		RGPD2
		PHGDH
		CTBP1
		RUVBL1
		THOC1
		APAF1
		NOP16
		RPS29
		RANBP1
		THOC7
		NDUFA4
		MT-ND4
		PTGS2
		SDHD
		OSM
		UBE2D3
		GFM1
		PLRG1
		NELFCD
		SAT2
		SPEN
		CTNNB1
		NDUFB5
		NUP133
		MT-CO3
		GRPEL2
		IL21R
		STK3
		HNRNPK
		CCNK
		HK1
		DNMT3A
		CNOT7
		CDC26
		CDC42
		LRPPRC
		IL18
		VPS16
		BAG3
		SLC7A6OS
		CCND1
		RRS1
		TNKS
		PRKDC
		CCL4
		RBX1
		KDM6B
		PSMD12
		GABARAPL1
		MADD
		ATM
		HSCB
		ACLY
		SUGP1
		HNRNPUL1
		PFKFB3
		BCS1L
		NFAT5
		PARD6A
		SIN3A
		GCH1
		STRN3
		PRMT1
		TXNL1
		FLI1
		MRPS9
		ANAPC1
		RPL39
		PPIB
		SRRT
		SNRPG
		CUL3
		RPL17
		PPIA
		EIF3F
		CASP7
		RABAC1
		ERLEC1
		DNAJC4
		CDC20
		ITGB2
		UQCRQ
		NTPCR
		FTSJ3
		NDUFB6
		UBE2K
		HIPK3
		KAT5
		MDH2
		BCL6
		SMAD4
		TXNL4A
		TBP
		NXF1
		SOCS4
		PSMB8
		VEGFA
		EEF1B2
		STAT6
		ZWINT
		DKC1
		TRUB1
		ELL
		DNAJC18
		RPSAP58
		MRPL17
		ERCC3
		APEX1
		TFRC
		TUFM
		RPL6
		MRPL11
		TINF2
		DNAJB6
		SF3B5
		PTPA
		SUN2
		MYC
		NAA15
		PFDN5
		RPS4Y1
		SUPT16H
		ILF3
		CCNT2
		SOCS3
		RNPC3
		RPL30
		TIMP1
		NUP50
		DYNC1I2
		SPCS1
		MRPS18C
		RPLP2
		SRP19
		RPS24
		ADRM1
		ZBP1
		MGMT
		RPL27
		MT-ND6
		RPL24
		YES1
		VCP
		MAP3K1
		DIMT1
		CNOT10
		ALDOA
		SMG1
		MT-ND1
		SRSF3
		LAMA5
		EIF3H
		GSK3B
		ARNTL
		WDFY1
		FOXO1
		NDUFV2
		BLK
		MCL1
		PSMA5
		KPNA1
		FARS2
		PRNP
		NNMT
		PSMC1
		SHMT1
		PIAS1
		NCOA6
		STAT1
		SRP9
		RPL36AL
		ZC3H14
		CNOT2
		PTTG1
		SRSF4
		RBMXL1
		DCTN6
		SEC61A1
		PSME4
		UPF1
		CTDP1
		PTBP1
		ANAPC10
		TARBP1
		SNW1
		NME4
		BATF
		CDC40
		SLC2A1
		PSME1
		CWC25
		PSMD14
		MKKS
		PTGER4
		STAG3
		ETF1
		RPF2
		EIF4G1
		INTS5
		HNRNPC
		MRPL22
		ISG15
		UBE2D1
		SF1
		LSM7
		NUP210
		RAB11B
		CASP3
		ISY1
		SRRM1
		ELOC
		DNAJB11
		PABPN1
		NAP1L1
		NDUFB3
		CNOT9
		CUL1
		PARP1
		SIAH1
		CHTOP
		POT1
		DHX9
		COX6A1
		CCT7
		EIF4B
		CLK1
		RPS15
		PRPF40A
		NUP35
		YBX1
		PSMA2
		IRF4
		PRKCE
		PSMA4
		PHF5A
		VPS26B
		DGCR8
		ZC3H13
		CCDC174
		DUSP12
		THOC3
		FASLG
		BUB3
		GFM2
		RPL26
		NDUFB10
		NUDT2
		CDC27
		DCTN4
		PIK3R4
		RGPD4
		PSMD9
		WDTC1
		NDUFV3
		HNRNPH1
		TUBA4A
		ME2
		CITED2
		SLC39A4
		TBL1X
		EEF2
		MRPS10
		SIAH2
		TYROBP
		ADSS2
		NIP7
		HNRNPD
		POLR3A
		EIF4E
		PRPF4
		RCOR1
		MKNK2
		U2AF2
		MYD88
		SMAD2
		PTPN1
		PML
		CCS
		SOCS7
		EIF5B
		TUBB2A
		RPL36
		EMB
		TRAF6
		UBE2S
		ANAPC11
		PPARA
		RACK1
		DVL3
		NIFK
		MRPL32
		SLC2A14
		SRP14
		PTPRD
		PIAS2
		CDK9
		IL2RA
		PHC1
		NSF
		PPP3CB
		DDIT4
		DNAJA2
		GTF2H1
		SRSF7
		EIF1B
		LSM6
		SMURF1
		NAMPT
		CHM
		COPS5
		RAD23A
		CSTF2
		ELOA
		HDAC4
		LYN
		RPS6
		MRPL3
		POMP
		RBP4
		CBX4
		AHSA1
		BLMH
		TFB2M
		NDUFB7
		NME2
		SP100
		CPSF1
		COX6B1
		IL10
		MAP2K5
		PRMT5
		NUP188
		RPS20
		NOP56
		MAPK1
		LAMB1
		PYGL
		NPEPPS
		UQCR10
		HNRNPA2B1
		RPL21
		HIC1
		SENP2
		MTA3
		PSMB7
		EFL1
		ALOX5AP
		DNMT1
		SNRPA1
		TAF13
		SHQ1
		GTF2A2
		TACC1
		PPP3R1
		PCF11
		NELFA
		EIF5
		SEM1
		MYSM1
		SPI1
		DYNC1LI1
		MDM2
		SF3A1
		EIF3A
		TPP1
		POLR2K
		HNRNPF
		EGFR
		IKBKB
		NME7
		UBE2C
		TYK2
		NDRG1
		SP1
		RPL5
		HSPA9
		GTPBP4
		LSM5
		RRP1
		GTF2F1
		MAPKAPK3
		RPS15A
		SOD1
		TAF1
		S1PR1
		SRSF10
		PIK3CA
		FXYD5
		TWISTNB
		TNPO3
		CKLF
		CCNB2
		POLR2F
		NR4A1
		NUP160
		ERBB3
		RPL15
		CREB1
		SRPK2
		NAA38
		SYK
		DDX3Y
		RPS3A
		LGALS3
		NDUFV1
		ITPA
		IFNG
		FOS
		DHX38
		MRPS5
		SAP18
		HSPA5
		JUNB
		TUBB6
		CPSF6
		RALA
		XPA
		PFDN1
		RPL34
		MED1
		STAT5B
		RPS12
		PRPF8
		PSMD6
		PABPC4
		SSB
		DDX6
		PPP2R1A
		RPL28
		HNRNPM
		SRSF1
		SEC61G
		RPA1
		ACTR1B
		PLEKHM1
		CCNT1
		DYNLL1
		RPL18A
		ANAPC16
		TCERG1
		TBL1XR1
		HK2
		MRPL2
		OS9
		CTPS1
		MT-ND3
		KLHL12
		NCBP2
		TOP2A
		KLHL8
		UBE2E1
		MAPK8
		EIF3J
		GADD45GIP1
		SYNCRIP
		DNAJC8
		PPIF
		HSPBP1
		SRP54
		SF3B1
		DNAAF2
		ICAM1
		RECK
		RPL3
		NOB1
		TUBA1C
		ABL1
		MAPK3
		NCOR1
		RBM22
		PSMA7
		GZMB
		TUBG1
		CCNE2
		NCBP1
		SNRPN
		MSI2
		HDAC2
		DAXX
		CWC22
		STIP1
		SRPRB
		PLEC
		PSMB4
		USP33
		SMG5
		IL6ST
		SART1
		TAF11
		PAAF1
		DNAJB9
		ETS1
		CCT3
		DCP2
		EDC4
		NDUFA1
		RPL18
		HSPE1
		SYNE1
		MLST8
		POLR1D
		RBM5
		NCL
		PSMB5
		KRR1
		EIF4EBP1
		PSMD10
		FER
		NCOA1
		GTF2B
		U2AF1L4
		SSR2
		WDR44
		PMPCB
		HRH1
		DNM2
		EHMT1
		HNF4A
		EIF3C
		FRK
		SUZ12
		GCN1
		IKBKE
		MRPS16
		RELA
		HIF1A
		SYT11
		TGS1
		SOCS1
		CDK5RAP3
		RPL27A
		RPS19
		TCEA1
		BHLHE40
		EGLN2
		FBL
		TARDBP
		ID2
		TRIM28
		STAU1
		DDX21
		FGFR1OP
		MT-ND5
		DHX29
		ADAR
		PWP1
		EIF3L
		WRN
		HSF1
		PSMD4
		PPP4C
		NDUFA7
		NFATC2
		BAP1
		ANAPC5
		NFATC2IP
		NME2P1
		PAN3
		ST14
		CYLD
		GDI2
		HIF1AN
		RHOG
		POLR2H
		MRPL27
		CDK2
		XRN1
		SSR1
		NFS1
		NFKBIB
		SNRNP35
		EIF4E3
		NSA2
		NUP107
		RUNX2
		MT-CO1
		CCNH
		MAPRE2
		POLR2A
		ODC1
		ERCC6
		PA2G4
		COX5B
		THOC6
		RPL13
		PRDX2
		AK6
		RRP12
		MRPS2
		ZCCHC8
		ADIPOR1
		DNAJB2
		HSPH1
		TBC1D22A
		DDX17
		THUMPD1
		ENO3
		CDC16
		UBA2
		ACIN1
		SRSF2
		RPL23
		ENO1
		SDHC
		AKAP8L
		FECH
		PLG
		VCL
		RNPS1
		IL10RA
		POLR2J3
		NDUFB11
		UBE2A
		SOCS2
		HERC5
		PTTG2
		PPP2R5D
		NUP54
		SEC11A
		PPP2R2D
		TIMM44
		TP53
		UQCRFS1P1
		PTAFR
		REL
		SRSF9
		ENTPD1
		SMG7
		PDCD11
		RPL35A
		CTBP2
		STK11
		RBMX
		SMG6
		PSMC5
		TTN
		VASP
		GALE
		NAF1
		BAG5
		PPP1R16B
		RPS27L
		NFX1
		HLA-DRB1
		CASP9
		MAP3K7
		RAD51D
		RPL13A
		SRA1
		RPL41
		DYRK1A
		PEMT
		CDKN1A
		IL32
		LAMP2
		CAT
		POLR2J2
		RAB11A
		DNAJB12
		PTBP2
		MRPS15
		CUL2
		MIS12
		BRPF3
		PKM
		RPS7
		JAK3
		CNOT8
		DDX23
		PSMD13
		TBC1D15
		JAK1
		MT-CO2
		NONO
		SETD7
		RBM8A
		ZFR
		HNRNPA3
		MAGOH
		RPL37A
		ELAVL1
		NCOA2
		LSM1
		HIPK2
		ZMIZ1
		DAP
		CUL4A
		ADIPOR2
		CFLAR
		AKT1
		PIK3R1
		MAF
		EBNA1BP2
		ZMIZ2
		EIF4A2
		ADM
		SART3
		LSM2
		NDUFA12
		APOBEC3G
		NDUFS5
		GTF2E2
		ZMAT2
		LAP3
		SNRPD3
		MRPS6
		RPL11
		NDUFA9
		SOCS5
		TUBB4B
		CCT5
		SPCS2
		EGLN3
		RPL8
		XRCC5
		SARNP
		CSF2RA
		PEX19
		RAB1A
		POLR2C
		IMP3
		HDAC1
		PSMD7
		EIF3K
		RAD21
		EIF2S2
		RNMT
		SNRPB
		RUFY3
		UCHL5
		ZHX1
		MAP2K1
		ICOS
		NFKB1
		PNO1
		SIRT1
		CD164
		RPAP2
		BCL3
		COMMD3-BMI1
		PCBP2
		MRPL16
		IL1B
		NDUFB2
		NUP205
		MFAP1
		RGPD8
		SREK1
		SF3B4
		RPL23A
		UPF3B
		ELP2
		PSMC3
		P4HB
		RGPD3
		RFFL
		SAE1
		SNRPB2
		ANAPC15
		OAZ1
		COX4I1
		EIF3E
		SKIL
		PFDN4
		DDX39B
		BCL11A
		RPL31
		TXNL4B
		PSMB3
		RLIM
		UBE3A
		POLR3F
		STRN4
		SNRNP200
		RPS25
		RPN2
		PSMB1
		RNF19A
		NFKBIA
		TXN
		UBE2V2
		TXN2
		PSMA6
		DERL1
		PSPC1
		UPF2
		TERF1
		EIF3I
		EIF3CL
		NINJ1
		MAP4K4
		SEC61A2
		RPF1
		SNRNP40
		CDC5L
		VAMP7
		NDUFA10
		ACTN1
		MRPL36
		ELOB
		DCTN5
		FOXO3
		AKR1A1
		KHDRBS1
		MON1A
		SRSF5
		DCTN2
		GAPDH
		PSME3
		CLNS1A
		COX7C
		PSEN1
		NUP43
		NME3
		SEC61B
		SNORA67
		GPX1
		PSME2
		RBM25
		CASP4
		DNAJB14
		POLR2E
		TPR
		CEBPB
		METTL3
		TRPS1
		HMGA1
		CASP2
		GEM
		SERBP1
		NDUFS3
		CNOT11
		GTF2H3
		ATG16L1
		JUN
		NAT1
		IRF9
		RPS14
		STRN
		TFF1
		PSMB10
		ACTG1
		DDX3X
		NUP62
		HNRNPL
		HNRNPU
		CYFIP2
		NME1
		RPL38
		BHLHE41
		RPS16
		RPL26L1
		RPS9
		SMG9
		DDX56
		RBM28
		IL2RB
		SRRM2
		TIFA
		NOTCH1
		RPL14
		PTPN13
		HNRNPA1
		RPL37
		EEA1
		HGS
		EIF3G
		DDX20
		NDUFS7
