"SUID","degree.layout","labelsize","name","NumChildren","NumDescendents","selected","shared name","stage1","stage2","stage3","stage4","type"
"372","4",,"NUP62",,,"false","NUP62","0.522312201688591","0.974074961109205","-1.3221189526861","-0.174268210111699",
"373","4",,"NUP153",,,"false","NUP153","0.142713858001054","0.304012406483363","-1.40391957598993","0.957193311505516",
"374","4",,"NUP107",,,"false","NUP107","0.62680623706415","1.00614879112396","-1.17807638664128","-0.454878641546834",
"375","1",,"CHTOP",,,"false","CHTOP","0.654504558299787","0.659696926612256","-1.45486667827637","0.140665193364327",
"376","5",,"UQCRHL",,,"false","UQCRHL","0.0165791850444309","1.13514860632833","-1.29971620087851","0.147988409505752",
"377","16","30","ALYREF",,,"false","ALYREF","1.10220118261171","-1.3261763456435","0.0862347517933377","0.137740411238456","3"
"378","8",,"TXNL4A",,,"false","TXNL4A","-0.464610113267465","-1.14085201408166","1.11405067712609","0.491411450223031",
"379","5",,"UQCRFS1P1",,,"false","UQCRFS1P1","0.315501472235961","1.22211148510645","-1.10404932773305","-0.433563629609368",
"380","8",,"SRSF5",,,"false","SRSF5","0.0128407457405885","1.02314968650833","-1.35953004796182","0.323539615712902",
"381","8",,"SNU13",,,"false","SNU13","0.45773682667362","0.757699965955332","-1.46728935343785","0.251852560808893",
"382","4",,"NDUFV1",,,"false","NDUFV1","0.393156218303954","0.753016575488886","-1.47351357008492","0.327340776292084",
"383","6",,"SNRNP200",,,"false","SNRNP200","-0.978863737507742","-0.71764080790308","0.638784354010446","1.05772019140038",
"384","6",,"SF3B5",,,"false","SF3B5","-0.876340954061477","-0.685976238442137","1.30127667300516","0.261040519498457",
"385","4",,"PKM",,,"false","PKM","0.362522590192927","0.581849279487787","-1.49299680699965","0.548624937318934",
"386","6",,"RBM5",,,"false","RBM5","0.262248652328176","0.761926398978496","-1.46765713040021","0.443482079093539",
"387","6",,"POLR2K",,,"false","POLR2K","0.208529909155818","0.954341329026058","-1.40896602530116","0.246094787119286",
"388","1",,"PFKP",,,"false","PFKP","0.688063828425502","0.441093962498647","-1.48504226405893","0.355884473134779",
"389","6",,"POLR2I",,,"false","POLR2I","0.261487474439506","0.532157513734888","-1.47698370836486","0.683338720190464",
"390","7",,"PCF11",,,"false","PCF11","-0.56412349528047","-1.08688376554375","1.08774004533465","0.563267215489569",
"391","6",,"PABPN1",,,"false","PABPN1","-0.471408337308935","-1.01184875577842","1.31342854341685","0.169828549670503",
"392","3",,"ISG15",,,"false","ISG15","0.483794847639097","0.616815484697445","-1.49365283575047","0.39304250341393",
"393","22","30","STAT3",,,"false","STAT3","-0.605406874394104","-1.05870870509056","0.579097256002341","1.08501832348232","3"
"394","2",,"SSRP1",,,"false","SSRP1","0.880800778670244","0.643729302408318","-1.33134613733397","-0.193183943744594",
"395","1",,"HEXIM1",,,"false","HEXIM1","-0.140670443773919","-0.0812988154682646","-1.10329852368946","1.32526778293165",
"396","4",,"MAX",,,"false","MAX","0.297529968685568","0.493638669596767","-1.48067023152597","0.689501593243639",
"397","7","30","NDUFA1",,,"false","NDUFA1","-1.16493466804918","-0.251212900951038","0.170913506286873","1.24523406271336","3"
