"SUID","adjustedPValue_DNBs","description_DNBs","N_DNBs","name","nn_DNBs","nodeFillColor_DNBs","nodeFontSize_DNBs","nodeSize_DNBs","nodeType_DNBs","pValue_DNBs","selected","shared name","X_DNBs","xx_DNBs"
"148","8.8077E-3","regulation of T cell receptor signaling pathway","14285","50856","12","2.0551387432390382","14","4.0","ellipse","4.2409E-4","false","50856","459","4"
"150","4.0833E-3","nuclear import","14285","51170","77","2.3889888225475358","14","6.324555320336759","ellipse","1.6971E-4","false","51170","459","10"
"151","2.9834E-3","protein import into nucleus","14285","6606","74","2.525281657222273","14","6.324555320336759","ellipse","1.2109E-4","false","6606","459","10"
"153","2.1803E-3","cellular response to stimulus","14285","51716","987","2.6614934279655027","14","14.696938456699069","ellipse","8.1444E-5","false","51716","459","54"
"154","1.3774E-3","cellular response to stress","14285","33554","619","2.8609372790978154","14","12.489995996796797","ellipse","4.6590E-5","false","33554","459","39"
"156","7.1891E-7","lymphocyte activation","14285","46649","186","6.143327797543762","14","9.797958971132712","ellipse","6.5797E-9","false","46649","459","24"
"157","1.6543E-7","T cell activation","14285","42110","119","6.781389092033937","14","8.94427190999916","ellipse","1.1849E-9","false","42110","459","20"
"159","1.0917E-3","protein folding","14285","6457","170","2.961879805697465","14","8.246211251235321","ellipse","3.4097E-5","false","6457","459","17"
"161","3.3499E-4","immune system process","14285","2376","947","3.474967790383104","14","14.966629547095765","ellipse","6.5318E-6","false","2376","459","56"
"163","4.2946E-2","T cell receptor V(D)J recombination","14285","33153","3","1.367075489296646","14","2.8284271247461903","ellipse","3.0249E-3","false","33153","459","2"
"165","1.5626E-2","energy derivation by oxidation of organic compounds","14285","15980","145","1.8061412737375115","14","7.211102550927978","ellipse","8.0523E-4","false","15980","459","13"
"166","1.9073E-2","cellular respiration","14285","45333","96","1.719577333453403","14","6.324555320336759","ellipse","1.0154E-3","false","45333","459","10"
"168","8.3017E-1","developmental process","14285","32502","3235","0.0808322578777861","14","20.0","ellipse","6.9028E-1","false","32502","459","100"
"169","7.0513E-1","cellular developmental process","14285","48869","1714","0.15172783801224032","14","14.966629547095765","ellipse","4.6831E-1","false","48869","459","56"
"171","1.0934E-2","regulation of macromolecule metabolic process","14285","60255","3376","1.9612216774094609","14","23.57965224510319","ellipse","5.3580E-4","false","60255","459","139"
"173","1.0668E-1","macromolecular complex disassembly","14285","32984","27","0.9719289464485782","14","4.0","ellipse","1.0273E-2","false","32984","459","4"
"174","1.0668E-1","cellular macromolecular complex disassembly","14285","34623","27","0.9719289464485782","14","4.0","ellipse","1.0273E-2","false","34623","459","4"
"176","1.8649E-4","cellular component organization","14285","16043","2560","3.729336731658085","14","22.0","ellipse","3.1911E-6","false","16043","459","121"
"179","1.0351E-1","ATP synthesis coupled electron transport","14285","42773","57","0.9850195082604065","14","4.898979485566356","ellipse","9.6796E-3","false","42773","459","6"
"180","1.0351E-1","mitochondrial ATP synthesis coupled electron transport","14285","42775","57","0.9850195082604065","14","4.898979485566356","ellipse","9.6796E-3","false","42775","459","6"
"182","1.1595E-10","cellular process","14285","9987","9355","9.93572528085926","14","38.52272056851645","ellipse","1.3842E-13","false","9987","459","371"
"183","2.8962E-2","translational initiation","14285","6413","28","1.5381699214410467","14","4.47213595499958","ellipse","1.7864E-3","false","6413","459","5"
"186","2.2515E-3","protein targeting","14285","6605","201","2.6475313756453835","14","8.48528137423857","ellipse","8.6906E-5","false","6605","459","18"
"188","4.5177E-1","signaling pathway","14285","23033","2100","0.3450780557739919","14","17.320508075688775","ellipse","1.7285E-1","false","23033","459","75"
"189","3.2265E-1","intracellular signaling pathway","14285","23034","1158","0.491273751547368","14","13.564659966250536","ellipse","7.7805E-2","false","23034","459","46"
"191","4.0598E-2","positive regulation of cellular protein metabolic process","14285","32270","290","1.391497784567769","14","8.717797887081348","ellipse","2.6817E-3","false","32270","459","19"
"192","2.2647E-2","positive regulation of protein modification process","14285","31401","231","1.6449914151693295","14","8.246211251235321","ellipse","1.3067E-3","false","31401","459","17"
"194","4.3520E-4","positive regulation of protein ubiquitination","14285","31398","95","3.361310283991734","14","7.211102550927978","ellipse","1.0391E-5","false","31398","459","13"
"196","9.2205E-1","anatomical structure development","14285","48856","2656","0.0352470493817393","14","17.549928774784245","ellipse","8.6004E-1","false","48856","459","77"
"198","2.7414E-1","regulation of nitrogen compound metabolic process","14285","51171","3038","0.5620280187992819","14","21.166010488516726","ellipse","5.5402E-2","false","51171","459","112"
"200","5.0542E-4","cellular macromolecular complex subunit organization","14285","34621","356","3.2963502912506515","14","10.583005244258363","ellipse","1.2268E-5","false","34621","459","28"
"201","1.2492E-3","nucleosome organization","14285","34728","93","2.9033508726679327","14","6.928203230275509","ellipse","4.1261E-5","false","34728","459","12"
"203","2.2090E-2","regulation of cellular metabolic process","14285","31323","3734","1.6558137786890101","14","24.413111231467404","ellipse","1.2658E-3","false","31323","459","149"
"204","7.1144E-1","regulation of phosphorus metabolic process","14285","51174","542","0.147858718805716","14","8.48528137423857","ellipse","4.7726E-1","false","51174","459","18"
"206","5.1780E-4","negative regulation of biological process","14285","48519","2019","3.285837652435353","14","19.79898987322333","ellipse","1.2775E-5","false","48519","459","98"
"207","3.7575E-4","negative regulation of cellular process","14285","48523","1843","3.4251061320614737","14","19.183326093250876","ellipse","8.3148E-6","false","48523","459","92"
"209","7.1128E-8","modification-dependent macromolecule catabolic process","14285","43632","280","7.147957544096011","14","11.313708498984761","ellipse","4.5287E-10","false","43632","459","32"
"211","6.3973E-1","cell projection organization","14285","30030","363","0.1940017932999505","14","7.211102550927978","ellipse","3.8444E-1","false","30030","459","13"
"212","1.9073E-2","uropod organization","14285","32796","2","1.719577333453403","14","2.8284271247461903","ellipse","1.0303E-3","false","32796","459","2"
"214","2.1706E-1","post-translational protein modification","14285","43687","1262","0.6634265693367178","14","14.422205101855956","ellipse","3.7018E-2","false","43687","459","52"
"215","3.3142E-2","histone modification","14285","16570","142","1.4796200958829244","14","6.928203230275509","ellipse","2.0969E-3","false","16570","459","12"
"217","7.9625E-1","regulation of signaling pathway","14285","35466","1003","0.09894979220507451","14","11.135528725660043","ellipse","6.1723E-1","false","35466","459","31"
"219","2.5546E-1","regulation of molecular function","14285","65009","1062","0.5926835588275466","14","13.2664991614216","ellipse","4.8794E-2","false","65009","459","44"
"221","6.8183E-1","cell differentiation","14285","30154","1668","0.16632476167327176","14","14.832396974191326","ellipse","4.4001E-1","false","30154","459","55"
"222","1.6274E-3","leukocyte differentiation","14285","2521","127","2.788492691176779","14","7.483314773547883","ellipse","5.7637E-5","false","2521","459","14"
"224","1.2347E-1","regulation of gene expression","14285","10468","2927","0.9084522302888415","14","21.354156504062622","ellipse","1.2381E-2","false","10468","459","114"
"225","7.8781E-2","positive regulation of gene expression","14285","10628","602","1.1035804870887556","14","11.135528725660043","ellipse","6.6594E-3","false","10628","459","31"
"227","4.2946E-2","cleavage of cytoskeletal proteins involved in apoptosis","14285","6923","3","1.367075489296646","14","2.8284271247461903","ellipse","3.0249E-3","false","6923","459","2"
"228","4.2946E-2","cleavage of lamin","14285","6922","3","1.367075489296646","14","2.8284271247461903","ellipse","3.0249E-3","false","6922","459","2"
"230","2.0096E-3","generation of precursor metabolites and energy","14285","6091","312","2.6968802328018904","14","9.797958971132712","ellipse","7.2773E-5","false","6091","459","24"
"232","5.9325E-2","regulation of transforming growth factor-beta production","14285","71634","11","1.2267655174181666","14","3.4641016151377544","ellipse","4.4853E-3","false","71634","459","3"
"233","7.1194E-2","regulation of transforming growth factor-beta1 production","14285","32908","4","1.1475572604085365","14","2.8284271247461903","ellipse","5.9210E-3","false","32908","459","2"
"235","1.4589E-3","lymphocyte differentiation","14285","30098","95","2.835971503693859","14","6.928203230275509","ellipse","5.1088E-5","false","30098","459","12"
"237","8.2841E-2","positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process","14285","45935","655","1.081753055592427","14","11.489125293076057","ellipse","7.1534E-3","false","45935","459","33"
"239","4.2266E-4","regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle","14285","51439","68","3.374008557980598","14","6.6332495807108","ellipse","9.8102E-6","false","51439","459","11"
"240","2.2097E-4","negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle","14285","51436","62","3.655670483006428","14","6.6332495807108","ellipse","3.8689E-6","false","51436","459","11"
"242","2.0656E-5","metabolic process","14285","8152","5947","4.6849480840995845","14","31.240998703626616","ellipse","2.7947E-7","false","8152","459","244"
"243","2.3503E-5","nitrogen compound metabolic process","14285","6807","2191","4.628875915833042","14","21.071307505705477","ellipse","3.2734E-7","false","6807","459","111"
"245","2.7414E-1","regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process","14285","19219","3012","0.5620280187992819","14","21.071307505705477","ellipse","5.6961E-2","false","19219","459","111"
"247","1.0177E-1","establishment of localization","14285","51234","2609","0.9923805505316997","14","20.396078054371138","ellipse","9.0714E-3","false","51234","459","104"
"249","1.0917E-3","regulation of protein ubiquitination","14285","31396","121","2.961879805697465","14","7.483314773547883","ellipse","3.3567E-5","false","31396","459","14"
