,stage2,stage3
ENSG00000000419.12,2.081632653,284.7751187
ENSG00000000457.13,637.847551,3.000949668
ENSG00000001036.13,782.0204082,0.177777778
ENSG00000001167.14,76.06122449,71.03532765
ENSG00000001460.17,91.12244898,0.012345679
ENSG00000001461.16,105.8571429,19.7977208
ENSG00000001497.16,196.2857143,83.62716048
ENSG00000001561.6,0.142857143,170.2691358
ENSG00000001629.9,8.795918367,1.751946819
ENSG00000001630.15,5400.163265,1115.101022
ENSG00000001631.15,0.102040816,162.069679
ENSG00000002016.17,35.7755102,2.343209877
ENSG00000002330.13,0.387755102,0.066666667
ENSG00000002549.12,402.4897959,257.197151
ENSG00000002586.18,186.2244898,539.1614435
ENSG00000002586.18_PAR_Y,186.2244898,539.1614435
ENSG00000002822.15,0.040816327,2.380436847
ENSG00000002834.17,401.8430612,341.2059829
ENSG00000002919.14,0.448979592,94.44444443
ENSG00000002933.7,0.163265306,0.217663818
ENSG00000003056.7,761.4114286,1320.745899
ENSG00000003400.14,87.93877551,14.87825261
ENSG00000003402.19,1018.897959,2074.295026
ENSG00000003436.15,0.040816327,0.022222222
ENSG00000003509.15,0.020408163,0.907358025
ENSG00000003756.16,812.6830612,80.15612537
ENSG00000004059.10,43.69387755,0.576286799
ENSG00000004139.13,0.081632653,0.088888889
ENSG00000004142.11,0.040816327,0.244444444
ENSG00000004455.16,496.6242857,142.7761064
ENSG00000004468.12,82.48979592,0.267426401
ENSG00000004478.7,156.4897959,100.5536562
ENSG00000004534.14,1191.755102,2308.904083
ENSG00000004700.15,1117.657347,44.01078253
ENSG00000004779.9,743.6734694,348.5555556
ENSG00000004864.13,269.7346939,16.99088319
ENSG00000004866.20,0.020408163,0.301234568
ENSG00000004897.11,546.4285714,625.94517
ENSG00000004961.14,24.73469388,75.72440645
ENSG00000004975.11,5.489795918,41.78708451
ENSG00000005007.12,80.36734694,1.482431149
ENSG00000005020.12,3785.122449,758.4053181
ENSG00000005022.5,6630.481224,478.5942867
ENSG00000005059.15,0.87755102,167.6108262
ENSG00000005075.15,78.17653061,66.76787464
ENSG00000005100.12,214.1020408,198.591453
ENSG00000005175.9,90.46938776,289.7802469
ENSG00000005194.14,2.857142857,316.1777778
ENSG00000005206.16,0.040816327,176.2938272
ENSG00000005238.19,0.020408163,0.282431149
ENSG00000005249.12,0.469387755,27.59107312
ENSG00000005302.17,683.7755102,796.7650523
ENSG00000005339.14,137.9387755,835.8782527
ENSG00000005436.13,525.7142857,2.562013295
ENSG00000005448.16,48.02040816,259.8374169
ENSG00000005483.20,4325.979592,4250.951362
ENSG00000005486.16,10.63265306,0.656790123
ENSG00000005700.14,269.5306122,0.403418803
ENSG00000005801.16,0.469387755,37.13580247
ENSG00000005810.17,64.63408163,1844.157217
ENSG00000005812.10,829.7959184,0.341690408
ENSG00000005844.17,142.6122449,109.1679012
ENSG00000005882.11,0.020408163,7.866666667
ENSG00000005889.15,3163.163265,1410.007977
ENSG00000005893.15,1205.77551,187.9432099
ENSG00000006007.11,11.73469388,706.6194681
ENSG00000006015.17,0.204081633,2.208357075
ENSG00000006062.14,0.020408163,0.428110161
ENSG00000006125.17,303.9591837,480.34321
ENSG00000006194.9,0.265306122,0.204938272
ENSG00000006282.20,0.653061224,12.0997151
ENSG00000006327.13,0.612244898,0.012345679
ENSG00000006432.15,1.755102041,0.049382716
ENSG00000006451.7,596.1632653,625.7445395
