hgnc_symbol,stage1,stage2,stage3,stage4
ZNF207,639.7994707,2360.974828,2689.389167,172.9950401
UQCRC1,400.8276723,3.068965517,9.895833333,180.7395834
STARD3NL,66.67932069,385.2758621,309.6319444,66.93669873
CD9,1.02947053,1.379310345,34.47222223,2.34375
IDS,1016.543542,1107.042069,40.49666667,1300.063085
CD4,14.06943057,1.310344828,1.125,0.660256411
HFE,0.044955045,0.034482759,186,0.010416667
SCMH1,0.012987013,185.8965517,0.020833333,93.38541665
FYN,74.95304697,418.4137931,218.5486111,150.4447116
HIVEP2,295.3318381,106,253.0555556,96.309992
ELOA,201.9504096,96.82758621,600.7152777,558.4320915
LYPLA2,38.12237762,1.034482759,38.66666667,27.09375
NME1-NME2,1.190759241,18.18137931,0.108125,20.25877404
BTBD7,97.58291707,481.2068966,35.69444444,26.24599359
APBA3,0.077922078,7.448275862,0.104166667,0.278846154
ABHD5,45.97402598,0.103448276,195.0138889,0.314102565
AKAP8L,52.57742259,0.413793103,555.0208333,0.010416667
MBTD1,19.41358641,27.06896552,300.4583333,0.111378205
UTP18,151.7067932,115.3448276,336.0208333,98.12980769
RNF216,485.9587163,104.5172414,27.38194444,1145.520833
TTC19,42.36963037,43.82758621,0.826388889,320.2483974
PTBP1,116.8771229,53.34482759,2.409722222,232.0600962
PLAUR,1.32917083,0.379310345,45.83333333,8.575320511
ANLN,0.162337663,0.103448276,0.027777778,0.048878205
CEP68,69.07229269,87.61034483,0.09,0.427083334
ZBTB32,44.62037962,780.9655172,0.048611111,200.71875
TYROBP,12.97552447,93,183.5347222,0.403846154
TMEM159,5187.613659,439.3448276,165.9652778,247.1009615
BRCA1,0.01948052,0.172413793,0.027777778,19.125
ERCC1,1323.147353,125.2768966,0.076388889,164.4739022
CD22,208.6803197,426.2413793,0.715277778,197.3020834
ELOVL5,126.977023,724.7241379,334.0972222,509.6490385
ALOX5,89.2012987,0.068965517,1.854166667,66.90625
CALCOCO1,43.01298702,0.310344828,15.95138889,0.145833334
UBR7,65.81735764,7.481034483,351.6141667,21.0090625
MAP4K5,0.733266734,571.6896552,83.04166667,166.5488782
PSMC4,298.3551449,503.1034483,286.4861111,391.4070513
MAN2B2,59.94155845,0.965517241,29.72222222,26.65384616
SLC25A39,90.5844156,308.137931,0.361111111,165.2395834
MVP,34.99150849,1.896551724,8.506944443,0.177083334
NUB1,349.0519481,166.2758621,1030.311667,373.6089744
PGM3,42.28856144,611.2413793,0.111111111,0.316506411
CLK1,3655.708792,2609.172414,1057.097222,366.2355769
DDX11,1.839220779,0.034482759,0.020833333,0.03125
CD6,24.97302697,8.620689655,0.4375,1.119391026
UFL1,28.998002,1.413793103,1.5,184.8573718
CAPN1,0.505994006,0.068965517,29.27083333,13.42708334
MDH1,336.4465535,271.7931034,1406.854167,1716.891026
SLC30A9,175.1708291,1.448275862,9.680555557,854.0208334
COX15,0.265234766,255.2068966,0.111111111,1089.825321
CCDC88C,82.61388613,20.86206897,0.631944444,186.0176282
YAF2,21.32217782,38.03448276,17.67361111,207.1883013
ZMYND11,36.9005994,857.1034483,0.277777778,279.2996795
WAS,38.79220779,0.068965517,5.590277778,0.020833334
BID,164.3016983,1023.482759,144.5138889,100.7139423
MATR3,1552.3151,660.2441379,1031.747569,904.5706088
RGPD5,296.5026673,412.04,269.2035417,203.6023558
NUDCD3,22.28571429,75.44827586,0.020833333,104.5416667
GLT8D1,0.530969031,0.068965517,0.020833333,34.86137821
ATP2C1,7229.014986,1.689655172,675.7008333,0.5625
IGF1,0.012987013,0.480344828,0.353333333,0.607788462
RALBP1,29.60939061,1270.896552,0.409722222,133.0552885
RUFY3,53.42807194,209.3793103,831.25,71.60817308
WWTR1,7.691598402,7.108965517,6.537013889,20.36695513
AGPS,0.328671329,0.793103448,0.138888889,6.11298077
CXorf56,45.27922078,266.4482759,0.020833333,389.8910256
TTC27,101.3241758,1.448275862,1702.048611,0.0625
CD74,115972.0375,106150.4483,99198.2361,140733.8093
ZRANB1,7889.651081,226.4337931,403.6319443,141.799968
NCDN,32.57692308,11.51724138,0.361111111,0.114583334
ZFP64,0.01948052,1.551724138,11.3125,0.010416667
MNAT1,45.32117882,8.724137931,302.8888889,218.3982372
RUNX3,192.3076923,927.6551724,1346.583333,674.9631411
MRE11,148.0390709,78.20689655,0.055555556,0.586538462
SERPINB1,352.6318681,581.5862069,1156.958333,1381.95593
SPAST,0.057942058,152.3448276,212.1388889,0.083333334
AQR,125.2532468,0.275862069,0.138888889,645.7988782
RTF2,8347.906095,309,18.20138889,134.3565705
RNF10,402.5314686,487.7241379,283.7638889,6.893429489
ZDHHC6,140.1343657,204.3793103,0.361111111,317.605
RNH1,69.07292708,22.17241379,29.27083333,160.8509615
NDUFS1,13405.04196,22.10448276,17.97222222,109.1875
RB1CC1,400.3556444,572.1034483,60.70138889,844.5400644
ERP44,4214.920579,982.8275862,1072.326389,198.7772436
ALAS1,72.63486512,575.5172414,264.2777778,0.188301282
BIRC3,11461.67982,11158.48276,45184.97917,7770.648239
AKAP11,468.5814186,22.20689655,0.090277778,479.3477564
GLRX2,68.65984014,97.68965517,238.6319444,138.5977564
SNAPC1,214.5924875,392.2434483,27.16444444,14.23125
DERA,21.6908092,68.10344828,0.020833333,117.6875
STRAP,609.7922078,994.3793103,3140.881944,902.2371794
DEF6,79.82417584,0.275862069,455.7638889,86.06169872
PLEKHO1,97.44555444,330.9310345,273.7916667,222.1498398
GCLM,11.1988012,57.93103448,0.333333333,581.7604165
UBR2,300.2092907,0.75862069,18.10416667,470.9278846
CCDC28A,208.5689311,3.586206897,444.9930556,2.003205128
RRAGD,0.237262738,0.068965517,13.34722222,0.020833334
HSF2,334.3142507,0.034482759,0.027777778,0.114583334
PHF20,677.2507492,323.5172414,600.0416667,467.0152243
TYMP,67.0822877,0.034482759,159.1111111,35.41915065
TOMM34,33.34365634,92.20689655,739.048611,0.552083334
SEC63,84.30958543,134.0689655,263.8879861,65.6386218
KPNA6,8252.238599,606.1724138,276.5244444,392.469968
VIM,2047.202058,3693.402414,9868.880973,4439.381507
FAS,84.9135065,3332.413793,0.479166667,320.4535257
RNASET2,1111.33473,1589.137931,367.0405556,31.2674359
CD44,10202.17133,6825.689655,3419.479167,4800.842949
