"","ensembl_gene_id","X","C473","C481","LC03","RC02","RC03","LC01","R03","R02","hgnc_symbol"
"54","ENSG00000025800","ENSG00000025800.13",1,406.3991667,378.5407692,816.125,15739.61538,606.1724138,12.44833333,764.8618182,"KPNA6"
"55","ENSG00000026025","ENSG00000026025.15",8,4605.919167,4272.843846,8769.84375,2529.923077,3693.402414,20828.79917,1564.481039,"VIM"
"56","ENSG00000026297","ENSG00000026297.15",2,61.83333333,0.701538462,1095.8125,0.461538462,1589.137931,3.309166667,2222.207922,"RNASET2"
"57","ENSG00000026508","ENSG00000026508.17",1080,8904.916667,696.7692308,7532.4375,17063.61538,6825.689655,1646,3340.727273,"CD44"
"58","ENSG00000026751","ENSG00000026751.16",3,4088.770625,120.6153846,28.25,2.230769231,3881.172414,3.666666667,419.9090909,"SLAMF7"
"59","ENSG00000026950","ENSG00000026950.16",1.04,77.439375,81.61538462,1526.875,0.384615385,152.932069,35.91666667,53.34649351,"BTN3A1"
"60","ENSG00000027697","ENSG00000027697.13",1,519.7708333,1,1687.1875,1.153846154,1005.172414,590.1666667,886.4025974,"IFNGR1"
"61","ENSG00000028528","ENSG00000028528.14",1,21.27083333,315.6923077,17.5625,0.153846154,0.310344828,0.166666667,195.5064935,"SNX1"
"62","ENSG00000029993","ENSG00000029993.14",3,0.416666667,0.153846154,80.0625,0.230769231,0.413793103,0.083333333,21.25974026,"HMGB3"
"63","ENSG00000030582","ENSG00000030582.17",1,150.2708333,10.46153846,7.8125,2.923076923,155.3103448,2.583333333,346.2077922,"GRN"
"64","ENSG00000031698","ENSG00000031698.12",13,2654.270833,1651,3.9375,14971.61538,1288.896552,20.58333333,569.6363636,"SARS1"
"65","ENSG00000032219","ENSG00000032219.18",1,589.7291667,3125.615385,3184.25,43.61538462,43.62068966,730.8333333,457.4155844,"ARID4A"
"66","ENSG00000033178","ENSG00000033178.12",1,2451.979167,579.5384615,3985.3125,142.6923077,518.7241379,2221.833333,1423.428571,"UBA6"
"67","ENSG00000033800","ENSG00000033800.13",11080,994.1666667,714.7692308,0.0625,577.6923077,203.6551724,5463.916667,1158.896104,"PIAS1"
"68","ENSG00000034152","ENSG00000034152.18",217,326.125,0.153846154,908.5,71.46153846,397.2758621,77.5,194.974026,"MAP2K3"
"69","ENSG00000034510","ENSG00000034510.5",1888,5340.104167,7542.230769,13840.8125,1859.846154,8728.413793,30183.25,11123.76623,"TMSB10"
"70","ENSG00000034677","ENSG00000034677.12",2,260.1502083,1441.307692,482,1.776153846,2324.277586,8.75,601.0567532,"RNF19A"
"71","ENSG00000034713","ENSG00000034713.7",15540,2363.1875,0.615384615,12.5625,0.307692308,1080.241379,1047.666667,624.7792208,"GABARAPL2"
"72","ENSG00000035687","ENSG00000035687.9",1,76.54166667,0.384615385,0.375,0.076923077,196.6551724,454.1666667,369.6883117,"ADSS2"
"73","ENSG00000035720","ENSG00000035720.7",5653,389.6041667,0.153846154,3113.3125,0.769230769,294,2864.666667,1012.948052,"STAP1"
"74","ENSG00000035928","ENSG00000035928.15",1,562.0416667,0.307692308,0.4375,2.538461538,39.82758621,0.833333333,141.0779221,"RFC1"
"75","ENSG00000038274","ENSG00000038274.16",5,1170.8125,763.1538462,0.3125,1.384615385,102,0.916666667,1252.064935,"MAT2B"
"76","ENSG00000041357","ENSG00000041357.15",8942,2642.708333,36.53846154,4993.5625,3.384615385,1076.793103,3402.666667,1665.298701,"PSMA4"
"77","ENSG00000042493","ENSG00000042493.15",2,728.3541667,26.30769231,32.875,0.230769231,314.1034483,50.58333333,904.8181818,"CAPG"
"78","ENSG00000042753","ENSG00000042753.11",1,164.8958333,0.230769231,217.875,0.769230769,491.2413793,88,274.2987013,"AP2S1"
"79","ENSG00000043462","ENSG00000043462.11",8,0.458333333,0.230769231,8.375,0.153846154,2.896551724,381.0833333,17.16883117,"LCP2"
"80","ENSG00000044115","ENSG00000044115.20",365,85.9375,1100.076923,493.5625,0.692307692,93.48275862,0.5,227.3506494,"CTNNA1"
"81","ENSG00000044574","ENSG00000044574.7",8234,2752.20625,2439,584.375,75,2897.894828,3908.876667,2560.421818,"HSPA5"
"82","ENSG00000046651","ENSG00000046651.14",5823,1133.11875,898.4615385,135.625,19171.30769,729.4482759,6.666666667,1735.064935,"OFD1"
"83","ENSG00000047315","ENSG00000047315.15",6810.24,640.2745833,1,21.964375,0.076923077,294.0931034,1277.25,187.3605195,"POLR2B"
"84","ENSG00000047365","ENSG00000047365.11",3,281.6458333,654.8461538,2609.25,0.538461538,474.8275862,622.0833333,167.2727273,"ARAP2"
"85","ENSG00000047410","ENSG00000047410.13",4,1826.578542,856.4615385,554.05,26.92307692,1833.608276,233.0833333,1528.41974,"TPR"
"86","ENSG00000048405","ENSG00000048405.9",1,333.625,0.307692308,31.5,3961.846154,333.3448276,780.4166667,156.974026,"ZNF800"
"87","ENSG00000048649","ENSG00000048649.13",1,965.5625,69.23076923,29.3125,3592.384615,1679.818621,1.583333333,1420.624805,"RSF1"
"88","ENSG00000048740","ENSG00000048740.18",4,345.8125,704.3846154,813,3.461538462,570.0689655,4978.583333,441.7012987,"CELF2"
"89","ENSG00000049618","ENSG00000049618.22",11,851.4791667,2425.230769,1187.625,66.84615385,1002.724138,319.5,1368.480519,"ARID1B"
"90","ENSG00000049860","ENSG00000049860.13",3,178.625,18.84615385,0.1875,1.538461538,513.2924138,0.25,137.7503896,"HEXB"
"91","ENSG00000050405","ENSG00000050405.13",1,0.791666667,0.384615385,25.1875,0.307692308,689.2413793,5.166666667,29.12987013,"LIMA1"
"92","ENSG00000051108","ENSG00000051108.14",11,6607.145833,5370.692308,4717.125,8473.307692,8308.241379,8520.666667,8935.519481,"HERPUD1"
"93","ENSG00000052723","ENSG00000052723.11",1,1301.104167,30.23076923,0.1875,8.461538462,325.4827586,0.166666667,257.6233766,"SIKE1"
"94","ENSG00000052841","ENSG00000052841.14",3,688.3958333,537.6923077,871.4375,0.076923077,445.1034483,0.083333333,274.1818182,"TTC17"
"95","ENSG00000053254","ENSG00000053254.15",1,493.65375,322.2307692,377.0625,0.307692308,553.7741379,1696.916667,600.4414286,"FOXN3"
"96","ENSG00000054118","ENSG00000054118.13",4,6968.460833,4624.846923,1215.685625,56.82615385,1349.58069,858.1616667,4628.063377,"THRAP3"
"97","ENSG00000054267","ENSG00000054267.21",5912,2251.948125,944.3076923,2572.75,24,2249.726207,29.16666667,2460.717403,"ARID4B"
"98","ENSG00000054654","ENSG00000054654.16",3,967.3333333,1301.307692,1062.5625,3902.230769,316.9655172,3446,429.2987013,"SYNE2"
"99","ENSG00000055044","ENSG00000055044.10",7,4373.666667,2703.923077,1357.4375,26066.92308,3938.413793,2770.5,3231.662338,"NOP58"
"100","ENSG00000055208","ENSG00000055208.18",5,969.1458333,1.692307692,457.9375,2,369.5172414,5.916666667,617.8961039,"TAB2"
"101","ENSG00000055609","ENSG00000055609.17",2,621.2708333,457.6923077,1353.125,4.769230769,1139.481724,3.25,775.9087013,"KMT2C"
"102","ENSG00000055917","ENSG00000055917.15",2,439.1041667,1221.307692,305.25,1.384615385,16.34482759,1534.416667,143.038961,"PUM2"
"103","ENSG00000056097","ENSG00000056097.15",1,76.27083333,2713.461538,3.0625,0.076923077,412.1034483,1.5,959.5324675,"ZFR"
"104","ENSG00000057608","ENSG00000057608.16",1,2573.585625,532.7692308,2958.034375,17.53846154,509.1724138,106,446.9306494,"GDI2"
"105","ENSG00000057657","ENSG00000057657.15",4,419.1666667,35.61538462,776.3125,193.2307692,318.5517241,4206.25,120.4415584,"PRDM1"
"106","ENSG00000058272","ENSG00000058272.16",5,850.3991667,1081.538462,4820.25,117.8461538,746.1724138,894.75,664.4025974,"PPP1R12A"
"107","ENSG00000058673","ENSG00000058673.16",3,1220.342083,209,22.5625,15.43692308,1539.671724,1268.735833,596.5906494,"ZC3H11A"
"108","ENSG00000059804","ENSG00000059804.15",2,776.1135417,1227.153846,2895.3575,57.38461538,505,1092.5,3109.595974,"SLC2A3"
"109","ENSG00000060237","ENSG00000060237.16",1,323,0.615384615,1900.6875,55.92307692,394.8965517,1371.083333,368.0649351,"WNK1"
"110","ENSG00000060339","ENSG00000060339.13",1,444.2083333,19.38461538,0.4375,95,477.7586207,55,612.3246753,"CCAR1"
"111","ENSG00000060762","ENSG00000060762.18",4421,426.0625,1.615384615,0.125,1.076923077,417.3793103,0.5,284.7792208,"MPC1"
"112","ENSG00000060982","ENSG00000060982.14",1,0.708333333,954.6153846,2.625,0.153846154,294,0.166666667,61.38961039,"BCAT1"
"113","ENSG00000061936","ENSG00000061936.9",1,56.95833333,432.2307692,0.0625,0.307692308,1892.551724,1.583333333,94.24675325,"SFSWAP"
"114","ENSG00000062194","ENSG00000062194.15",4,2726.958333,3960,3182.3125,215.9230769,4985.448276,313.4166667,3275.415584,"GPBP1"
"115","ENSG00000062485","ENSG00000062485.18",6204,521.7435417,2497.861538,4.375,0.307692308,12.72413793,913.9166667,225.9123377,"CS"
"116","ENSG00000062716","ENSG00000062716.12",2,1094.9375,127.6153846,5.375,12.69230769,581.6896552,1802.916667,510.1948052,"VMP1"
"117","ENSG00000063046","ENSG00000063046.17",1243,2527.076875,1836.923077,1120.69875,1012.658462,1561.030345,1661.394167,1825.421299,"EIF4B"
"118","ENSG00000063177","ENSG00000063177.12",3692,2316.4375,1788.384615,1592.25,4816,4097.206897,3315.333333,4724.857143,"RPL18"
"119","ENSG00000064012","ENSG00000064012.21",1,573.0833333,0.076923077,0.125,0.153846154,543.1034483,0.583333333,231.9480519,"CASP8"
"120","ENSG00000064666","ENSG00000064666.14",1,976.881875,3.174615385,2.191875,17.18461538,235.0837931,147.0066667,608.4502597,"CNN2"
"121","ENSG00000065135","ENSG00000065135.10",2,1261.104167,296.2307692,146.125,0.769230769,983.2068966,15.91666667,987.8983117,"GNAI3"
"122","ENSG00000065413","ENSG00000065413.18",6406,770.5208333,816.5384615,244.1875,464.3846154,563.8965517,1376.833333,1421.233766,"ANKRD44"
"123","ENSG00000065427","ENSG00000065427.14",11600,52.875,204.8461538,0.25,0.230769231,2.379310345,0.583333333,313.1168831,"KARS1"
"124","ENSG00000065518","ENSG00000065518.7",4,508.1695833,1082.518462,0.5625,5.538461538,364.9765517,1,851.1024675,"NDUFB4"
"125","ENSG00000065526","ENSG00000065526.10",1,982.6041667,0.769230769,1160.375,117,2266.827586,777.5833333,344.1818182,"SPEN"
"126","ENSG00000065613","ENSG00000065613.13",1,815.9791667,1.846153846,166.4375,0.923076923,395.4482759,1260.666667,648.8051948,"SLK"
"127","ENSG00000065615","ENSG00000065615.13",2,212.5625,499.5384615,166.0625,1.615384615,9.172413793,0.083333333,7.909090909,"CYB5R4"
"128","ENSG00000065809","ENSG00000065809.13",153,2388.770833,864.7692308,2478.8125,1189.615385,2199.758621,6422.916667,511.6233766,"FAM107B"
"129","ENSG00000065978","ENSG00000065978.18",1,3394.650625,11675.45846,3642.5825,26999.23308,8263.043103,708.75,1724.647143,"YBX1"
"130","ENSG00000065989","ENSG00000065989.15",1,37.72916667,0.230769231,10.9375,2.153846154,258.5862069,0.333333333,44.45454545,"PDE4A"
"131","ENSG00000066136","ENSG00000066136.20",1,24.14333333,0.538461538,8.125,0.153846154,34.34482759,95.66666667,162.2984416,"NFYC"
"132","ENSG00000066654","ENSG00000066654.13",2,2203.020833,118.9230769,2978.375,55.23076923,1263.758621,319.9166667,3073.545455,"THUMPD1"
"133","ENSG00000067066","ENSG00000067066.16",1,622.5847917,2527.1,654.375,7.923076923,1720.837241,42.83333333,1507.892338,"SP100"
"134","ENSG00000067082","ENSG00000067082.14",7813,16137.8125,2013.076923,7936.6875,5037.538462,10078.31034,8185.5,10320.24675,"KLF6"
"135","ENSG00000067167","ENSG00000067167.7",2,2127.729167,114.1538462,9.0625,1,2603.275862,1164.333333,1146.753247,"TRAM1"
"136","ENSG00000067225","ENSG00000067225.17",1,1300.291667,41,2453.6875,52.30769231,727.5517241,32.5,344.1558442,"PKM"
"137","ENSG00000067248","ENSG00000067248.9",3,83.9375,0.076923077,563.125,5.153846154,2034.758621,3.416666667,231.1818182,"DHX29"
"138","ENSG00000067334","ENSG00000067334.13",67,4791.666667,3060.461538,577.375,46.61538462,3741.068966,1.833333333,1511.207792,"DNTTIP2"
"139","ENSG00000067533","ENSG00000067533.5",2,1319.208333,1096.384615,0.3125,0.153846154,33.96551724,0.583333333,443.1688312,"RRP15"
"140","ENSG00000067560","ENSG00000067560.10",2744,4121.458333,566.1538462,3058.3125,11636.15385,6093.344828,768.75,3975.883117,"RHOA"
"141","ENSG00000067900","ENSG00000067900.7",1,1436.489583,1404.627692,1296.1875,957.6923077,1079.128621,295.5833333,742.8253247,"ROCK1"
"142","ENSG00000068305","ENSG00000068305.17",182,409.353125,123.8461538,814.25,1,446.1034483,1.25,407.6572727,"MEF2A"
"143","ENSG00000068366","ENSG00000068366.19",2,101.8958333,0.230769231,0.375,0.461538462,366.8275862,0.083333333,64.92207792,"ACSL4"
"144","ENSG00000068697","ENSG00000068697.6",1,714.2291667,1151.230769,1.6875,4431.230769,952.0689655,6.083333333,1075.025974,"LAPTM4A"
"145","ENSG00000068745","ENSG00000068745.14",1,246.8125,155.4615385,606.25,11362.15385,25.96551724,336.25,416.7922078,"IP6K2"
"146","ENSG00000069275","ENSG00000069275.12",2,2470.166667,1170.769231,1004.5,1222.230769,1618.689655,547.3333333,996.1168831,"NUCKS1"
"147","ENSG00000069329","ENSG00000069329.16",3172,278.8125,0.307692308,145.375,1.307692308,548.9655172,230.5833333,1002.272727,"VPS35"
"148","ENSG00000069345","ENSG00000069345.11",1,1092.25,2.846153846,302.375,2.307692308,262.7931034,158.4166667,562.9090909,"DNAJA2"
