"","stage_I","stage_II","stage_III","stage_IV"
"ENSG00000009335.17",11.2,2.1,182.0485,360.5
"ENSG00000009413.15",492,1124,98.97,1745.5
"ENSG00000009780.15",893.5,358,230.5,737.5
"ENSG00000009790.14",639,211,1961.5,1340
"ENSG00000009844.15",1581.5,859,208.605,163
"ENSG00000009954.10",261.65,506,371.7,398.5
"ENSG00000010017.12",753,1044,337,738.5
"ENSG00000010072.15",104.225,10,36.516,61.55
"ENSG00000010165.19",92.95,0.035,257,0.3515
"ENSG00000010219.13",25.195,40,41.13,53.15
"ENSG00000010244.18",1356,1425,623.5,429.5
"ENSG00000010256.10",422.9,1061,0.825,723.5
"ENSG00000010270.13",64.79,1267,0.415,208.5
"ENSG00000010278.12",32.4,260,248.725,81.05
"ENSG00000010292.12",35,75,108.516,0.275
"ENSG00000010295.19",13.065,0.053,2.715,0.875
"ENSG00000010322.15",25.37,63,0.1875,0.355
"ENSG00000010361.13",0.08,0.27,2.7,0.013
"ENSG00000010404.17",1970,2128,834,2133
"ENSG00000010610.9",442,1753,895.5,812.5
"ENSG00000010810.17",2046.5,3563,3161,5041
"ENSG00000010818.9",221.34,363,46.205,62.5
"ENSG00000011007.12",166.26,218,121.66,1398.5
"ENSG00000011009.10",44.45,0.19,0.63,324.5
"ENSG00000011021.21",3.25,0.018,0.0655,382.63
"ENSG00000011052.21",3.13,1.2,40.05,0.29
"ENSG00000011114.14",219.095,360,104.5,390.5
"ENSG00000011132.11",24.516,0.035,0.095,0.475
"ENSG00000011143.16",16,3,0.0345,0.105
"ENSG00000011198.7",1.366,53,82.655,0.088
"ENSG00000011258.15",55.5,86,153.0345,373
"ENSG00000011260.13",249.5,37,279.517,339.5
"ENSG00000011275.18",197,321,37.175,262.8
"ENSG00000011295.15",567,45,10.58,10.925
"ENSG00000011304.19",689,1031,521.5,108
"ENSG00000011405.13",20.42,119,0.0505,1.715
"ENSG00000011422.11",8.25,213,11.3,433.25
"ENSG00000011451.17",20,0.018,0.566,1.2765
"ENSG00000011454.16",82.065,0.018,183.08,10.5395
"ENSG00000011523.13",266,1.2,0.1175,99.55
"ENSG00000011590.13",103.5,26,21.065,117.05
"ENSG00000011600.11",8.62,254,0.91,4.56
"ENSG00000011638.10",258,37,830,351.5
"ENSG00000012048.20",0.023,0.14,0.0325,9.08
"ENSG00000012061.15",125.435,1010,43,461
"ENSG00000012124.16",0.14,0.28,0.372,2.65
"ENSG00000012232.8",5.0485,0.053,0.095,0.825
"ENSG00000012660.13",1268.5,2383,1475.5,1745
"ENSG00000012822.15",286,2.9,0.121,0.365
"ENSG00000012963.14",30.0325,6.7,1.015,1.515
"ENSG00000012983.11",194.5485,159,0.5845,704
"ENSG00000013275.7",252.4,1203,49.565,218.4
"ENSG00000013288.8",57.145,106,121.0345,0.14
"ENSG00000013306.15",35.8,115,475.5,146.5
"ENSG00000013364.18",169.695,105,183.0325,752.5
"ENSG00000013374.15",318.2,976,476,387.5
"ENSG00000013375.15",0.77,298,663.5,0.17
"ENSG00000013441.15",2821.5,5197,1753,1885
"ENSG00000013561.17",0.1715,278,75.5,108.675
"ENSG00000013573.16",11.516,1.3,0.485,0.5
"ENSG00000013588.7",0.016,150,0.05,82.025
"ENSG00000013619.13",0.245,0.088,0.12,11
"ENSG00000013725.14",420,818,431,530
"ENSG00000013810.18",27.115,0.35,56.5,601
"ENSG00000014123.9",476.5,718,142,220.45
"ENSG00000014164.6",0.021,5.9,11.175,36.5
"ENSG00000014216.15",106.5,468,0.033,11.58
"ENSG00000014641.17",1514.5,2407,1719.5,2006.5
"ENSG00000014824.13",23.84,51,0.291,2.78
"ENSG00000014919.12",83.5325,90,0.08,225.025
"ENSG00000015133.18",249,899,154.19,129.45
"ENSG00000015153.14",648.5,437,534.5,41.5
"ENSG00000015171.19",7.34,146,6.605,129.7
"ENSG00000015285.10",50.25,153,33.5,21
"ENSG00000015475.18",701,320,557,295.5
"ENSG00000015479.18",1419,3468,1568,1169
"ENSG00000015532.9",47.5,1.2,170.5,47.5
"ENSG00000015568.12",220,1604,5.8,87.2
"ENSG00000015676.17",15.24,12,15.5,173.3
"ENSG00000016864.18",13.65,288,52.5,14.555
"ENSG00000017260.19",48.7,192,0.535,1508.5
"ENSG00000017427.15",11.385,0.053,0.615,3.6395
"ENSG00000017797.12",206,17,222.5,222
"ENSG00000018189.12",0.129,0.19,0.311,0.355
"ENSG00000018408.14",35.5,287,14.1,26.5
"ENSG00000018510.13",99.405,79,2.78,257.1
"ENSG00000018610.13",103.5,13,57.517,19.5265
"ENSG00000019582.14",11262.5,11651,9478,15454
"ENSG00000019991.15",0.0485,0.07,0.017,0.05
"ENSG00000019995.6",154.5,13,154.5,97.5
"ENSG00000020129.15",123.695,267,1.715,102.725
"ENSG00000020426.10",21.15,380,433.695,108
"ENSG00000020633.18",1369,3463,1090.5,1968.5
"ENSG00000020922.12",171,140,0.13,340.55
"ENSG00000021300.13",0.125,105,0.08,0.17
"ENSG00000021355.12",331.15,511,319.5,92.7
"ENSG00000021574.11",74.16,19,56,0.115
"ENSG00000021776.10",49.0325,122,2.717,27.65
