"","stage_I","stage_II","stage_III","stage_IV"
"ENSG00000105401.8",164.355,222,495.55,101.5
"ENSG00000105402.7",179.05,403,318,323.5
"ENSG00000105404.10",1300.5,646,680.5,950
"ENSG00000105438.8",66.7,0.75,9.12,467.475
"ENSG00000105443.14",11.115,24,152.5,68.1
"ENSG00000105447.12",6.565,33,20.0345,157.5
"ENSG00000105483.17",1198.5,826,512.5,625.5
"ENSG00000105518.13",146.65,98,236.585,0.395
"ENSG00000105552.14",10.065,0.035,21.4,10.5
"ENSG00000105568.17",156.775,358,11.66,349
"ENSG00000105576.15",46.5,131,157,21.05
"ENSG00000105583.9",1267,1113,422.5,1979.5
"ENSG00000105607.12",353.5,0.088,0.212,6.05
"ENSG00000105609.16",0.671,0.053,0.033,0.075
"ENSG00000105612.8",158.2,68,0.115,74.065
"ENSG00000105617.3",59,0.23,171.775,18.32
"ENSG00000105618.13",369,0.51,0.033,283
"ENSG00000105619.13",21.645,145,1.0985,23.525
"ENSG00000105639.18",4197,1990,1639.5,3137
"ENSG00000105640.12",7439,10953,4260.5,7502
"ENSG00000105643.9",505.5,29,620.5,54
"ENSG00000105647.16",2.5825,67,0.0325,80.5
"ENSG00000105656.12",29.5325,7.8,32.615,50.05
"ENSG00000105669.13",665.5,769,51.45,311.5
"ENSG00000105671.11",37.29,400,6.35,44.5
"ENSG00000105677.11",369.5,943,300.0345,334
"ENSG00000105698.15",62.58,2,52,0.18
"ENSG00000105700.10",130.5,411,28.58,257.61
"ENSG00000105701.15",6.5,19,0.225,0.08
"ENSG00000105705.15",6.065,32,0.017,23.5
"ENSG00000105708.8",0.044,0.42,0.082,0.165
"ENSG00000105717.13",309.5,288,722,485
"ENSG00000105726.16",29.516,30,35.615,2.45
"ENSG00000105732.12",146.45,108,0.0985,74.65
"ENSG00000105738.10",3.35,73,7.016,45.3
"ENSG00000105755.7",276,272,32.565,197.5
"ENSG00000105771.13",13.115,0.25,1.3,196.025
"ENSG00000105778.18",26.58,47,0.1875,48.5
"ENSG00000105810.9",1418.5,1834,1456,2447
"ENSG00000105819.13",364.5,389,93,95.6
"ENSG00000105821.14",356.725,563,140,1901
"ENSG00000105829.11",7.21,0.11,226.5,229
"ENSG00000105835.11",1914,6293,1138.5,1742.5
"ENSG00000105849.5",345.5,780,678,746.1
"ENSG00000105851.10",220.5,46,21.71,69.3
"ENSG00000105854.12",157.2,124,17.095,510
"ENSG00000105855.9",0.014,64,0.481,0.088
"ENSG00000105856.13",1909.5,1344,766.5,341.5
"ENSG00000105865.10",0.0325,16,30.5,0.09
"ENSG00000105866.13",674.5,15,521,320.65
"ENSG00000105879.11",48.095,132,55.516,1415.5
"ENSG00000105887.10",1159.5,356,169.5,446.5
"ENSG00000105926.15",174,75,120.5,93
"ENSG00000105939.12",7310,3449,2876.5,10176.5
"ENSG00000105953.14",105,94,3.215,95.45
"ENSG00000105968.18",696.5,1309,320,895
"ENSG00000105974.11",0.016,0.018,0.37,0.9
"ENSG00000105983.20",3.1825,13,0.2595,179.95
"ENSG00000105988.6",2.95,1.2,0.65,1.65
"ENSG00000105993.14",2486.5,2734,2202.5,3649.5
"ENSG00000106003.12",168.5,35,154,3.825
"ENSG00000106009.15",8.45,0.018,0.016,0.45
"ENSG00000106028.10",171.75,359,314.5,607
"ENSG00000106049.8",6.26,0.035,0.07,320.025
"ENSG00000106052.13",3890.5,7164,4626,3349
"ENSG00000106066.14",1.415,0.088,1.085,1.75
"ENSG00000106077.18",25.565,265,16,0.0395
"ENSG00000106080.10",8.0485,0.16,95.516,203
"ENSG00000106105.13",52.1,228,973,150.5
"ENSG00000106123.11",11.7,0.035,1.31,0.013
"ENSG00000106133.17",54.0285,114,173.5,34.05
"ENSG00000106144.19",3823.5,1695,2701,3064
"ENSG00000106153.12",2006,3284,950.5,1531
"ENSG00000106211.8",946,685,349,657.5
"ENSG00000106244.12",304.5,302,197.095,157
"ENSG00000106245.10",1478.5,1688,1163.5,1036.5
"ENSG00000106246.17",9.75,109,7.1,103.35
"ENSG00000106261.16",392.5,158,19.5485,606.5
"ENSG00000106263.17",33,4.8,327.5,492.5
"ENSG00000106266.10",2.95,115,0.235,1.875
"ENSG00000106268.15",540,189,49.565,88.1
"ENSG00000106290.14",11.5,37,0.0325,26.5
"ENSG00000106299.7",216,258,0.355,442.5
"ENSG00000106328.9",0.381,11,0.023,0.31
"ENSG00000106344.8",29.1,28,183,303.5
"ENSG00000106346.11",43,57,6.095,184.65
"ENSG00000106348.16",19.74,34,0.033,0.025
"ENSG00000106351.12",0.165,19,0.2,0.22
"ENSG00000106355.9",376.5,246,300.6,388
"ENSG00000106392.10",1033.5,1604,178.9,843.5
"ENSG00000106397.11",24.007,129,0.0345,238
"ENSG00000106399.11",981.5,705,130.605,419.5
"ENSG00000106400.11",457,630,152.305,811.5
"ENSG00000106415.12",923,2361,2444.5,568
"ENSG00000106443.15",65.675,108,11.615,669.5
"ENSG00000106459.14",123,117,1.49,79.55
"ENSG00000106460.18",128,0.54,0.0345,13.58
"ENSG00000106462.10",766,1077,525.5,355
"ENSG00000106477.18",11.0485,32,37.516,17.33
"ENSG00000106537.7",0.285,177,0.5,94.08
"ENSG00000106546.12",489.5,703,800,671
"ENSG00000106554.12",24.905,202,485.5,103.3
"ENSG00000106560.10",260.5,433,0.4545,32.7
"ENSG00000106565.17",7.528,0.07,1.24,0.0265
"ENSG00000106588.10",3740.5,3231,2106,2953
"ENSG00000106591.3",296.5,347,123.615,314.85
"ENSG00000106603.18",360.74,455,49.5,257.5
"ENSG00000106605.10",409,255,235.725,422.1
"ENSG00000106608.16",6,34,2.05,0.0765
"ENSG00000106609.16",147,362,76.8,220.1
"ENSG00000106610.14",35.145,17,0.0485,0.21
"ENSG00000106615.9",597.5,724,507,423
"ENSG00000106617.13",0.7485,0.51,286.13,0.595
"ENSG00000106628.10",34.37,0.23,0.0485,621.5
"ENSG00000106635.7",41.805,529,138,208.475
"ENSG00000106636.7",35.05,66,25.45,56.7
"ENSG00000106682.14",616.5,828,438.5,1409.5
"ENSG00000106683.14",1.05,17,0.13,0.055
"ENSG00000106701.11",0.0575,0.11,0.0345,117.025
"ENSG00000106723.16",263,647,57.017,239
"ENSG00000106733.20",125.45,458,8.5325,238
"ENSG00000106771.12",372,935,1799.5,592
"ENSG00000106780.8",113.0485,179,53.516,141.5
"ENSG00000106785.14",16.5,305,155,754.5
"ENSG00000106789.12",72,54,79,7.35
"ENSG00000106799.12",20.05,331,0.15,4.275
"ENSG00000106803.9",1446.5,1938,310,1536.5
"ENSG00000106829.18",63,92,22.275,371
"ENSG00000106948.16",745.5,475,297.5,438
"ENSG00000106952.7",390.325,220,329.516,141.5
"ENSG00000106992.17",4.495,11,0.016,19.4
"ENSG00000106993.11",145.5,430,500,147
"ENSG00000107020.9",255.16,1061,0.212,110.5
"ENSG00000107021.15",82.5,85,0.016,0.12
"ENSG00000107036.11",19.5485,391,0.6825,0.69
"ENSG00000107077.18",51.115,59,9.5,92
"ENSG00000107099.15",2464,1488,612,1920
"ENSG00000107130.9",0.105,25,369,0.08
"ENSG00000107164.15",67.675,0.088,0.55,0.825
"ENSG00000107175.11",9.565,48,37.5,11.5
"ENSG00000107185.9",6.5,0.035,10.5,159.05
"ENSG00000107201.9",132.55,191,70,451
"ENSG00000107223.12",937.5,1461,181,1544.5
"ENSG00000107262.19",316.5,506,295,545.5
"ENSG00000107263.18",161.5,239,11.9,134
"ENSG00000107281.9",0.0325,122,0.017,1.3265
"ENSG00000107290.13",474.42,479,1041,1255.5
"ENSG00000107331.16",1.59,0.018,1.3,1.75
"ENSG00000107341.4",85.8,164,295,804
"ENSG00000107362.13",60,81,52.13,2.1
"ENSG00000107371.12",120.42,230,255.5345,97.6
"ENSG00000107372.12",842,728,218.5,912.5
"ENSG00000107438.8",0.615,0.37,0.145,0.42
"ENSG00000107443.15",0.5,52,1.2345,7.2
"ENSG00000107485.15",340,871,614.5,491
"ENSG00000107521.18",46.325,20,370.0345,132
"ENSG00000107537.13",14.2,49,0.396,97.12
"ENSG00000107551.20",78.56,7.2,1.26,128
"ENSG00000107560.10",300,0.25,7.0345,966.5
"ENSG00000107566.13",9.225,74,0.0985,0.055
"ENSG00000107581.12",2182,1876,949,482.5
"ENSG00000107614.21",43.1,19,0.08,28.5
"ENSG00000107625.12",156.5,50,73.6,392.6
"ENSG00000107643.15",16.065,291,24,1.525
"ENSG00000107651.12",38.725,190,271,245
"ENSG00000107669.17",92.13,197,13.0485,75.05
"ENSG00000107672.14",53.145,184,8.24,0.08
"ENSG00000107679.14",411,138,1.97,18.575
"ENSG00000107738.19",410,623,17.325,172
"ENSG00000107742.12",1872.5,2293,3147,2970.5
"ENSG00000107745.18",204.5,102,53.645,171.5
"ENSG00000107758.15",88.115,723,243,1.375
"ENSG00000107771.15",265.695,687,321.5,1295.5
"ENSG00000107779.13",0.39,0.07,0.016,0.65
"ENSG00000107796.13",8.4,11,280.0325,91
"ENSG00000107798.17",93.35,0.23,357.2,66.7
"ENSG00000107819.13",42.08,21,0.016,245.55
"ENSG00000107829.13",134.5,6.5,82,23.8
"ENSG00000107854.5",228,393,197.31,32.5
"ENSG00000107862.4",182,56,459.517,91.125
"ENSG00000107863.17",51.805,3.3,0.0655,200.5
"ENSG00000107864.14",0.6,0.07,0.145,2.35
"ENSG00000107872.12",35.66,113,210.3,14.525
"ENSG00000107874.10",352.5,228,0.767,234.125
"ENSG00000107890.16",6.565,1.1,91.5325,76.5
"ENSG00000107897.18",143.675,25,90.675,20
"ENSG00000107902.13",31.516,0.37,0.0485,2.08
"ENSG00000107929.14",380.5,365,383,882.5
"ENSG00000107937.18",173.5,1388,336,784.5
"ENSG00000107938.17",49.775,159,9.5,94
"ENSG00000107949.16",989,1034,400,414
"ENSG00000107951.14",412,791,270,1054.9
"ENSG00000107957.16",99.13,0.018,295.5,29.5
"ENSG00000107959.15",187.5,3.6,60.7,274.025
"ENSG00000107968.9",240,2721,359.5,366
"ENSG00000108010.11",202.35,863,116,188.6
"ENSG00000108021.19",177,2112,650.5,121.88
"ENSG00000108039.17",56.24,104,0.26,31.5
"ENSG00000108055.9",2528,2897,1390,2653
"ENSG00000108061.11",486.5,1650,981.5,710
"ENSG00000108064.10",197.66,384,54.355,241.5
"ENSG00000108091.10",129.5,178,192,281
"ENSG00000108094.14",192.05,606,6.7,23
"ENSG00000108100.17",80.05,78,90.25,178
"ENSG00000108106.13",19.5485,79,36.5,0.625
"ENSG00000108107.14",1279.5,1602,1230,826.5
"ENSG00000108175.16",38.615,297,166.62,0.4
"ENSG00000108179.13",363.5,1.4,971.5,64
"ENSG00000108219.14",443,486,56,528.5
"ENSG00000108256.8",396,534,611,193.5
"ENSG00000108262.15",11.24,1.5,112.19,333.5
"ENSG00000108298.9",3698,5277,3425,4702
"ENSG00000108306.11",640.5,324,410.26,255.2
"ENSG00000108312.14",38.92,76,201.516,506
"ENSG00000108349.16",557.5,1059,118.5,1123
"ENSG00000108370.16",0.3315,23,0.016,0.055
"ENSG00000108384.14",27.24,6,411.5,127.5
"ENSG00000108389.9",65.24,6.5,0.07,290.2
"ENSG00000108395.13",104.595,172,0.016,213.5
"ENSG00000108406.9",329.5,270,251,24.67
"ENSG00000108423.14",110,571,455.5,1055
"ENSG00000108424.9",844,605,808,1661
"ENSG00000108433.16",70.405,202,205.45,144
"ENSG00000108439.10",22.195,232,22,225.55
"ENSG00000108443.13",292.8,1262,471.5,355
"ENSG00000108465.14",73.645,182,9.2,485
"ENSG00000108468.14",91.1,422,711.5,349
"ENSG00000108474.16",3.666,498,0.12,654
"ENSG00000108479.11",28.095,0.25,0.016,0.013
"ENSG00000108506.11",229,21,233.0485,0.6
"ENSG00000108509.20",30.195,176,4.4325,2.2
"ENSG00000108510.9",836.5,1615,1102.5,621
"ENSG00000108515.17",32,15,9.7,15.65
"ENSG00000108518.7",26548.5,27717,17517,22251
"ENSG00000108523.15",210.5,93,42.5345,9.3
"ENSG00000108528.13",138,131,0.1645,166
"ENSG00000108551.4",0.072,197,0.095,0.0765
"ENSG00000108559.11",275,266,121.5,185
"ENSG00000108561.8",632,1206,206,298
"ENSG00000108578.14",24,72,297,233.5
"ENSG00000108582.11",81.58,891,489.017,176
"ENSG00000108587.15",87.47,441,137.1,78.15
"ENSG00000108588.13",816.5,1589,1411,605.5
"ENSG00000108590.10",145,291,1.98,0.245
"ENSG00000108591.9",30.065,307,0.225,188.575
"ENSG00000108592.16",206.5,0.3,176.5,214.65
"ENSG00000108599.14",99.63,14,263.016,0.105
"ENSG00000108622.10",268.05,1044,10.675,661
"ENSG00000108639.7",1713,1838,176.5,1098.5
"ENSG00000108651.9",763.5,336,0.37,38.05
"ENSG00000108654.13",7323,9038,3368,7204.5
"ENSG00000108666.9",0.2595,426,0.276,133.05
"ENSG00000108669.16",1424.5,579,678.5,813
"ENSG00000108671.9",3511,1447,1826,3469.5
"ENSG00000108679.12",9.29,0.018,0.101,59.025
"ENSG00000108691.9",1.16,1.2,1.8,103.145
"ENSG00000108771.12",0.014,1.8,0.65,1.0765
"ENSG00000108774.14",72.5325,38,86,170.5
"ENSG00000108788.11",45.5,160,53.517,745.815
"ENSG00000108798.8",206.5,67,17.55,1025.5
"ENSG00000108799.12",72.645,775,0.25,258.5
"ENSG00000108821.13",0.03,0.07,0.0345,0.0265
"ENSG00000108826.15",538,423,435.5,886.5
"ENSG00000108828.15",66,0.81,0.0345,1.175
"ENSG00000108829.9",55.21,2.8,104.235,31.175
"ENSG00000108840.15",0.85,0.053,3.317,2.2
"ENSG00000108848.15",2179,1715,965,924
"ENSG00000108854.15",499,216,240.5,555.5
"ENSG00000108861.8",0.95,0.018,1.4325,0.145
"ENSG00000108883.12",107,67,256.5,462
"ENSG00000108924.13",248.5,242,361.5325,25.6
"ENSG00000108946.14",665,1430,392,1220.5
"ENSG00000108953.16",3334.5,1667,2574,5210.5
"ENSG00000108960.7",18.42,211,130.645,1.065
"ENSG00000108961.13",175.79,530,191.5,222.5
"ENSG00000108963.17",1.965,11,3.466,5.05
"ENSG00000109016.17",1.975,0.035,0.115,0.0395
"ENSG00000109046.14",1621.5,3756,1476,2783.5
"ENSG00000109062.11",69.5,512,188.775,171.5
"ENSG00000109065.11",1.18,2.8,2.295,56
"ENSG00000109079.9",0.435,131,22.016,9
"ENSG00000109083.13",478.5,560,513.395,246.5
"ENSG00000109084.13",4.7,0.43,0.068,0.235
"ENSG00000109103.11",202.5,0.07,0.0985,9
"ENSG00000109107.13",318.6,66,474,296.5
"ENSG00000109111.14",246.095,87,108.5,111.2
"ENSG00000109113.19",4.6,0.053,0.082,6.5
"ENSG00000109118.13",308.5,518,115,388
"ENSG00000109133.12",2635.5,746,374.5,1786.5
"ENSG00000109171.14",164.355,745,625.5,614.5
"ENSG00000109180.14",275.7,437,24.5,507.5
"ENSG00000109184.14",42.95,0.12,50.0325,250.5
"ENSG00000109220.10",215.5,397,554.55,794
"ENSG00000109270.12",62.885,1315,332.2,295
"ENSG00000109320.11",843,519,393,926.5
"ENSG00000109321.10",25.016,1.4,1.57,89.2
"ENSG00000109323.8",53.76,507,0.31,232.65
"ENSG00000109332.19",3683,4383,2036,4032
"ENSG00000109381.19",309.5,96,206.5,570
"ENSG00000109390.11",1076,740,405,440
"ENSG00000109436.7",0.215,0.33,0.36,0.225
"ENSG00000109445.10",153.0485,0.21,18.58,179.5
"ENSG00000109452.12",249.565,10,321.5325,52.55
"ENSG00000109466.13",586.5,419,702,233
"ENSG00000109475.16",7403.5,10210,3135,5264
"ENSG00000109519.12",473.5,971,292,444.5
"ENSG00000109536.11",979.5,219,289,164
"ENSG00000109572.13",155,975,3.53,71
"ENSG00000109586.11",60.585,986,0.42,491.5
"ENSG00000109606.12",230.95,1080,330.5,1230
"ENSG00000109670.13",2105,693,1077,1492
"ENSG00000109680.10",0.037,0.12,0.033,65.67
"ENSG00000109685.17",334,26,0.225,1171.17
"ENSG00000109686.17",61,97,25,34.5
"ENSG00000109689.15",1103.5,674,74.21,79.5
"ENSG00000109736.14",128.08,47,0.016,34.975
"ENSG00000109756.8",18.97,17,1.72,18
"ENSG00000109762.15",70.016,463,59.0485,70
"ENSG00000109771.15",11.6,31,0.017,0.055
"ENSG00000109775.10",41.6,1.4,2,275.6
"ENSG00000109787.12",101.725,2.5,0.54,2.32
"ENSG00000109790.16",321,392,0.575,11.7
"ENSG00000109805.9",25,218,0.0985,168.5265
"ENSG00000109814.11",110,119,0.255,0.65
"ENSG00000109854.13",158.5,790,24.016,790.5
"ENSG00000109861.15",1061.5,1639,848,1190.5
"ENSG00000109881.16",379.007,0.088,0.19,0.105
"ENSG00000109906.13",7.5,0.46,2.9,0.0395
"ENSG00000109917.10",82.24,201,483.965,581.5
"ENSG00000109919.9",66.65,147,388,263.7
"ENSG00000109920.12",1411.5,1789,596.5,1180.5
"ENSG00000109929.9",317.5,417,0.365,402.5
"ENSG00000109943.8",73.85,181,113.145,16.65
"ENSG00000109971.13",2708,3561,4400,2806.5
"ENSG00000110002.15",0.78,0.12,0.097,113.025
"ENSG00000110011.13",11.115,65,0.0985,6.8
"ENSG00000110013.12",106.5,11,0.016,0.038
"ENSG00000110025.12",17.516,7.1,302.75,0.65
"ENSG00000110031.12",1810,1670,632,1023.5
"ENSG00000110046.12",52.5,0.19,0.3095,228
"ENSG00000110047.17",430.5,152,405,52
"ENSG00000110048.11",759,96,125,13.625
"ENSG00000110060.8",49.095,74,55,97.5
"ENSG00000110063.8",15.15,0.088,0.0325,0.063
"ENSG00000110066.14",86.095,561,32.5485,173.075
"ENSG00000110075.14",1045,1010,702.5,1294
"ENSG00000110077.14",5.79,0.07,1.21,0.075
"ENSG00000110079.16",3.105,0.018,0.0325,0.013
"ENSG00000110090.12",94.1,4.7,5.517,1.2
"ENSG00000110107.8",5.5485,4.4,0.0485,30
"ENSG00000110108.9",135,21,39.26,145
"ENSG00000110172.11",570,20,913.5,942.5
"ENSG00000110200.8",139.645,290,174,25.95
"ENSG00000110245.11",20.5415,0.18,0.0345,0.038
"ENSG00000110274.15",121,89,286,0.22
"ENSG00000110315.6",7.5485,0.3,47.5,0.635
"ENSG00000110321.16",1609,2715,2767.5,2376
"ENSG00000110324.10",1595,877,559.5,158
"ENSG00000110330.8",1011,2049,633,1423.5
"ENSG00000110344.9",560.5,305,359,487.5
"ENSG00000110367.11",1028.5,1117,180.85,1162
"ENSG00000110395.6",140.225,209,376,368.075
"ENSG00000110400.10",0.152,0.018,0.016,0.055
"ENSG00000110422.11",281.55,154,313.8,592.5
"ENSG00000110429.13",262.5,364,1149.5,239.5
"ENSG00000110435.11",438.5,64,173.05,0.25
"ENSG00000110442.11",750,133,0.405,168.525
"ENSG00000110446.10",0.405,0.018,0.135,0.013
"ENSG00000110448.10",731,366,312.5,953
"ENSG00000110497.14",13,84,10.5,41.5
"ENSG00000110514.19",97.5,306,145.195,220
"ENSG00000110536.13",99,188,39.5485,237
"ENSG00000110583.12",122,6,144.5325,117
"ENSG00000110619.17",62.7,426,46.5485,606.25
"ENSG00000110628.13",0.435,0.018,0.017,78.5
"ENSG00000110651.11",265,12,766.2,433
"ENSG00000110660.14",3052.5,2081,1040,2943.5
"ENSG00000110696.9",4831,2640,1425,3030
"ENSG00000110700.6",3552.5,3492,2060.5,2597.5
"ENSG00000110711.9",751,814,340.6,367.5
"ENSG00000110713.15",270.5,487,929.5,899
"ENSG00000110717.12",310.5,566,6.55,513.5
"ENSG00000110719.9",66.29,0.11,0.9,16.55
"ENSG00000110756.17",74.63,260,5.725,25.315
"ENSG00000110768.11",426.5,1078,76.5,2022
"ENSG00000110777.11",34.016,0.51,0.845,0.8
"ENSG00000110801.13",818,582,893.145,202.5
"ENSG00000110841.13",0.0995,0.035,0.033,0.065
"ENSG00000110848.8",1071,5277,1356,620.5
"ENSG00000110851.11",154,354,922.3,2.35
"ENSG00000110852.4",2045,3738,492.15,459
"ENSG00000110871.14",36.675,187,409,100.25
"ENSG00000110876.9",560.5,963,404.5,505
"ENSG00000110880.10",21.8,416,60.6,1.65
"ENSG00000110888.17",33.065,0.18,46.5325,0.92
"ENSG00000110906.12",78,105,415.5345,142.6
"ENSG00000110911.14",341,49,0.22,339.5
"ENSG00000110917.7",474.5,0.21,0.121,23.63
"ENSG00000110925.6",236.5,97,478.12,63.513
"ENSG00000110931.18",36,139,1.716,0.105
"ENSG00000110934.10",366,1568,219.74,37.175
"ENSG00000110944.8",0.185,399,1.265,0.0265
"ENSG00000110955.8",1694.5,1825,953,3349
"ENSG00000110958.15",1887.5,2705,387.5,2626
"ENSG00000111011.17",2629,3296,1105.5,3251.5
"ENSG00000111142.13",1352.5,1092,471.5,532
"ENSG00000111144.9",73.175,1404,631.5,261.5
"ENSG00000111145.7",392.95,971,1175.5,658.5
"ENSG00000111196.9",49.5,39,151.017,124.825
"ENSG00000111203.11",249,3.1,0.6485,0.185
"ENSG00000111229.15",2789,7223,979,2321.5
"ENSG00000111231.8",58.35,218,25.935,287.175
"ENSG00000111237.18",1129.5,1087,1723.5,1009.5
"ENSG00000111247.14",0.136,0.79,0.24,0.105
"ENSG00000111252.10",22,424,0.355,9.05
"ENSG00000111266.8",501,631,1253.5,486
"ENSG00000111269.2",534.5,848,62.4,755
"ENSG00000111275.12",1.35,0.07,0.445,0.08
"ENSG00000111276.10",196.5,465,645.5,728
"ENSG00000111300.9",58.5325,50,1465,188
"ENSG00000111328.6",8.05,0.56,0.115,74.5
"ENSG00000111331.12",202.24,803,22.645,32
"ENSG00000111335.12",20.9,299,109.5,185.5
"ENSG00000111348.8",25418,37401,15355.5,17761
"ENSG00000111361.12",359,600,362.205,132.6
"ENSG00000111364.15",185.13,1274,231.5,82
"ENSG00000111371.15",5095,5190,1507,3616
"ENSG00000111412.5",6.5,0.56,0.41,0.725
"ENSG00000111424.10",195.5,474,578,411
"ENSG00000111445.13",383,0.035,0.083,0.044
"ENSG00000111450.13",25.675,3.2,4.2,96.525
"ENSG00000111481.9",701,742,267.21,195.025
"ENSG00000111530.12",318.76,98,51.79,414
"ENSG00000111536.4",54.5,3.2,26.565,36
"ENSG00000111540.15",27.15,1.7,147.605,1033
"ENSG00000111554.14",141.5,190,4.325,184
"ENSG00000111581.9",44.115,554,0.65,765
"ENSG00000111596.11",602.5,2427,997.5,729.5
"ENSG00000111602.11",20.58,0.4,0.016,0.055
"ENSG00000111605.16",688,428,69,398.5
"ENSG00000111615.13",662,439,893.5,1229
"ENSG00000111639.7",1916,2056,816.5,875.5
"ENSG00000111640.14",7265,10051,5992,6813.5
"ENSG00000111641.11",49.935,239,0.0655,147.5
"ENSG00000111642.14",1830.5,1232,539,181
"ENSG00000111647.12",202.5,251,1.53,315.5
"ENSG00000111653.19",37.016,0.053,0.016,0.0515
"ENSG00000111665.11",0.072,0.035,0.145,0.0395
"ENSG00000111666.10",10.325,27,0.19,0.235
"ENSG00000111667.13",1.966,18,11.016,32
"ENSG00000111669.14",2481,4367,3280.5,4383.5
"ENSG00000111670.14",114.5,288,292.5,246
"ENSG00000111674.8",52.016,0.21,0.0505,36.5
"ENSG00000111676.14",6.516,4.9,10.5,45
"ENSG00000111678.10",1161.5,531,48.435,843
"ENSG00000111679.16",150.5,0.35,0.405,988.5
"ENSG00000111684.10",153.5,4.7,0.115,0.0645
"ENSG00000111696.11",0.0555,0.07,0.016,0.17
"ENSG00000111707.11",94.405,196,123.517,647
"ENSG00000111711.9",331.29,641,0.47,53.5
"ENSG00000111716.12",3189.5,4345,1626,3493
"ENSG00000111725.10",73.5325,598,0.7,72
"ENSG00000111726.12",74.74,337,0.0825,33.4
"ENSG00000111727.11",87,101,35.516,124.75
"ENSG00000111728.10",54.5,656,0.017,294
"ENSG00000111729.14",0.621,0.018,52.5,0.08
"ENSG00000111731.12",51,253,182.016,647.5
"ENSG00000111737.11",25.5,6.3,13.2,1.525
"ENSG00000111752.10",145.5,94,530.245,17.5
"ENSG00000111775.2",3159.5,5929,3872.5,3480
"ENSG00000111786.8",195.5,302,606.5,1.2
"ENSG00000111790.13",1041.5,1445,1868,650.5
"ENSG00000111796.3",2873,3581,2764.5,2011.5
"ENSG00000111801.15",105,0.3,0.567,79.115
"ENSG00000111802.13",201.5,118,205.565,484
"ENSG00000111817.16",112.5325,93,725.78,408.825
"ENSG00000111832.12",563,92,659.5,496.5
"ENSG00000111837.11",15.5,118,0.145,2.455
"ENSG00000111843.13",186.4,834,208.5,113
"ENSG00000111845.4",218.08,497,231.5,33.575
"ENSG00000111850.10",42.115,0.21,0.0485,0.35
"ENSG00000111859.16",260.5,693,158.5,332
"ENSG00000111860.13",248.8,602,10.25,325.91
"ENSG00000111863.12",2.1,25,4.895,148.5
"ENSG00000111875.7",1113,1327,1790,588
"ENSG00000111877.17",86.15,259,24.8,272
"ENSG00000111879.18",55.5485,0.018,157,386
"ENSG00000111880.15",732,0.16,271.105,157.5
"ENSG00000111885.6",456.5,205,21.8,342.675
"ENSG00000111897.6",1227,2555,887.5,1007
"ENSG00000111906.17",383,789,12.405,27.25
"ENSG00000111911.6",29.175,507,0.016,159.05
"ENSG00000111912.19",660.5,111,184,208
"ENSG00000111913.17",470.5,780,284.6,146.5
"ENSG00000112029.9",271.5,13,18.69,50.55
"ENSG00000112031.15",182.15,0.54,7.0325,91
"ENSG00000112033.13",0.014,115,0.186,0.0265
"ENSG00000112039.3",0.03,0.035,3.9,0.0265
"ENSG00000112062.10",198.5415,294,0.016,663.1
"ENSG00000112078.13",268.5,1217,500.805,686
"ENSG00000112079.8",245.5,408,480.5,413.1
"ENSG00000112081.16",7148.5,3581,1447.5,10352.5
"ENSG00000112096.16",764.5,930,279,707
"ENSG00000112110.9",343,399,390.2,542
"ENSG00000112115.5",75.5,4452,0.017,58
"ENSG00000112116.9",156.5,595,121,6.05
"ENSG00000112118.18",399.5,192,12.35,44.825
"ENSG00000112130.16",1.825,430,164.65,346
"ENSG00000112137.17",29.885,2.5,4.26,131.7
"ENSG00000112146.16",52.985,91,308.5,317
"ENSG00000112149.9",586,172,229.65,1207
"ENSG00000112159.11",191.595,364,41.485,279
"ENSG00000112167.9",11.065,0.18,276,624
"ENSG00000112182.14",13.385,1.3,2.9325,20.075
"ENSG00000112200.16",384.5,717,263.5,347.5
"ENSG00000112208.11",27.5485,141,36.5,0.055
"ENSG00000112234.8",1.765,215,0.016,63.5
"ENSG00000112237.12",153.95,602,1112.7,953
"ENSG00000112242.14",0.0995,510,27.65,81.25
"ENSG00000112245.10",547,1173,1164,466
"ENSG00000112249.13",322,628,43.79,540.5
"ENSG00000112282.17",40.5,197,47.5,159.5
"ENSG00000112297.14",722,1549,151.12,261.15
"ENSG00000112304.10",172,338,12.5,387.5
"ENSG00000112305.14",224,173,124,467
"ENSG00000112306.7",2210,1476,2595,1482
"ENSG00000112308.12",13764,6633,5351.5,14204.5
"ENSG00000112309.10",495.5,412,176.65,94.5
"ENSG00000112312.9",89.87,317,1.155,165.25
"ENSG00000112335.14",109.35,195,39.58,899.5
"ENSG00000112339.14",419,926,74,119
"ENSG00000112343.10",413,572,876,679.5
"ENSG00000112365.4",138.5,301,185.63,4.25
"ENSG00000112367.10",10.25,0.23,230,0.14
"ENSG00000112378.11",87.15,227,3.85,120.8
"ENSG00000112406.4",738.15,1618,3760,1479
"ENSG00000112419.14",5286,3519,2704,5122.5
"ENSG00000112473.17",6.26,0.12,1.15,0.913
"ENSG00000112486.15",6420.5,3809,3874,2658.5
"ENSG00000112511.17",206.5,129,0.0325,10.88
"ENSG00000112514.15",660.5,972,465.5,720.5
"ENSG00000112531.16",565.5,611,108.5,725.5
"ENSG00000112561.17",35.5,0.07,0.017,4.15
"ENSG00000112576.12",185.5,474,50.517,12.45
