,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CENPL,137.0778229,10.70027732,2.666820115,4.01237311,6.01E-05,0.005448215
CCL3,213.6002107,-6.573465368,1.639521957,-4.009379282,6.09E-05,0.005448215
KLHL18,245.9857712,5.819849349,1.45384843,4.003064713,6.25E-05,0.005520137
SMG1P4,133.9699572,-9.143827944,2.296996118,-3.980776404,6.87E-05,0.005906818
AHCTF1,379.6462965,-6.266391934,1.574197358,-3.980690162,6.87E-05,0.005906818
GCFC2,175.2125683,6.475508824,1.638518717,3.952050568,7.75E-05,0.006574095
SNHG17,130.8324947,9.228347825,2.337954473,3.947188849,7.91E-05,0.00662297
CLIC5,137.568583,-9.089578541,2.331293241,-3.898942605,9.66E-05,0.007989584
MON2,449.1353179,-5.990149203,1.546574941,-3.873170994,0.000107428,0.008772872
OAS2,142.8074838,-10.64617542,2.752367629,-3.868006331,0.000109729,0.008850103
CCDC86,136.1979281,-9.16886878,2.372651672,-3.864397327,0.000111364,0.008872437
SLC7A6,263.0013958,-6.672993473,1.735523231,-3.844946213,0.000120579,0.009490866
YJU2,102.2617096,10.27760718,2.677017093,3.83920118,0.000123435,0.00960003
LGALSL,122.772086,9.13742117,2.387120897,3.827799917,0.000129294,0.009937369
PCGF1,93.71079321,-10.03841158,2.630168489,-3.816642021,0.00013528,0.010276578
CD274,95.26852211,-10.06162855,2.643820797,-3.805715034,0.000141395,0.010617635
CYP1B1,137.3295148,-10.58923486,2.786905921,-3.799638439,0.000144907,0.010757724
SLC4A10,136.8100589,-10.58376681,2.788439316,-3.795588001,0.000147294,0.010812037
CDKN2AIP,87.04980862,-9.931989002,2.66190119,-3.731163666,0.000190597,0.013835249
IQCG,139.5858528,9.324980781,2.5103259,3.714649473,0.000203486,0.014608475
CALCOCO1,81.77616524,9.954707161,2.683770078,3.709225035,0.000207895,0.014762776
CCDC144A,118.0051935,10.48412119,2.829133347,3.705771311,0.000210748,0.014804508
PPP2CB,84.20143188,-9.883585,2.679332997,-3.688822931,0.000225294,0.015511139
UBA5,87.54325725,-9.939622606,2.694740395,-3.688526963,0.000225556,0.015511139
FARSB,112.5755935,-8.796451986,2.388093021,-3.683462876,0.000230087,0.015657887
PALB2,90.77910497,-9.991941235,2.721591522,-3.671359627,0.000241264,0.016249226
LIMS1,224.5492328,-5.896749111,1.608823003,-3.665256588,0.000247091,0.016471875
PCID2,172.2963763,-7.313757363,2.000845424,-3.655333528,0.000256848,0.016949363
NAA30,593.388257,4.414623865,1.209476916,3.650027384,0.000262212,0.017009791
CHML,89.93578766,-9.979175525,2.734556123,-3.649285323,0.000262971,0.017009791
SDHAF1,105.6190802,-8.704290331,2.390451897,-3.641273995,0.000271292,0.017376001
PLAUR,175.4581018,-6.11541014,1.682141849,-3.63549016,0.000277453,0.017464506
SCYL3,170.3063042,6.16640227,1.696414075,3.634962926,0.000278021,0.017464506
TSR3,197.5849704,7.368513352,2.0306466,3.628653726,0.000284903,0.017726398
FABP1,251.062744,-6.059391104,1.675085699,-3.617361851,0.000297621,0.018191803
HDHD3,86.35716242,-9.919896844,2.742519897,-3.617073792,0.000297952,0.018191803
TLR7,78.85672552,-9.789293091,2.716138951,-3.604120874,0.000313211,0.018946382
ATP11B,310.1090807,-5.963418279,1.657584581,-3.597655498,0.000321099,0.019245291
GLRX5,193.8613218,-7.905599737,2.208330688,-3.579898509,0.000343728,0.0204143
SLFN5,101.8918473,-8.65064628,2.423471996,-3.569525991,0.000357628,0.021048486
SPRTN,78.81468776,9.901227386,2.776109528,3.566583841,0.000361665,0.021096057
SAYSD1,129.2917752,7.73656878,2.174123919,3.558476456,0.000373012,0.021565388
