"","stage1","stage2","stage3","stage4"
"AKAP10",29,14,166,62
"AKAP11",805,2405,211,180
"AKAP13",518,1158,1103,1672
"AKAP17A",29,113,505,52
"AKAP5",6,0,2,93
"AKAP8",120,140,984,37
"AKAP8L",10,0,23,103
"AKAP9",1202,1474,1797,2353
"AKIP1",21,0,0,51
"AKIRIN1",257,298,800,901
"AKIRIN2",207,561,105,448
"AKNA",91,34,467,445
"AKR1A1",84,26,374,487
"AKR1B1",84,128,689,419
"AKR1C3",2,0,0,0
"AKR7A2",0,47,0,102
"AKT1",12,221,1,38
"AKT2",89,0,86,133
"AKT3",24,2,834,92
"AKTIP",1,128,9,0
"ALAD",42,0,12,42
"ALAS1",6,834,79,185
"ALB",20,2,1,0
"ALCAM",4,0,310,211
"ALDH16A1",91,320,68,18
"ALDH18A1",274,662,0,24
"ALDH2",0,1,0,0
"ALDH6A1",71,25,0,157
"ALDH9A1",101,4,163,114
"ALDOA",1689,1826,1046,2603
"ALDOC",48,0,0,133
"ALG1",174,0,0,82
"ALG10",0,10,0,0
"ALG10B",0,0,0,0
"ALG11",23,706,413,573
"ALG13",653,1648,1154,1383
"ALG14",66,1,0,18
"ALG2",21,1,0,1
"ALG3",13,153,106,71
"ALG5",18,48,57,172
"ALG6",53,3,0,137
"ALG8",91,143,167,243
"ALG9",67,0,0,8
"ALKBH2",74,0,22,50
"ALKBH5",21,320,307,214
"ALKBH6",37,0,25,62
"ALKBH7",293,10,381,37
"ALMS1",31,0,252,0
"ALOX5",157,0,340,183
"ALOX5AP",688,2647,794,1312
"ALPL",6,0,242,85
"ALYREF",287,4,50,55
"AMBP",20,0,1,0
"AMD1",367,1432,1185,668
"AMD1P2",0,0,0,0
"AMFR",1587,3551,595,1460
"AMMECR1",0,0,0,88
"AMMECR1L",1,117,0,1
"AMPD2",274,0,69,63
"AMPD3",6,0,81,176
"AMT",0,0,0,0
"AMY2B",0,0,26,0
"AMZ2",61,16,108,620
"AMZ2P1",27,405,0,63
"ANAPC1",21,136,115,286
"ANAPC10",137,0,0,23
"ANAPC11",597,1520,65,631
"ANAPC13",129,56,208,481
"ANAPC15",26,269,88,178
