hgnc_symbol,C473,C481,LC03,RC02,RC03,LC01,R03,R02
AHNAK,1255.6,2.388888889,655.1612903,652.6923077,320.3243243,90.08163265,575.962963,72.35714286
AHR,1172.43,40.27777778,247.9494624,279.4615385,278.1521622,6.812244898,539.1781481,0.25125
AHSA1,631.1333333,244.3518519,213.3010753,439.3846154,1.405405405,81.89795918,5.851851852,294.375
AHSA2P,3.038666667,107.4583333,115.1526882,1.934615385,456.0572973,0.694897959,0.62962963,62.98267857
AIDA,143.4666667,75.2962963,163.8898925,2097.461538,799.9567568,0.795918367,20.48148148,0.285714286
AIF1,1.4,0.555555556,1.612903226,0.230769231,298.3783784,0.795918367,0.259259259,0.178571429
AIMP1,827.8666667,186.2407407,362.4623656,0.076923077,307.6486486,70.18367347,514.962963,121.3214286
AIP,2.866666667,658.7962963,760.8709677,1133.230769,0.108108108,0.510204082,0.111111111,280.8392857
AK2,335.0666667,928.4846296,181.2258065,93.22461538,1853.410541,496.6242857,0.037037037,27.15357143
AK3,0.266666667,2.222222222,227.3548387,0.230769231,31.18918919,16.36734694,0.074074074,0.178571429
AKAP1,499.2,0.240740741,329.1612903,0.307692308,151.2162162,14.7755102,1.555555556,0.035714286
AKAP11,455.4,252.0555556,107.2795699,103.9230769,1064.27027,2405.244898,74.25925926,546.0714286
AKAP13,61.83466667,1152.451667,2191.433226,191.2307692,619.2351351,1157.930204,3055.188519,416.9441071
AKAP17A,565.5666667,86.05555556,18.56451613,908.2692308,0.040540541,112.8877551,42.07407407,57.125
AKAP5,0.333333333,0.222222222,185.1505376,0.384615385,0.027027027,0.224489796,4.407407407,11.44642857
AKAP8,0.333333333,23.33333333,50.50537634,2143.846154,77.59459459,139.7346939,807.6296296,162.2857143
AKAP9,3065.8,1869.796296,2835.612903,1590.769231,1357.243243,1474.183673,732.962963,1046.017857
AKIRIN1,1402.333333,1160.592593,641.5591398,1.615384615,393.2972973,298.3469388,996.7037037,121.2857143
AKIRIN2,308.4666667,588.6296296,306.6021505,0.307692308,313.6486486,560.8979592,6.666666667,100.0535714
AKNA,55.26666667,210.1481481,679.4301075,2.230769231,125.7837838,33.85714286,1342.666667,55.94642857
AKR1A1,73.53333333,311,662.7311828,1046.076923,1.027027027,26.08163265,1.37037037,167.6071429
AKR1B1,2062.333333,641.7222222,196.3010753,0.307692308,63.05405405,128.1428571,5.148148148,105.75
AKR7A2,0.6,203.7777778,0.505376344,0.153846154,0.351351351,46.75510204,0.074074074,0.535714286
AKT1,1.666666667,76.02166667,0.204301075,0.230769231,0.06027027,221.1932653,0.37037037,23.86946429
AKT3,3.690666667,12.09722222,172.0354839,2.329230769,20.63378378,2.244897959,2494.63,27.73214286
ALCAM,0.666666667,319.3703704,103.4623656,0.153846154,0.081081081,0.12244898,929.1111111,7.553571429
ALDH16A1,166.79,25.03703704,11.29032258,0.153846154,119.0540541,320.3469388,38.33333333,62.92857143
ALDH2,0.133333333,0.353148148,0.634408602,0.153846154,0.648648649,1.470816327,0.222222222,0.089285714
ALDH9A1,0.466666667,173.2592593,55.5483871,0.153846154,92.64864865,4.326530612,488.9259259,109.0892857
ALDOA,1962.8,4723.277778,483.2580645,5.615384615,1854.054054,1826.428571,1170.481481,1523.124821
ALG13,67.33333333,1227.518519,1538.537634,3003.769231,272.7567568,1647.755102,390.2222222,1032.928571
ALG2,0.266666667,1.092592593,0.010752688,0.615384615,0.702702703,1.081632653,0.185185185,41.55357143
ALG3,52.2,0.462962963,141.8817204,0.076923077,9.702702703,152.6938776,266.2962963,17.23214286
ALG5,0.866666667,343.5185185,0.52688172,0.153846154,0.135135135,47.87755102,170.7037037,35.17857143
ALKBH5,12.26666667,134.962963,292.0430108,0.153846154,0.459459459,320.4693878,909.8518519,40.98214286
ALKBH7,0.066666667,73.90740741,0.182795699,1141.384615,547.8918919,9.734693878,2.296296296,39.08928571
ALMS1,48.93333333,0.037037037,0.365591398,0.230769231,62.54054054,0.12244898,707.2592593,0.178571429
ALOX5AP,748.4,2052.12963,572.8387097,984.6923077,542.5675676,2646.734694,648.7777778,832.9107143
ALYREF,44.66666667,107.462963,2.849462366,1.307692308,572.9189189,3.693877551,105.4074074,1.25
AMD1,3.266666667,559.0925926,776.5376344,3131.230769,418.1351351,1431.871224,421.5555556,314.9821429
AMFR,13.46666667,810.962963,2110.021505,572.8461538,2986.918919,3550.816327,1197.703704,187.3035714
ANAPC1,333.1813333,214.3783333,356.7386022,0.538461538,25.8572973,135.7959184,10.33333333,15.44285714
ANAPC11,188.4666667,1082.407407,179.5053763,1.615384615,738.8648649,1519.693878,4.259259259,455.2678571
ANAPC16,1013.666667,1117.293333,2172.564624,1949.608462,367.2702703,2091.303265,688.4796296,905.7855357
ANAPC5,974.2666667,54.44444444,267.2580645,42.46153846,151.0540541,220.4693878,503.8148148,276.9107143
ANKH,0.266666667,0.222222222,229.9462366,6.153846154,41.51351351,0.081632653,2397.259259,0.053571429
ANKHD1,2176.4,621.5953704,795.6989247,8.769230769,447.9521622,292.9636735,3.62962963,621.3928571
ANKIB1,4.8,184.6666667,451.3548387,0.307692308,823.4324324,8.795918367,0.148148148,0.535714286
ANKLE2,3.8,823.537037,353.311828,3.923076923,0.216216216,207.755102,0.62962963,244.0714286
ANKRD10,327.2,1078.888889,1974.311828,26.92307692,4318.702703,603.122449,1201,582.375
ANKRD11,880.2666667,796.4335185,1049.974624,1147.846154,2971.783784,860.3877551,53.18518519,691.8571429
ANKRD12,6865.736,4012.192407,3154.585376,3834.586154,3125.103514,1321.270816,2884.961111,1211.696071
ANKRD13A,828.4666667,600.4625926,134.2258065,264.0769231,1191.756757,957.7755102,218.897037,529.25
ANKRD17,123.3333333,13.07407407,646.2043011,0.076923077,2.162162162,415.9591837,522.5925926,212.9285714
ANKRD28,81.2,942.537037,8.838709677,20.30769231,8.243243243,0.612244898,1.962962963,129.6607143
ANKRD33B,1825.133333,357.4937037,55.74193548,13.38461538,0.648648649,295.4081633,0.481481481,198.4464286
ANKRD36,488.7713333,328.0131481,749.4415054,490.51,270.9994595,498.1428571,50.77,259.4282143
ANKRD36B,8.758666667,2.919814815,515.6530108,182.3838462,560.1437838,50.97387755,297.5374074,246.3830357
ANKRD36BP2,0.066666667,0.018518519,0.301075269,1.538461538,4.297297297,0.265306122,2.001481481,39.305
ANKRD36C,317.5366667,289.9931481,610.5615054,1978.26,174.4245946,29.88326531,95.83925926,366.1157143
ANKRD37,0.266666667,298.8998148,127.4073118,981.1523077,0.135135135,250.8536735,715.2474074,176.1183929
ANKRD39,0.133333333,160.2777778,47.5483871,0.076923077,11.32432432,0.020408163,0.111111111,34.91071429
ANKRD40,1169.799333,486.9987037,2329.699355,3309.685385,1197.698919,2787.450816,0.932962963,298.6758929
ANKRD44,915.2,2879.240741,6859.655914,2653.923077,1704.756757,177.7142857,231.7777778,1138.642857
ANKRD49,71.26666667,406,148.827957,0.538461538,148.2702703,686.8979592,198.2592593,217.9821429
ANP32A,833.4,295.7962963,134.7204301,408.0769231,113.8108108,1882.367347,2,59.10714286
ANP32B,1742,689.9814815,1201.204301,1243.230769,1767.081081,85.91836735,1160.888889,403.3392857
ANP32BP1,3.333333333,0.592592593,0.870967742,0.076923077,1.459459459,0.040816327,0.666666667,0.482142857
ANP32E,734.7333333,5708.981481,5894.806452,635,4910.378378,10119.16327,2449.111111,4213.75
ANXA1,2811.533333,3345.166667,925.3763441,4260.230769,75.81081081,143.4081633,1570,16.19642857
ANXA11,41.33333333,281.1296296,220.6344086,0.153846154,447.8108108,0.387755102,0.333333333,75.05357143
ANXA2,1729.919333,564.5033333,1239.846559,1650.017692,14.40540541,149.9791837,1858.938519,714.2573214
ANXA5,2119.066667,379.6481481,61.08602151,1673,296.4864865,197.8571429,58.62962963,296.5714286
ANXA7,1011.6,1251.129444,167.0967742,2107.384615,838.8108108,3.040816327,646.2222222,631
AP1AR,337,48.03703704,7.935483871,42.53846154,36.35135135,230.5918367,166.9259259,74.75
AP1B1,123.2,421.962963,6.784946237,0.153846154,1196.702703,1138.591837,0.037037037,79.77660714
AP1G1,1.333333333,599.7037037,2129.870968,193.8461538,693.6486486,748.3265306,355.5925926,1180.892857
AP1G2,36.504,284.5712963,13.74849462,1.307692308,6.459459459,683.1163265,461.7488889,224.0667857
AP1M1,0.466666667,0.851851852,35.29032258,0.153846154,0.243243243,156.1428571,0.407407407,124.2321429
AP1S2,1.466666667,216.5911111,607.0201075,1673.384615,119.3243243,356.8942857,458.5925926,299.1960714
AP2M1,8.666666667,683.7407407,119.3225806,15.38461538,416.2162162,782.8163265,150.8148148,387.5357143
AP2S1,235.2,86.66666667,75.06451613,0.153846154,18.56756757,308.8571429,0.407407407,22.82142857
AP3S1,4.333333333,1453.38537,639.3548387,9.153846154,1.621621622,2288.285714,1283.333333,570.3392857
APBB1IP,2.6,302.1481481,420.2150538,1398.307692,151.1081081,37.81632653,225.4444444,939.9642857
APC,133.3333333,396.3888889,166.7096774,80.23076923,390.7567568,609.6734694,0.037037037,1.964285714
APEX1,97.66666667,878.5925926,441.9784946,0.230769231,949.8918919,0.183673469,137.8148148,398.1785714
API5,1079.475333,206.8885185,411.29,0.153846154,6.756756757,369.6920408,1245.777778,274.8748214
APIP,0.466666667,249.7592593,34.95698925,1.307692308,0.189189189,0.204081633,929.3703704,85.16071429
APLP2,2.4,706,379.5806452,31.76923077,741.8648649,2259.510204,725.5925926,363.3214286
APMAP,4.333333333,689.2777778,104.2258065,0.615384615,4.324324324,0.714285714,279.0740741,10.05357143
APOBEC3C,871.9333333,1322.925926,2014.860215,65.15384615,3650.918919,3335.285714,1161.888889,1830.339286
APOBEC3D,0.514,86.93685185,823.5606452,2.692307692,415.7016216,22.85979592,20.85185185,65.48339286
APOBEC3G,1992.466667,261.6851852,284.4493548,33.46153846,0.837837838,379.9387755,84.77777778,82.19642857
APOC1,1.266666667,1.407407407,3.849462366,0.846153846,38.24324324,0.306122449,0.333333333,0.053571429
APOE,0.2,0.388888889,0.322580645,0.153846154,4,0.12244898,0.111111111,0.107142857
APOL2,0.266666667,107.1851852,116.9247312,24.07692308,543.2432432,41.36734694,1273.296296,0.017857143
APOL6,1,650.2407407,31.56989247,964.8461538,1.081081081,55.32653061,0.777777778,0.267857143
APOLD1,6.405333333,0.037037037,10.58064516,98.38461538,188.1621622,156.6938776,0.037037037,0.017857143
APPBP2,0.4,199.9444444,383.3870968,0.692307692,45.7027027,0.020408163,218.4444444,247.3571429
APPL1,651,620.3333333,301.6236559,1.846153846,13.86486486,33.18367347,0.555555556,190.8392857
APRT,203.2666667,318.1481481,186.6236559,57.30769231,357.9189189,688.3469388,236.9259259,796.5
ARAP2,139.7333333,382.7777778,529.4623656,1706.153846,118.0810811,0.387755102,815.8888889,116.9821429
ARCN1,1.4,216.1481481,154.8817204,0.076923077,34.94594595,1014.44898,431.1851852,201.2142857
AREL1,0.333333333,159.1296296,95.04301075,9.769230769,329.2972973,0.326530612,5.148148148,93.625
ARF1,1658.4,2418.907407,980.8602151,3.538461538,1786.027027,2300.816327,518.7777778,1717.214286
ARF3,0.333333333,226.6481481,9,0.538461538,20.67567568,71.46367347,0.037037037,0.071428571
ARF4,360.4,81.72222222,831.4946237,4350.153846,1017.783784,2603.918367,0.925925926,1390.589286
ARF5,0.733333333,162.7290741,210.1770968,0.769230769,558.3143243,43.69387755,0.226296296,182.99125
ARF6,664.2,4753.62963,4513.763441,4764.153846,6673.72973,4653.346939,3035.888889,2433.821429
ARFGAP3,170.6666667,658.9259259,287.8692473,0.153846154,286.027027,159.8163265,56.77777778,103.7339286
ARFGEF1,1,2.351851852,267.9354839,528.8461538,65.48648649,91.36734694,73.62962963,45.14285714
ARGLU1,1584.8,1274.666667,2866.473118,3205.769231,2446.513514,2883.244898,2523.407407,1118.5
ARHGAP1,23.06666667,634.6481481,137.2580645,1.692307692,177.7027027,1811.122857,0.185185185,137.375
ARHGAP12,0.133333333,5.759259259,336.9462366,3.461538462,0.162162162,248.9387755,0.296296296,46.625
ARHGAP15,158.0666667,1008.055556,669.2043011,0.307692308,42.7027027,1624.081633,1220.888889,233.7857143
ARHGAP18,39.53333333,0.833333333,158.0107527,0.076923077,0.216216216,0.183673469,0.814814815,239.9464286
ARHGAP21,197.6413333,0.425925926,13.64451613,0.692307692,0.027027027,0.06122449,0.037037037,0.053571429
ARHGAP25,2560.133333,660.8703704,516.0107527,1,585.7837838,1113.183673,18.14814815,779.0535714
ARHGAP30,129.6,433.1481481,152.4408602,0.076923077,0.027027027,11.57142857,425.7777778,469.875
ARHGAP5,0.066666667,1347.018519,127.6236559,707.6153846,6.486486486,459.8979592,820.962963,281.7675
ARHGAP9,42.2,462.0198148,69.07526882,361.4615385,367.0205405,241,1033.259259,198.4821429
ARHGDIA,9.8,512.4559259,8.76344086,646.1853846,5.58972973,17.68,396.852963,66.8625
ARHGDIB,4004.733333,12302.33333,9331.924731,1838,16093.59459,21510.36735,12947.14815,11679.46429
ARHGEF12,0.2,168.9444444,113.1290323,0.153846154,0.135135135,0.12244898,0.111111111,3.089285714
ARHGEF18,1,4.369074074,278.0703226,0.076923077,16.27027027,14.28571429,148.5185185,59.70267857
ARHGEF7,401.7333333,1395.833333,246.7204301,0.230769231,1672.324324,279.4693878,90.85185185,33.01785714
ARID1A,347.2666667,83.55555556,39.1827957,24.69230769,848.7297297,374.877551,500.3703704,205.75
ARID1B,456.4,814.4444444,2417.021505,817.8461538,761.5135135,3205.612245,850.5185185,737.875
ARID2,8.933333333,1143.685185,1075.397849,1503,830.6216216,94.26530612,1413.148148,249.9285714
ARID4A,299,438.6296296,999.2258065,0.307692308,1521.702703,586.2040816,2082.851852,301.8035714
ARID4B,816.2853333,2951.281296,2040.225806,100,855.3783784,2900.786939,3680.111111,902.6969643
ARID5B,3442.8,6940.111111,4207.655914,5601.461538,3586.405405,6018.346939,3328.333333,3769.553571
ARIH1,0.4,190.5925926,861.8494624,10,1209.783784,368.9387755,1382.185185,193.6071429
ARIH2,949.6,1638.578704,1338.310323,0.538461538,945.1508108,200.5132653,367.6096296,345.3417857
ARL1,621.9333333,614.037037,545.5698925,1903.538462,0.135135135,4.775510204,41.22222222,24.17857143
ARL14EP,69.4,64.85185185,366.8709677,1288.076923,384.4324324,250.3265306,115,160.9464286
ARL16,0.933333333,201.9259259,7.516129032,2569.230769,32.64864865,0.326530612,478.4074074,146.5417857
ARL17A,1.4,57.90407407,0.123655914,0.076923077,4.189189189,3.908163265,0.814814815,0.267857143
ARL2,0.333333333,322.6137037,43.41935484,1173,0.027027027,35.10204082,237.6666667,223.4285714
ARL3,0.266666667,137.5740741,20,9.384615385,23.86486486,55,0.037037037,61.75
ARL4A,991.7313333,405.962963,822.4925806,1.307692308,1598.133243,190.9383673,0.962962963,983.9455357
ARL4C,543.2666667,56.85185185,400.4731183,1684.846154,3.918918919,148.5102041,529.037037,211.5535714
ARL5A,152.4806667,22.85222222,23.18655914,0.858461538,4.378378378,12.32265306,0.084444444,2.499464286
ARL5B,1.333333333,0.907407407,184.7634409,1.692307692,0.675675676,0.326530612,0.185185185,25.375
ARL6IP1,1622.435333,1179.128148,450.0244086,2860.947692,2772.078108,1702.530816,918.4540741,1732.075
ARL6IP4,59.33333333,612.5042593,850.9908602,1717.756154,308.0562162,1035.746735,0.296296296,282.1092857
ARL6IP5,3993,2346.333333,3380.021505,1825.153846,2193.810811,1398.020408,1996.925926,1474.928571
ARL8B,1.866666667,363.3888889,694.3225806,306.6153846,6.432432432,217.9795918,222.2592593,47.32142857
ARNT,0.466666667,132.3333333,196.4946237,65.76923077,179.5945946,4.979591837,0.148148148,141.9285714
ARPC1A,651.8553333,178.8890741,41.82763441,1.153846154,0.316216216,492.4191837,1.62962963,68.075
ARPC1B,82.46666667,437.7018519,359.1782796,1269.263846,1057.941081,1637.747143,1.592592593,1361.426071
ARPC2,3466.733333,11399.85185,11134.86022,7992.923077,12774.81081,11403.18367,1922.444444,8946.446429
ARPC3,3229,4664.888889,4197.942151,2595.996154,4459.054324,4778.605918,2032.666667,4668.910714
ARPC3P1,1.172666667,1.34462963,1.278387097,0.842307692,31.06891892,1.387755102,0.234074074,0.921785714
ARPC3P5,0.294,1.192407407,1.151075269,0.320769231,0.485405405,0.673673469,0.136296296,0.81375
ARPC4,13.95733333,1862.173889,2811.784946,71.30769231,3407.027027,3571.061224,893.6296296,1252.7725
ARPC5,1379.866667,2102.074074,3048.623656,595.5384615,822.2432432,1085.326531,2.62962963,797.125
ARPC5L,619.2666667,732.3888889,913.4301075,0.307692308,606.4054054,457.6734694,153.0740741,479.8035714
ARPP19,962.0666667,951.5740741,787.3978495,4199.692308,829.7567568,2492.77551,78.44444444,303.7321429
ARRDC2,0.333333333,809.2407407,714.2043011,2,1980.189189,967.0204082,550.9259259,206.7142857
ARRDC3,3.266666667,1486.796296,1142.967742,6.461538462,1744.324324,270.5140816,772.9259259,974.4392857
ARSB,0.2,132.537037,0.23655914,72.84615385,229.1621622,1485.836735,0.074074074,41.98214286
ARV1,0.066666667,0.037037037,85.32258065,0.307692308,0.081081081,0.081632653,0.037037037,12.30357143
ASAH1,693.4666667,1958.87037,659.7849462,65.30769231,282.5135135,1218.836735,858.5185185,298.9285714
ASAP1,1.4,632.037037,310.6236559,122.2307692,476.2972973,539.1020408,0.222222222,40.94642857
ASB1,22.6,0.074074074,0.032258065,0.076923077,0.027027027,0.183673469,4.592592593,105.0178571
ASB8,0.666666667,0.685185185,146.3870968,166.5384615,649.3783784,30.20408163,59.7037037,624.3571429
ASCC1,376.4,60.89185185,38.7711828,1.314615385,0.108108108,17.88040816,0.594444444,69.32160714
ASCC3,0.066666667,135.4259259,399.0430108,865.6923077,305.3513514,213.4489796,40.40740741,254.8571429
ASF1A,1.133333333,39.24074074,476.9751613,0.307692308,332.1554054,781.2444898,291.9903704,140.1216071
ASH1L,395.2,109.1296296,513.8387097,551.6923077,1860.837838,317.4489796,71.2162963,496.6071429
ASNS,188.9953333,687.0853704,5.182795699,0.692307692,0.216216216,746.6306122,0.407407407,0.017857143
ASNSD1,337.2,262.4444444,317.0645161,7.769230769,2.027027027,210.3265306,56.40740741,136.1071429
ASPHD2,288.1333333,0.087592593,3.726344086,0.076923077,1.837837838,388.4057143,0.111111111,0.214285714
