"","B_C_Matrix.Ensembl_ID","C473_Exp_ave","C481_Exp_ave","LC03_Exp_ave","RC02_Exp_ave","RC03_Exp_ave","LC01_Exp_ave","R03_Exp_ave","R02_Exp_ave"
"1","ENSG00000000003.14",0,0,0,0,0.0769230769230769,0.0344827586206897,0,0
"2","ENSG00000000005.5",0,0,0,0,0,0,0,0
"3","ENSG00000000419.12",0,167.104166666667,48.8461538461538,0.0625,0.153846153846154,175.793103448276,1,527.051948051948
"4","ENSG00000000457.13",0,0.0625,0,0,0.0769230769230769,0,2,0.038961038961039
"5","ENSG00000000460.16",0,9.52083333333333,0,0,0.0769230769230769,0.0689655172413793,0,0
"6","ENSG00000000938.12",0,83.0416666666667,0,0,2,61.448275862069,0,0.298701298701299
"7","ENSG00000000971.15",0,0.0416666666666667,0,0,4.28,0.103448275862069,0,0.025974025974026
"8","ENSG00000001036.13",0,131.294583333333,0.0769230769230769,0.5,0.615384615384615,1.03448275862069,2.08333333333333,14.5194805194805
"9","ENSG00000001084.10",0,2.72916666666667,0,0.0625,0.461538461538462,17.7586206896552,0.0833333333333333,22.0519480519481
"10","ENSG00000001167.14",0,1.375,0,0,0,0.137931034482759,0,92.051948051948
"11","ENSG00000001460.17",0,3.5625,253.769230769231,0,0,0.0344827586206897,0,0.103896103896104
"12","ENSG00000001461.16",0,227.583333333333,0.153846153846154,660.8125,2.61538461538462,0.517241379310345,0.666666666666667,1042.12987012987
"13","ENSG00000001497.16",0,187.104166666667,58.6923076923077,0,0,0.0344827586206897,0,434.688311688312
"14","ENSG00000001561.6",0,303.25,0,710.375,0,0.0689655172413793,360.5,224.025974025974
"15","ENSG00000001617.11",0,0,0,0,0,0,0,0
"16","ENSG00000001626.14",0,0,0,0,0,0,0,0
"17","ENSG00000001629.9",2,116.166666666667,0.230769230769231,3.3125,0.153846153846154,0.931034482758621,1762.25,38.6753246753247
"18","ENSG00000001630.15",0,2406.096875,1648.07692307692,1029.875,69.9230769230769,1671.62068965517,457.166666666667,1104.50649350649
"19","ENSG00000001631.15",0,111.083958333333,65.0769230769231,0.0625,3623.30769230769,0.275862068965517,0,0.775974025974026
"20","ENSG00000002016.17",0,133.166666666667,0,0.375,10,3.82758620689655,0,0.025974025974026
"21","ENSG00000002079.14",0,0,0,0,0,0,0,0
"22","ENSG00000002330.13",1,136.801458333333,0.0769230769230769,27.9375,1.30769230769231,17.3603448275862,0.75,260.948311688312
"23","ENSG00000002549.12",1,438.75,11.6923076923077,152,8,474.379310344828,669.5,366.324675324675
"24","ENSG00000002586.18",0.5,602.53125,1230.88461538462,406.90625,1661.53846153846,903.706896551724,713.458333333333,491.974025974026
"25","ENSG00000002586.18_PAR_Y",0.5,602.53125,1230.88461538462,406.90625,1661.53846153846,903.706896551724,713.458333333333,491.974025974026
"26","ENSG00000002587.9",0,0.0208333333333333,0.0769230769230769,0,0,0,0,0.051948051948052
"27","ENSG00000002726.20",0,0.0416666666666667,0,2.1875,0,0,0,0
"28","ENSG00000002745.12",0,22.3958333333333,0,0.0625,0.0769230769230769,0,0,0
"29","ENSG00000002746.14",0,0,0,0,0,0.0689655172413793,0,0
"30","ENSG00000002822.15",0,0.166666666666667,2.61538461538462,0.0625,0,0.379310344827586,0.166666666666667,92.8831168831169
"31","ENSG00000002834.17",0,0.54375,9.38461538461539,354.78875,0.256923076923077,275.051379310345,0.351666666666667,144.352857142857
"32","ENSG00000002919.14",0,176.479166666667,0,0.0625,0.0769230769230769,0.0689655172413793,8.16666666666667,32.8831168831169
"33","ENSG00000002933.7",0,0.0416666666666667,0,918.3125,2.92307692307692,0.344827586206897,0.0833333333333333,0
"34","ENSG00000003056.7",2,1237.49229166667,36,10.900625,0.230769230769231,259.581379310345,24.4166666666667,368.369350649351
"35","ENSG00000003096.14",0,0,0,0,0,0.0344827586206897,0,0
"36","ENSG00000003137.8",0,0,0,0,0.153846153846154,0,0,0
"37","ENSG00000003147.17",0,0.166666666666667,0,0,0.153846153846154,1.62068965517241,0,2.24675324675325
"38","ENSG00000003249.13",0,0,0,0,0,1,0,49.2727272727273
"39","ENSG00000003393.14",0,56.7916666666667,224.538461538462,0,0.153846153846154,0.0344827586206897,0,29.8831168831169
"40","ENSG00000003400.14",0,3.04166666666667,0.230769230769231,87.4375,0.230769230769231,117.48275862069,0.583333333333333,6.37662337662338
"41","ENSG00000003402.19",2,1307.05833333333,14.6153846153846,8898.851875,20,2554.61586206897,3392.45166666667,352.824545454545
"42","ENSG00000003436.15",0,0,0,0.1875,0.461538461538462,32.8875862068966,0.166666666666667,0
"43","ENSG00000003509.15",0,0.809375,0.0769230769230769,43.36625,0,35.2179310344828,0.25,205.051948051948
"44","ENSG00000003756.16",1,506.712291666667,28.4615384615385,0.5625,0.230769230769231,142.474827586207,816.666666666667,535.046493506493
"45","ENSG00000003987.13",0,0,0,0,0,0,0,55.987012987013
"46","ENSG00000003989.17",0,0,0,0,0.0769230769230769,0,0,0
"47","ENSG00000004059.10",0,377.037083333333,0,408.854375,0.461538461538462,67.4506896551724,0.0833333333333333,108.882987012987
"48","ENSG00000004139.13",0,0.0416666666666667,0,0,0,0.0358620689655172,0,0.012987012987013
"49","ENSG00000004142.11",0,133.979166666667,0,0,0.230769230769231,0.448275862068966,0,55.5714285714286
"50","ENSG00000004399.12",0,0.104166666666667,0,63.375,0,0,0,0
"51","ENSG00000004455.16",1,853.313125,16.9230769230769,103.1675,10513.3076923077,673.43724137931,0.265,276.565194805195
