"","logFC","logCPM","PValue","qval"
"ENSG00000100092.20",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000115289.13",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000120696.8",6.626356929,0.296056612,0.008564159,0.00401814736557755
"ENSG00000124571.17",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000130940.14",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000132744.7",6.626356929,0.296056612,0.008564159,0.00401814736557755
"ENSG00000135925.8",6.626356929,0.296056612,0.008564159,0.00401814736557755
"ENSG00000145075.11",6.626356929,0.296056612,0.008564159,0.00401814736557755
"ENSG00000146872.17",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000149716.12",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000155275.18",6.626356929,0.296056612,0.008564159,0.00401814736557755
"ENSG00000161048.11",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000164631.18",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000166927.12",6.626356929,0.296056612,0.008564159,0.00401814736557755
"ENSG00000175602.3",6.626356929,0.296056612,0.008564159,0.00401814736557755
"ENSG00000180035.12",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000180953.11",6.626356929,0.296056612,0.008564159,0.00401814736557755
"ENSG00000184381.18",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000197713.14",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000204564.11",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000214106.7",6.626356929,0.296056612,0.008564159,0.00401814736557755
"ENSG00000214300.7",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000214517.9",6.626356929,0.296056612,0.008564159,0.00401814736557755
"ENSG00000215305.9",6.626356929,0.296056612,0.008564159,0.00401814736557755
"ENSG00000227741.1",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000235381.1",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000251330.3",6.626356929,0.296056612,0.008564159,0.00401814736557755
"ENSG00000251595.7",6.626356929,0.296056612,0.008564159,0.00401814736557755
"ENSG00000253811.1",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000255507.5",6.626356929,0.296056612,0.008564159,0.00401814736557755
"ENSG00000256087.6",6.626356929,0.296056612,0.008564159,0.00401814736557755
"ENSG00000258704.6",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000262136.1",-6.569285604,0.154560691,0.008564159,0.00401814736557755
"ENSG00000269982.1",-6.569285604,0.154560691,0.008564159,0.00401814736557755
