"SUID","degree.layout","name","NumChildren","NumDescendents","selected","shared name","stage1","stage2","stage3","stage4","type"
"1903","7","PSMA2",,,"true","PSMA2","-0.173150744189024","1.46163088386536","-0.602029621205302","-0.686450518471031","1"
"1904","17","POLR2G",,,"true","POLR2G","-1.16210676999007","1.10305538460181","0.49376331535415","-0.434711929965892","1"
"1905","5","NHP2",,,"true","NHP2","-0.704643172776538","-0.3485763031812","-0.429250327002292","1.48246980296004","1"
"1906","7","NDUFS6",,,"true","NDUFS6","-0.142093886913649","1.33465585987302","-0.102620661289373","-1.08994131167","1"
"1907","7","NDUFB9",,,"true","NDUFB9","-0.64182485385301","1.32774612934487","-0.886056888377473","0.200135612885608","1"
"1908","7","NDUFA1",,,"true","NDUFA1","-1.16493466804918","-0.251212900951038","0.170913506286873","1.24523406271336","1"
"1909","6","LSM7",,,"true","LSM7","1.06965414641259","0.47593217377146","-0.306472435449914","-1.23911388473414","1"
"1910","6","LSM3",,,"true","LSM3","0.503728638301919","0.225169806058304","-1.46669909092558","0.737800646565351","1"
"1911","8","HSPA4",,,"true","HSPA4","-0.13032576249467","-0.819937200249594","-0.489030935986913","1.43929389873118","1"
"1912","7","HIF1A",,,"true","HIF1A","0.787439555524159","-0.776574480623542","-0.947985453077294","0.937120378176694","1"
"1913","4","ENO1",,,"true","ENO1","-0.337946405672581","1.32236743605265","-1.06343473055264","0.0790137001725722","1"
"1914","15","EIF4E",,,"true","EIF4E","0.384828241395346","1.21708007319974","-1.01020065769868","-0.591707656896407","1"
"1915","7","EIF4A3",,,"true","EIF4A3","-1.27567395853568","0.992597920792449","-0.275198887089566","0.558274924832803","1"
"1916","2","EIF3M",,,"true","EIF3M","0.349808736704994","-1.35927107872986","-0.00542021449497367","1.01488255651984","1"
"1917","3","EIF3I",,,"true","EIF3I","-0.760742932717247","1.29102034547566","-0.819187255988258","0.288909843229846","1"
"1918","4","EIF1AX",,,"true","EIF1AX","-0.101262564328144","-1.32089752751027","0.369242400629777","1.05291769120863","1"
"1919","13","DHX9",,,"true","DHX9","-0.9400998086239","1.41446251864268","-0.275899198777775","-0.198463511241002","1"
"1920","1","DDX17",,,"true","DDX17","0.201316019379299","-1.43725076419498","0.363001929219056","0.872932815596625","1"
"1921","3","CPSF6",,,"true","CPSF6","-0.203243497911151","1.09623277847401","-1.27058530530437","0.377596024741515","1"
"1922","2","COX6A1",,,"true","COX6A1","-0.941594891226301","1.40476535740713","-0.103581500577902","-0.359588965602932","1"
"1923","3","CCT7",,,"true","CCT7","0.285042337398463","0.960713245855877","-1.40384752168167","0.158091938427333","1"
"1924","3","CCT4",,,"true","CCT4","-0.422471207451726","-0.812257146871592","-0.219140261483277","1.45386861580658","1"
"1925","13","ANAPC11",,,"true","ANAPC11","0.227683531463658","0.924884092042022","-1.42142982351976","0.268862200014085","1"
"1887","16","ALYREF",,,"true","ALYREF","1.10220118261171","-1.3261763456435","0.0862347517933377","0.137740411238456","1"
"1888","7","UQCRQ",,,"true","UQCRQ","-0.796845091418073","1.27620500691533","-0.7971051618408","0.317745246343544","1"
"1889","15","UBE2I",,,"true","UBE2I","0.167450107049067","0.616790182579774","0.676527111389399","-1.46076740101824","1"
"1890","1","TRA2B",,,"true","TRA2B","0.331678669376362","1.23954300119409","-1.02969446791592","-0.541527202654518","1"
"1891","22","STAT3",,,"true","STAT3","-0.605406874394104","-1.05870870509056","0.579097256002341","1.08501832348232","1"
"1892","14","SRSF6",,,"true","SRSF6","0.109381956701022","-0.1930584409559","-1.17209403541429","1.25577051966917","1"
"1893","3","SOD2",,,"true","SOD2","-0.846546199476949","1.42782105771827","-0.485247717743424","-0.0960271404979054","1"
"1894","4","SOD1",,,"true","SOD1","-0.364498491516954","1.27616255572227","0.185644506078041","-1.09730857028336","1"
"1895","11","SNRPB2",,,"true","SNRPB2","-1.00278021071584","0.860108069221935","0.860154265350999","-0.717482123857094","1"
"1896","12","SNRPA1",,,"true","SNRPA1","0.514365399106262","-1.14603121180179","-0.466004624189819","1.09767043688535","1"
"1897","12","RPSA",,,"true","RPSA","-0.978464240827436","1.10640967322314","0.572533508274771","-0.700478940670475","1"
"1898","10","RPL8",,,"true","RPL8","-0.572220007289172","1.32112671050033","-0.943117511283004","0.194210808071845","1"
"1899","10","RPL10A",,,"true","RPL10A","-0.331507790686941","1.4738770193717","-0.751857508212673","-0.390511720472091","1"
"1900","7","RAB7A",,,"true","RAB7A","-0.176460885786076","1.34970929182907","-1.06562862481563","-0.107619781227362","1"
"1901","8","PSMD8",,,"true","PSMD8","-1.20792146363361","1.16244174008419","0.329839793373701","-0.284360069824282","1"
"1902","8","PSMB6",,,"true","PSMB6","-0.390681327375579","1.43398689654657","-0.170364850234504","-0.872940718936489","1"
