Ensembl_ID,C473,C481,LC03,RC02,RC03,LC01,R03,R02
ENSG00000005020.12,0,698.625,195.9230769,2063.125,2.307692308,166.8275862,0.083333333,1102.935065
ENSG00000005022.5,4735.94,5345.225417,6269.156154,2027.34625,7.076923077,2939.237586,2268.3875,4437.04013
ENSG00000005059.15,0,198.0625,0,66.25,0.076923077,120.862069,0.166666667,118.0519481
ENSG00000005073.5,0,0,0,0,0,0,0,0
ENSG00000005075.15,1.37,506.77625,1.711538462,316.54875,2.840769231,2.278275862,2.439166667,245.9944156
ENSG00000005100.12,0,541.2291667,624.6153846,0,1,0.068965517,0.166666667,26.93506494
ENSG00000005102.12,0,0,0,0,0,0,0,0
ENSG00000005108.15,0,0,0,0,0.076923077,0.068965517,0,0
ENSG00000005156.11,721,0.06,17.69,0.0625,0,0.034482759,0,0.025974026
ENSG00000005175.9,0,77.16666667,1,17.5625,1.461538462,0.793103448,0.083333333,120.7012987
ENSG00000005187.11,0,84.33333333,0,0,0,0,0,31.97402597
ENSG00000005189.19,0,1.416666667,0,0,0,0.034482759,0,0.012987013
ENSG00000005194.14,0,615.9791667,2654.923077,0,0,1230.034483,0.916666667,157.9480519
ENSG00000005206.16,0,76.85416667,0,0,0,0.034482759,0,0.116883117
ENSG00000005238.19,0,0.083333333,0,0,0,0,0,0.012987013
ENSG00000005243.9,0,0,0,0,0,0,0,0
ENSG00000005249.12,0,0,0,677.375,0,68.03448276,0.083333333,0.025974026
ENSG00000005302.17,0,1.75,486.9230769,1411.3125,0.307692308,607.8275862,65.16666667,626.6753247
ENSG00000005339.14,0,992.0833333,19.07692308,121.875,197.7692308,1279.172414,3.166666667,366.8311688
ENSG00000005379.15,0,0.104166667,0,0,1.538461538,107.0689655,0,0.467532468
ENSG00000005381.7,0,0,0,0,0,0,0,0
ENSG00000005421.8,0,0,0,0,1.076923077,0,0,0
ENSG00000005436.13,0,0.145833333,0.384615385,0,0,236.2413793,0,56.49350649
ENSG00000005448.16,0,57.3125,0,0.125,0.307692308,0.172413793,0.583333333,78.14285714
ENSG00000005469.11,0,0.395833333,0.076923077,0,0.153846154,0,0,11.09090909
ENSG00000005471.15,0,2.6875,121.1538462,0.0625,0.076923077,480.4824138,0,30.66233766
ENSG00000005483.20,164,3728.081458,3185.307692,3265.75,67,3131.068966,2975.5,9020.957273
ENSG00000005486.16,1507,1.791666667,1.461538462,35.1875,0.076923077,302.3793103,0.166666667,179.5584416
ENSG00000005513.9,0,0,0,0,0,0,0,0
