"","x"
"LAMP2",2
"IFRD1",2
"ZNF207",2
"ELOVL5",2
"TNFRSF1B",2
"GABARAPL2",2
"PHPT1",2
"SYNE2",2
"GDI2",2
"SLC12A2",2
"IDI1",2
"ATP1B3",2
"DERL2",2
"KDM5A",2
"ENO1",2
"RAB7A",2
"TOP2B",2
"RSBN1",2
"HSPB11",2
"CHMP2B",2
"EIF3I",2
"RTRAF",2
"FKBP1A",2
"RGS1",2
"DNAJB11",2
"PSMD8",2
"DHRS7",2
"SUSD6",2
"TCL1A",2
"RASSF2",2
"PPP1R16B",2
"VAPA",2
"UBE2I",2
"BLOC1S6",2
"NOP53",2
"MTPN",2
"PSMA2",2
"SEC61B",2
"SETX",2
"LARP4B",2
"NDUFC1",2
"RSRC2",2
"CPSF6",2
"KRR1",2
"MRPL51",2
"CHD4",2
"COX6A1",2
"KLRB1",2
"ASF1A",2
"SOD2",2
"TTC1",2
"NR3C1",2
"CSNK1A1",2
"SMC4",2
"GNAI2",2
"MOB1A",2
"GLS",2
"PDCL3",2
"WIPF1",2
"SFPQ",2
"CD48",2
"HMGN3",2
"CCNI",2
"YPEL5",2
"EXOSC8",2
"SERP1",2
"AMD1",2
"NCOA3",2
"ATP5F1E",2
"BCAS4",2
"SOX4",2
"SNRPB2",2
"EMC4",2
"ARPP19",2
"MIS18BP1",2
"REEP5",2
"LSM7",2
"ARPC1B",2
"SH3BGRL",2
"PPT1",2
"MRPS36",2
"TUT4",2
"SYNCRIP",2
"ATP5MC2",2
"BLOC1S1",2
"CCT7",2
"USP15",2
"DHX9",2
"LCP1",2
"TRA2B",2
"ACTR2",2
"IRF8",2
"EIF4A3",2
"ANAPC11",2
"SOD1",2
"ERVK3-1",2
"PSMB6",2
"SRP9",2
"PDIA6",2
"EML4",2
"UBXN4",2
"TMF1",2
"NDUFS6",2
"BTF3",2
"ATG12",2
"HIGD2A",2
"ABRACL",2
"MDH2",2
"NDUFB9",2
"PLIN2",2
"POLE3",2
"CWC15",2
"EIF4E",2
"RANBP2",2
"SREK1",2
"MIA3",2
"ATP5MC3",2
"ANKRD40",2
"SLC16A1",2
"ATP5MPL",2
"BTG2",2
"SAFB",2
"RPL8",2
"AP2M1",2
"FUBP1",2
"ARHGAP25",2
"KRTCAP2",2
"RPN1",2
"C4orf3",2
"UQCRQ",2
"PTTG1",2
"ATP5F1C",2
"RAB8B",2
"TERF2IP",2
"CD3D",2
"RAB8A",2
"ATP5PD",2
"POLR2G",2
"RPSA",2
"IRF2BP2",2
"PDHB",2
"RNF181",2
"UQCRFS1",2
"BOLA2B",2
"SYAP1",2
"RSL1D1",2
"TBCA",2
"ZNF24",2
"CBWD1",2
"MRPL57",2
"TOMM20",2
"AP3S1",2
"MAF",2
"MYADM",2
"HIGD1A",2
"ARL6IP4",2
"LCK",2
"PPP1R2",2
"UBE2L3",2
"NDUFA13",2
"GNG2",2
"YTHDF2",2
"RPL10A",2
"SFT2D1",2
"UBE2J1",2
"APRT",2
"COX20",2
"BRD2",2
"CARD16",2
"DNAJC9",2
"DDX3X",2
"TSTD1",2
"FNIP1",2
"RPL21P28",2
"PSMB9",2
"MRPL33",2
"APOBEC3C",2
"PCED1B-AS1",2
"PRKDC",2
"LYN",2
"CHURC1",2
"GGNBP2",2
