"","x"
"M6PR",3
"IL32",3
"RUNX3",3
"KPNA6",3
"VIM",3
"BCLAF1",3
"RABEP1",3
"BOD1L1",3
"ARAP2",3
"TPR",3
"WAPL",3
"HIPK2",3
"TRAM1",3
"UFD1",3
"SLC25A3",3
"ITM2A",3
"CYLD",3
"SMAP2",3
"HECTD1",3
"SUPT16H",3
"TECR",3
"RANBP1",3
"EIF3L",3
"XBP1",3
"MYH9",3
"EP300",3
"SNW1",3
"PSMC1",3
"ACIN1",3
"PSME2",3
"PGK1",3
"CORO1A",3
"NUTF2",3
"CMC2",3
"ZDHHC2",3
"TWISTNB",3
"AKNA",3
"ZFAND5",3
"SMC3",3
"CHORDC1",3
"PTGES3",3
"PDCD10",3
"CBLB",3
"EEF1B2",3
"RTN4",3
"RPL22",3
"RAP1A",3
"CD2",3
"PRRC2C",3
"STMN1",3
"CCND2",3
"RBM25",3
"FYTTD1",3
"ODF2L",3
"USP9X",3
"SNRPC",3
"SSR1",3
"AHNAK",3
"ATF4",3
"ANKHD1",3
"NASP",3
"CCDC59",3
"SWAP70",3
"RPS15A",3
"RBM17",3
"TMEM258",3
"ANXA1",3
"CD63",3
"CBWD2",3
"ANP32B",3
"DERL1",3
"TMEM14B",3
"THBS1",3
"RAB1A",3
"ETV6",3
"BNIP2",3
"HSPD1",3
"TNFAIP8",3
"CRIM1",3
"CDC123",3
"ATP5F1A",3
"TGOLN2",3
"ATP5PF",3
"XPC",3
"ELMO1",3
"SLA",3
"AUTS2",3
"ADIPOR1",3
"ORAI2",3
"IKZF3",3
"WDR26",3
"S100A11",3
"MRPS18C",3
"CGGBP1",3
"ATP1A1",3
"CCT3",3
"DNAJB14",3
"ANXA5",3
"TP53INP1",3
"PCF11",3
"CCT2",3
"SEC11C",3
"HSP90B1",3
"JSRP1",3
"LETM1",3
"GPR183",3
"LIMS1",3
"PGAM1",3
"CAMTA1",3
"PPP1CA",3
"CHD2",3
"GNG5",3
"ANKRD36C",3
"RHOG",3
"SELENOW",3
"RAD23A",3
"PAK2",3
"TTC3",3
"ANXA2",3
"RPS17",3
"EIF3C",3
"TSPYL2",3
"PDE4B",3
"IKZF1",3
"ARL4C",3
"PRPF40A",3
"STRN3",3
"PELI1",3
"S100A10",3
"S100A6",3
"PSMB10",3
"VDAC1",3
"HSBP1",3
"HLA-B",3
"CHMP4A",3
"IGLL5",3
"DCP1A",3
"CCL3",3
