node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
RANBP1,1402.0,0.40214,22.0,26.0,44.66,3.0,0.19924,229.81667,6.47543,1994.7384,26096.0,0.24,
SNW1,9.223372036854777E13,0.73764,35.0,36.0,54.262,1.0,0.19924,223.55,6.33906,1371.77145,17356.0,0.49365,
SF3B1,9.223372036854777E13,0.58029,51.0,52.0,67.101,3.0,0.19924,243.26667,6.52277,4219.02747,47416.0,0.34992,
UBE2I,528.0,0.19854,37.0,39.0,43.154,12.0,0.19924,236.88333,6.50383,5404.55036,52148.0,0.12416,
RANBP2,4082849.0,0.35913,40.0,41.0,56.641,2.0,0.19924,238.65,6.52088,3271.51437,44214.0,0.23171,
UQCRQ,6.03264825E8,0.51943,35.0,36.0,45.407,3.0,0.19924,223.65,6.34474,2605.84188,33168.0,0.34762,
UQCRFS1,6.03316518E8,0.63437,33.0,35.0,40.603,1.0,0.19924,217.83333,6.28224,1658.43403,21772.0,0.40672,
BAZ1B,449.0,0.40059,15.0,16.0,20.536,3.0,0.16604,199.3,6.08338,795.87762,7172.0,0.33333,
SMARCA5,1170.0,0.28279,31.0,31.0,33.571,5.0,0.16604,221.28333,6.31823,2974.00541,33034.0,0.2086,
LSM3,9.223372036854777E13,0.59796,44.0,44.0,67.965,1.0,0.19924,233.63333,6.43186,2463.69033,31554.0,0.39323,
LSM7,9.223372036854777E13,0.80931,32.0,34.0,55.68,2.0,0.19924,218.11667,6.2652,1793.14762,21360.0,0.52228,
ATP5C1,4.437746E8,0.49711,40.0,42.0,48.966,9.0,0.19924,235.1,6.47921,5223.29147,52992.0,0.30546,
ATP5A1,4.4572205E7,0.44796,43.0,44.0,54.934,2.0,0.19924,239.86667,6.53035,4340.14954,58410.0,0.2833,
S100A10,248.0,0.5854,7.0,9.0,8.348,2.0,0.16604,179.13333,5.83148,1149.6621,11044.0,0.44444,
ANXA2,690.0,0.30272,26.0,26.0,30.733,8.0,0.19924,225.46667,6.42239,2714.3823,26130.0,0.23692,
RPN1,6.746475899E9,0.41439,39.0,40.0,54.434,5.0,0.19924,234.46667,6.47353,5260.75251,61752.0,0.26923,
DAD1,22.0,0.38039,6.0,8.0,8.913,1.0,0.19924,182.01667,5.90535,333.54347,3106.0,0.28571,
WDR43,1372903.0,0.64237,22.0,23.0,44.28,2.0,0.19924,207.81667,6.17429,423.28108,6390.0,0.48617,
NHP2,1.04888353E9,0.48108,48.0,50.0,67.92,3.0,0.19924,242.88333,6.53224,3636.18806,52526.0,0.28408,
NDUFC1,2.7947304E8,0.95127,16.0,16.0,22.288,1.0,0.19924,180.96667,5.81065,7.75018,170.0,0.88333,
SOD2,74041.0,0.37948,38.0,39.0,50.85,12.0,0.19924,237.9,6.52467,4205.58513,51922.0,0.24831,
SOD1,21863.0,0.28738,47.0,48.0,53.277,4.0,0.19924,246.38333,6.58527,6650.40597,73546.0,0.1773,
NDUFA1,1.59683966E8,0.63306,21.0,21.0,28.344,1.0,0.19924,204.51667,6.15345,500.09659,7434.0,0.53333,
HIF1A,47393.0,0.31893,34.0,35.0,45.079,12.0,0.19924,238.06667,6.5455,3835.25979,44026.0,0.21513,
EP300,1345.0,0.20654,54.0,59.0,50.024,16.0,0.19924,254.06667,6.63262,14341.58283,142926.0,0.10637,
SNRPN,9.223372036854777E13,0.92735,29.0,29.0,52.984,1.0,0.19924,210.91667,6.19891,227.69055,3554.0,0.69951,
EIF1AX,1.4489809583E10,0.53862,32.0,33.0,54.946,2.0,0.19924,228.28333,6.41482,1713.53912,23206.0,0.36932,
ATP5G3,3.63752664E8,0.72071,24.0,24.0,37.906,1.0,0.19924,210.1,6.23868,496.54713,10368.0,0.57971,
RBM22,9.223372036854777E13,1.18155,23.0,23.0,49.297,1.0,0.16604,202.15,6.09285,2.22768,58.0,0.96443,
TRA2B,9.223372036854777E13,0.61357,47.0,47.0,65.675,2.0,0.19924,236.68333,6.46785,1605.36743,28930.0,0.395,
SRSF6,9.223372036854777E13,0.74459,42.0,44.0,61.848,1.0,0.19924,230.53333,6.39399,1761.72705,20008.0,0.45349,
EIF4A3,9.223372036854777E13,0.49129,72.0,73.0,76.922,8.0,0.19924,256.56667,6.60043,7791.45476,104916.0,0.26865,
SEC11C,6.706022432E9,0.8346,16.0,22.0,36.178,7.0,0.19924,206.68333,6.17807,1990.33373,26454.0,0.40693,
SPCS3,4.7900665E8,0.75111,15.0,17.0,32.618,4.0,0.19924,201.61667,6.12504,1810.78694,24058.0,0.55147,
CWC15,9.223372036854777E13,0.95926,26.0,26.0,51.976,1.0,0.19924,213.21667,6.25951,178.34929,3932.0,0.75077,
PDIA6,334.0,0.29143,17.0,17.0,27.672,5.0,0.19924,209.35,6.2652,995.78213,12318.0,0.26471,
HSP90B1,462054.0,0.35823,37.0,37.0,51.199,6.0,0.19924,243.11667,6.60043,3991.63922,50720.0,0.24925,
GNG2,864.0,0.37162,14.0,14.0,17.732,4.0,0.19924,202.38333,6.16292,881.5106,19944.0,0.36264,
GNAI2,799.0,0.42151,13.0,14.0,9.46,2.0,0.16604,183.78333,5.84853,1288.34925,17056.0,0.36264,
RSL1D1,1313545.0,0.79334,18.0,19.0,38.602,2.0,0.19924,203.48333,6.13451,1005.11605,13210.0,0.63158,
SEC61B,6.746307158E9,0.5386,26.0,26.0,41.815,1.0,0.19924,214.58333,6.28035,1822.98163,25428.0,0.42154,
RAD23A,6561.0,0.34844,19.0,20.0,34.268,3.0,0.19924,218.63333,6.358,1274.81107,18218.0,0.27368,
XPC,26.0,0.2864,9.0,11.0,13.719,1.0,0.19924,196.88333,6.10421,529.71515,4842.0,0.23636,
RAB1A,329.0,0.23113,25.0,26.0,21.291,5.0,0.19924,216.43333,6.30308,3766.46376,29342.0,0.16923,
GDI2,406.0,0.28827,21.0,21.0,28.064,1.0,0.19924,218.61667,6.36936,2147.53307,24312.0,0.24286,
MRPS6,6747.0,0.57479,13.0,16.0,26.938,5.0,0.16604,198.26667,6.0758,1464.05974,24092.0,0.375,
MRPL33,7476.0,0.44525,17.0,17.0,30.544,1.0,0.19924,201.11667,6.11936,688.12935,14352.0,0.40441,
SRP9,6.266937657E9,0.7713,18.0,21.0,41.678,3.0,0.19924,211.35,6.24815,1945.98146,17550.0,0.5,
ATP5G2,1.20234246E8,0.80954,17.0,17.0,26.487,1.0,0.19924,195.76667,6.06065,161.98149,3254.0,0.73529,
USP10,17.0,0.32413,5.0,12.0,16.649,4.0,0.19924,194.6,6.05876,1191.79663,9018.0,0.10606,
G3BP1,129.0,0.35765,13.0,14.0,26.249,3.0,0.19924,208.75,6.25383,643.12661,7602.0,0.30769,
RAB8A,230.0,0.35765,13.0,13.0,10.461,1.0,0.19924,190.25,5.99057,574.06914,5522.0,0.35897,
NCOA3,118.0,0.3321,13.0,13.0,22.846,1.0,0.16604,206.65,6.21595,378.03629,5198.0,0.33333,
SQSTM1,2663.0,0.32779,25.0,26.0,25.093,7.0,0.19924,218.0,6.32012,2712.17849,27960.0,0.24,
GABARAPL2,1037.0,0.38056,15.0,18.0,11.964,2.0,0.19924,197.65,6.07391,1628.31486,12166.0,0.24837,
PRPF40A,9.223372036854777E13,0.68841,37.0,38.0,53.641,2.0,0.19924,225.05,6.35421,2426.02863,23380.0,0.45377,
RBM25,1.395828975068E12,0.55065,38.0,38.0,57.926,1.0,0.19924,223.08333,6.32959,1528.44809,19354.0,0.3798,
MRPS18C,1706.0,0.4726,13.0,13.0,22.985,1.0,0.16604,193.75,6.03224,422.1246,9998.0,0.47436,
PSME2,3870736.0,0.62316,19.0,21.0,27.214,1.0,0.19924,212.65,6.28224,912.3782,9348.0,0.44286,
KMT2C,150.0,0.39027,11.0,13.0,12.121,4.0,0.16604,194.05,6.03224,2171.97483,20112.0,0.29487,
RAB8B,195.0,0.47733,9.0,10.0,8.7,1.0,0.19924,184.43333,5.91103,211.04625,2622.0,0.44444,
TRAPPC4,4.0,0.30898,3.0,3.0,3.627,1.0,0.19924,161.83333,5.56254,9.96745,104.0,0.66667,
RBM17,9.223372036854777E13,1.07583,25.0,26.0,50.286,2.0,0.16604,206.56667,6.14398,461.27771,5108.0,0.78769,
RNF7,363652.0,0.61311,13.0,15.0,12.523,2.0,0.19924,193.65,6.03982,537.57504,4496.0,0.45714,
TOMM20,1018.0,0.4726,13.0,15.0,27.193,3.0,0.19924,208.41667,6.24815,891.01658,10346.0,0.35238,
VDAC1,133298.0,0.40072,30.0,32.0,38.611,1.0,0.19924,228.35,6.43186,2765.13791,34274.0,0.26411,
ATG12,1062.0,0.42062,15.0,15.0,14.704,2.0,0.19924,195.3,6.05686,465.28182,5428.0,0.4,
DERL1,130.0,0.23336,20.0,20.0,26.456,1.0,0.19924,217.15,6.34285,2239.73044,26066.0,0.2,
DERL2,88.0,0.28101,13.0,13.0,16.9,2.0,0.19924,197.11667,6.10232,592.21419,7256.0,0.28205,
PGAM1,1746.0,0.52686,12.0,12.0,20.842,1.0,0.16604,197.6,6.10421,111.2525,2056.0,0.54545,
ENO1,81304.0,0.34934,43.0,43.0,57.099,1.0,0.19924,246.2,6.61179,3332.44741,46054.0,0.23145,
CD47,16.0,0.30898,3.0,12.0,9.304,4.0,0.16604,193.26667,6.05876,2021.3232,15792.0,0.09091,
THBS1,52.0,0.358,9.0,13.0,16.693,4.0,0.19924,208.0,6.25383,1311.29471,12402.0,0.19231,
COX6A1,2.79417724E8,0.82573,17.0,19.0,23.208,2.0,0.19924,184.06667,5.84474,1333.30809,17358.0,0.59649,
AHNAK,245.0,0.66569,6.0,11.0,12.335,2.0,0.16604,189.93333,5.99626,868.55233,6796.0,0.27273,
ARF1,84.0,0.23333,16.0,20.0,16.428,5.0,0.19924,212.73333,6.29171,3527.27162,27720.0,0.13684,
AP1G1,80.0,0.4296,9.0,13.0,13.863,2.0,0.19924,201.13333,6.16482,1592.07338,11364.0,0.24359,
VDAC2,62410.0,0.46846,24.0,24.0,33.085,2.0,0.19924,218.21667,6.33148,885.71685,13070.0,0.37681,
PGK1,24993.0,0.49614,22.0,27.0,42.82,4.0,0.19924,232.78333,6.5152,3685.0051,37900.0,0.27066,
MRPL51,129.0,0.52304,6.0,10.0,13.205,1.0,0.19924,189.43333,5.983,440.70229,5496.0,0.31111,
EIF4E,6.706403424E9,0.39071,39.0,39.0,58.172,5.0,0.19924,238.1,6.51899,4212.39701,55476.0,0.26721,
EIF4EBP2,12.0,0.28529,6.0,6.0,11.451,1.0,0.16604,187.01667,5.96785,120.89734,1572.0,0.4,
WASF2,211.0,0.40978,12.0,13.0,10.97,2.0,0.19924,192.58333,6.02466,1149.31588,8706.0,0.35897,
CHMP4A,16.0,0.2927,7.0,7.0,7.219,1.0,0.19924,183.06667,5.92239,214.64054,1940.0,0.38095,
CHMP2B,74.0,0.3791,10.0,12.0,12.201,2.0,0.19924,192.6,6.03982,687.98791,6374.0,0.28788,
RAB7A,1302.0,0.27035,28.0,32.0,22.719,4.0,0.19924,219.7,6.31255,4149.99011,35240.0,0.15726,
STRAP,71.0,0.3791,10.0,11.0,28.102,1.0,0.19924,203.73333,6.2008,99.27354,1534.0,0.34545,
SMN1,46349.0,0.5518,14.0,15.0,31.735,1.0,0.19924,203.53333,6.17618,552.49916,6192.0,0.46667,
NASP,170.0,0.45346,9.0,9.0,13.029,1.0,0.16604,182.86667,5.87504,89.25835,1038.0,0.52778,
ASF1A,356.0,0.33191,17.0,19.0,17.67,3.0,0.16604,195.61667,6.01709,2602.04351,28088.0,0.23977,
RSF1,15.0,0.38896,5.0,6.0,6.554,1.0,0.16604,173.33333,5.72163,50.90084,406.0,0.4,
TOP2B,172.0,0.39597,13.0,13.0,18.336,1.0,0.16604,195.46667,6.04171,140.24343,1984.0,0.39744,
SUPT16H,448.0,0.30706,20.0,20.0,24.386,3.0,0.16604,199.28333,6.06444,708.8092,8276.0,0.26316,
IFITM2,40322.0,0.69213,9.0,9.0,8.189,1.0,0.16604,180.21667,5.858,111.15198,1146.0,0.80556,
IFITM3,41162.0,0.64479,11.0,11.0,11.226,1.0,0.19924,191.81667,6.0455,172.42785,2090.0,0.69091,
RHOG,292.0,0.34102,16.0,16.0,13.465,1.0,0.19924,200.68333,6.13451,962.23626,11030.0,0.31667,
ELMO1,126.0,0.41901,10.0,10.0,7.534,1.0,0.19924,178.53333,5.79928,143.449,1472.0,0.46667,
ATF4,3178.0,0.36233,20.0,20.0,26.013,1.0,0.19924,220.63333,6.3883,1150.78601,14594.0,0.31053,
XBP1,4764.0,0.39303,20.0,20.0,28.705,1.0,0.19924,216.3,6.3258,1621.70858,18074.0,0.33684,
CFL1,388.0,0.2752,26.0,30.0,27.511,6.0,0.19924,219.76667,6.33906,4211.4777,41366.0,0.16322,
RHOA,401.0,0.22194,30.0,31.0,25.233,8.0,0.19924,223.3,6.36747,6051.88467,60176.0,0.15484,
STAT2,41336.0,0.54053,14.0,14.0,13.607,1.0,0.19924,199.86667,6.13451,472.66213,6140.0,0.52747,
IFNAR1,273.0,0.47733,9.0,10.0,10.084,1.0,0.19924,196.98333,6.11557,255.23784,3050.0,0.44444,
TMEM258,30.0,0.38896,5.0,13.0,18.044,3.0,0.19924,203.11667,6.17618,1297.01659,9660.0,0.14103,
SRPR,6.227021675E9,0.62986,19.0,20.0,41.42,1.0,0.19924,215.41667,6.32391,1264.56781,14456.0,0.49474,
PTPN22,15.0,0.32413,5.0,10.0,7.25,2.0,0.16604,184.63333,5.91671,1179.7078,9322.0,0.13333,
LCK,164.0,0.21012,25.0,25.0,18.288,5.0,0.19924,212.86667,6.25762,2577.82046,26050.0,0.16667,
BTG2,10.0,0.46346,3.0,7.0,6.815,2.0,0.16604,174.43333,5.75762,485.31376,4364.0,0.19048,
DPY30,80.0,0.358,9.0,11.0,17.105,2.0,0.19924,204.21667,6.19512,787.11896,6644.0,0.27273,
STAT3,4081.0,0.2054,54.0,57.0,50.082,24.0,0.19924,261.11667,6.73679,14767.42882,153878.0,0.11341,
PCF11,9.223372036854777E13,0.78997,32.0,32.0,53.337,2.0,0.16604,214.73333,6.233,692.38673,8688.0,0.57661,
OPTN,240.0,0.33049,15.0,15.0,12.805,1.0,0.19924,196.18333,6.07391,899.81198,7170.0,0.31429,
CD3D,443.0,0.26715,17.0,25.0,13.717,4.0,0.19924,207.56667,6.18376,3429.18009,27360.0,0.14667,
MCL1,1020.0,0.34525,18.0,22.0,28.843,2.0,0.19924,224.18333,6.42997,2037.86703,21656.0,0.20346,
IRF4,41285.0,0.33333,24.0,25.0,19.541,5.0,0.19924,210.88333,6.24058,2290.25863,19868.0,0.24667,
PPP1R2,3.0,0.0,1.0,3.0,5.085,1.0,0.19924,171.66667,5.75951,74.78859,446.0,0.0,
PPP1CA,37.0,0.2864,9.0,16.0,25.73,2.0,0.19924,219.01667,6.38073,1608.56865,15720.0,0.10833,
BLOC1S1,6.0,0.30898,3.0,5.0,3.147,2.0,0.16604,157.5,5.43375,400.69151,2078.0,0.2,
BLOC1S6,10.0,0.30898,3.0,6.0,3.163,3.0,0.16604,163.05,5.56254,458.75872,2420.0,0.33333,
DHX9,9.223372036854777E13,0.54727,56.0,57.0,68.833,4.0,0.19924,246.01667,6.53793,3815.54743,50698.0,0.32143,
SSR1,6.70610313E9,0.71237,20.0,22.0,41.06,4.0,0.19924,212.36667,6.25951,1952.17124,28036.0,0.50216,
MRPL57,124.0,0.43905,7.0,7.0,8.815,1.0,0.16604,162.46667,5.49815,35.97028,488.0,0.57143,
SERP1,7.0,0.30898,3.0,6.0,7.736,2.0,0.16604,169.06667,5.67428,1082.95451,14930.0,0.2,
CCL4,979.0,0.43076,16.0,17.0,13.671,3.0,0.19924,195.0,6.03792,519.10152,7518.0,0.35294,
CCL3,122.0,0.41901,10.0,10.0,9.771,1.0,0.19924,185.48333,5.93375,106.39291,2156.0,0.46667,
ATP1A1,137.0,0.5012,9.0,14.0,15.474,4.0,0.19924,206.73333,6.22921,1575.54116,12278.0,0.24176,
ATP1B3,9.0,0.46346,3.0,6.0,6.785,1.0,0.19924,176.18333,5.81633,243.44999,1784.0,0.2,
SARNP,454467.0,0.72107,15.0,18.0,38.647,1.0,0.19924,207.61667,6.21217,550.63959,5934.0,0.47059,
NXT1,403494.0,0.66441,14.0,14.0,31.465,1.0,0.19924,201.03333,6.14777,70.07305,1338.0,0.64835,
KPNA2,330.0,0.31088,21.0,23.0,36.997,5.0,0.19924,229.51667,6.48868,2134.46044,24948.0,0.21739,
PARP14,3.0,0.30779,2.0,3.0,2.715,1.0,0.16604,155.33333,5.40913,26.0663,132.0,0.33333,
DTX3L,362888.0,0.7582,10.0,12.0,10.262,2.0,0.19924,190.0,5.99815,493.3383,4072.0,0.57576,
SET,80.0,0.25037,15.0,15.0,30.316,3.0,0.19924,221.55,6.41292,1386.47603,17342.0,0.2381,
GZMA,284.0,0.35124,12.0,12.0,11.096,1.0,0.19924,194.93333,6.08527,985.56078,11022.0,0.36364,
TPR,907250.0,0.44896,31.0,33.0,53.262,4.0,0.19924,232.11667,6.47732,2768.45342,34548.0,0.29167,
TLK1,1.0,0.0,1.0,1.0,1.654,1.0,0.14232,139.42619,5.02276,0.0,0.0,0.0,
RTN4,26.0,0.33284,6.0,14.0,15.332,2.0,0.16604,214.46667,6.33906,1792.64819,14520.0,0.12088,
NR3C1,175.0,0.28813,19.0,20.0,28.981,1.0,0.16604,224.81667,6.43755,1090.57592,15416.0,0.22632,
RABEP1,39.0,0.43905,7.0,8.0,5.219,1.0,0.16604,173.43333,5.73678,232.56661,1802.0,0.42857,
GGA2,55.0,0.52304,6.0,7.0,3.884,2.0,0.16604,166.36667,5.61746,161.3583,1190.0,0.52381,
ZNF207,6.0,0.30779,2.0,6.0,9.5,2.0,0.19924,185.56667,5.96785,1133.53883,8194.0,0.06667,
BUB3,3629202.0,0.3236,31.0,33.0,46.281,3.0,0.19924,233.2,6.48679,3813.90576,46608.0,0.21023,
EEF1B2,1.7005681917E10,0.50386,41.0,42.0,62.979,7.0,0.19924,240.55,6.53982,3830.28184,47650.0,0.32288,
FYTTD1,403200.0,0.85796,10.0,10.0,24.563,1.0,0.16604,187.53333,5.93754,2.04491,58.0,0.95556,
WIPF1,32.0,0.51861,5.0,7.0,5.226,1.0,0.16604,174.76667,5.77087,54.24339,528.0,0.42857,
RBM5,9.223372036854777E13,1.02132,27.0,28.0,51.824,1.0,0.16604,207.31667,6.1383,385.76204,4420.0,0.7328,
SSH2,2.0,0.0,1.0,2.0,2.672,2.0,0.16604,152.15,5.35042,539.20618,4730.0,0.0,
AP3S1,20.0,0.45378,5.0,7.0,6.986,1.0,0.16604,181.7,5.92429,269.82241,2180.0,0.33333,
IRF1,41508.0,0.38125,22.0,22.0,21.605,3.0,0.19924,211.85,6.26709,1344.08346,16150.0,0.31602,
S100A6,126.0,0.52304,6.0,10.0,8.678,1.0,0.16604,186.98333,5.97542,524.13828,4790.0,0.24444,
CACYBP,40382.0,0.40059,15.0,15.0,30.178,2.0,0.19924,212.81667,6.31065,403.63082,5356.0,0.38095,
DNAJB11,76.0,0.4082,8.0,8.0,13.764,1.0,0.19924,188.18333,6.00004,189.67168,2714.0,0.5,
RHEB,741.0,0.30655,13.0,14.0,13.386,1.0,0.19924,198.83333,6.11368,1120.49797,10342.0,0.26374,
PTGES3,524856.0,0.35918,29.0,31.0,46.591,5.0,0.19924,237.65,6.55118,2767.79939,31270.0,0.23656,
HSPA1A,382112.0,0.36437,33.0,33.0,49.636,1.0,0.19924,241.81667,6.59853,3280.31404,47784.0,0.26326,
CPSF6,158044.0,0.64437,21.0,23.0,45.562,1.0,0.19924,216.3,6.30876,962.37087,12208.0,0.45059,
PDCL3,26.0,0.45378,5.0,5.0,13.971,1.0,0.16604,185.86667,5.97921,11.8789,180.0,0.7,
CCL5,1002.0,0.30523,21.0,21.0,17.381,2.0,0.19924,201.1,6.11179,1284.72824,14948.0,0.25714,
HIPK2,9.0,0.37893,4.0,5.0,9.056,1.0,0.16604,186.5,5.97353,101.9855,890.0,0.4,
TP53INP1,11.0,0.25931,5.0,8.0,7.665,1.0,0.19924,187.2,5.983,287.81504,2676.0,0.14286,
TRAM1,6.70602243E9,0.84358,16.0,16.0,34.945,1.0,0.19924,196.31667,6.04739,76.39111,1616.0,0.78333,
TOMM6,24.0,0.56839,4.0,4.0,8.521,1.0,0.16604,173.13333,5.75194,0.0,0.0,1.0,
SYNCRIP,9.61749449E8,0.47556,39.0,40.0,64.55,1.0,0.19924,236.23333,6.49436,2009.21129,31034.0,0.30897,
LYN,114.0,0.22667,17.0,19.0,14.844,2.0,0.16604,207.66667,6.21974,2495.33925,23132.0,0.16374,
KRTCAP2,7.0,0.46346,3.0,4.0,6.162,1.0,0.19924,168.93333,5.68565,43.19952,306.0,0.5,
RB1CC1,994.0,0.49207,11.0,13.0,10.335,1.0,0.16604,186.7,5.92997,410.92313,3566.0,0.37179,
