node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
EIF4E,6.71E+09,0.39071,39,39,59.977,4,0.19924,238.1,6.51899,4212.39701,55476,0.26721
SOD2,74041,0.37948,38,39,52.996,4,0.19924,237.9,6.52467,4205.58513,51922,0.24831
UBE2I,528,0.19854,37,39,44.153,5,0.19924,236.88333,6.50383,5404.55036,52148,0.12416
PSMC1,5.27E+08,0.46403,38,39,57.724,3,0.19924,242.03333,6.58149,2665.55355,40628,0.30364
RPL22,2.22E+10,0.62902,38,39,65.254,2,0.19924,232.5,6.44891,1599.82938,25504,0.41161
RBM25,1.40E+12,0.55065,38,38,58.407,4,0.19924,223.08333,6.32959,1528.44809,19354,0.3798
PRPF40A,9.22E+13,0.68841,37,38,59.027,3,0.19924,225.05,6.35421,2426.02863,23380,0.45377
HSPD1,1013748,0.44547,38,38,57.786,1,0.19924,239.2,6.5474,3343.0923,47312,0.30725
UBE2N,403408,0.29621,33,37,43.212,9,0.19924,242.78333,6.59285,7924.92434,76152,0.16967
HSP90B1,462054,0.35823,37,37,51.43,3,0.19924,243.11667,6.60043,3991.63922,50720,0.24925
ATP5H,6.03E+08,0.57404,37,37,46.979,2,0.19924,225.38333,6.37315,1656.2653,25228,0.3994
RPS17,2.02E+10,0.60425,37,37,60.525,1,0.19924,230.91667,6.43944,1184.7324,22822,0.42042
UQCRQ,6.03E+08,0.51943,35,36,46.361,2,0.19924,223.65,6.34474,2605.84188,33168,0.34762
SNW1,9.22E+13,0.73764,35,36,58.83,2,0.19924,223.55,6.33906,1371.77145,17356,0.49365
NOP56,6287346,0.53358,36,36,60.473,1,0.19924,225.51667,6.36179,1029.68974,20724,0.3746
HIF1A,47393,0.31893,34,35,42.473,2,0.19924,238.06667,6.5455,3835.25979,44026,0.21513
UQCRFS1,6.03E+08,0.63437,33,35,44.668,3,0.19924,217.83333,6.28224,1658.43403,21772,0.40672
SFPQ,1.00E+07,0.51376,32,34,55.056,4,0.19924,227.41667,6.39967,1968.82985,26194,0.33155
LSM7,9.22E+13,0.80931,32,34,60.359,2,0.19924,218.11667,6.2652,1793.14762,21360,0.52228
SNRPC,9.22E+13,0.82972,34,34,57.987,1,0.19924,218.13333,6.28035,419.31059,7286,0.59358
HSPA1A,382112,0.36437,33,33,49.802,5,0.19924,241.81667,6.59853,3280.31404,47784,0.26326
BUB3,3629202,0.3236,31,33,48.633,7,0.19924,233.2,6.48679,3813.90576,46608,0.21023
TPR,907250,0.44896,31,33,56.145,4,0.19924,232.11667,6.47732,2768.45342,34548,0.29167
EIF1AX,1.45E+10,0.53862,32,33,57.823,2,0.19924,228.28333,6.41482,1713.53912,23206,0.36932
