ensembl_gene_id,logFC,logCPM,PValue,qval,chromosome_name,hgnc_symbol
ENSG00000115211,4.864830267,2.951862324,2.22E-05,1.66E-05,2,EIF2B4
ENSG00000105443,-5.045477339,2.904765528,2.22E-05,1.66E-05,19,CYTH2
ENSG00000005448,8.500192195,1.883639593,2.24E-05,1.67E-05,2,WDR54
ENSG00000108395,-8.490914265,1.799266584,2.24E-05,1.67E-05,17,TRIM37
ENSG00000179041,-8.490914265,1.799266584,2.24E-05,1.67E-05,8,RRS1
ENSG00000141542,-8.490914265,1.799266584,2.24E-05,1.67E-05,17,RAB40B
ENSG00000168495,-8.490914265,1.799266584,2.24E-05,1.67E-05,8,POLR3D
ENSG00000119900,8.500192195,1.883639593,2.24E-05,1.67E-05,6,OGFRL1
ENSG00000175581,8.500192195,1.883639593,2.24E-05,1.67E-05,11,MRPL48
ENSG00000123600,-8.490914265,1.799266584,2.24E-05,1.67E-05,2,METTL8
ENSG00000233559,8.500192195,1.883639593,2.24E-05,1.67E-05,7,LINC00513
ENSG00000183856,8.500192195,1.883639593,2.24E-05,1.67E-05,1,IQGAP3
ENSG00000127054,-8.490914265,1.799266584,2.24E-05,1.67E-05,1,INTS11
ENSG00000280411,-8.490914265,1.799266584,2.24E-05,1.67E-05,14,IGHV1-69D
ENSG00000188542,8.500192195,1.883639593,2.24E-05,1.67E-05,2,DUSP28
ENSG00000147570,-8.490914265,1.799266584,2.24E-05,1.67E-05,8,DNAJC5B
ENSG00000128596,8.500192195,1.883639593,2.24E-05,1.67E-05,7,CCDC136
ENSG00000115241,-4.220513828,4.700178367,2.27E-05,1.69E-05,2,PPM1G
ENSG00000100568,4.049499955,6.275250176,2.29E-05,1.70E-05,14,VTI1B
ENSG00000110536,4.137874569,4.960428287,2.30E-05,1.71E-05,11,PTPMT1
ENSG00000149187,4.021740439,6.417917659,2.36E-05,1.75E-05,11,CELF1
ENSG00000100330,4.32570559,4.225848439,2.37E-05,1.76E-05,22,MTMR3
ENSG00000131966,4.08375673,5.462841215,2.43E-05,1.80E-05,14,ACTR10
ENSG00000150787,4.111172216,5.291980203,2.47E-05,1.83E-05,11,PTS
ENSG00000198556,8.469903318,1.856085869,2.52E-05,1.86E-05,7,ZNF789
ENSG00000004766,-8.456246651,1.766979396,2.52E-05,1.86E-05,7,VPS50
ENSG00000226726,-8.456246651,1.766979396,2.52E-05,1.86E-05,2,TMEM256P2
ENSG00000135605,-8.456246651,1.766979396,2.52E-05,1.86E-05,4,TEC
ENSG00000113504,-8.456246651,1.766979396,2.52E-05,1.86E-05,5,SLC12A7
ENSG00000187742,-8.456246651,1.766979396,2.52E-05,1.86E-05,9,SECISBP2
ENSG00000161929,8.469903318,1.856085869,2.52E-05,1.86E-05,17,SCIMP
ENSG00000214176,8.469903318,1.856085869,2.52E-05,1.86E-05,17,PLEKHM1P1
ENSG00000153904,-8.456246651,1.766979396,2.52E-05,1.86E-05,1,DDAH1
ENSG00000163249,-8.456246651,1.766979396,2.52E-05,1.86E-05,2,CCNYL1
ENSG00000235106,-8.456246651,1.766979396,2.52E-05,1.86E-05,9,BRD3OS
ENSG00000165240,-8.456246651,1.766979396,2.52E-05,1.86E-05,X,ATP7A
ENSG00000160072,8.469903318,1.856085869,2.52E-05,1.86E-05,1,ATAD3B
ENSG00000053371,8.469903318,1.856085869,2.52E-05,1.86E-05,1,AKR7A2
ENSG00000211751,4.05286511,5.522980503,2.60E-05,1.92E-05,7,TRBC1
ENSG00000155957,3.992158335,6.581594467,2.65E-05,1.95E-05,12,TMBIM4
ENSG00000268043,-4.087000964,5.022115831,2.66E-05,1.96E-05,1,NBPF12
ENSG00000163513,-4.150334972,4.843100908,2.72E-05,2.00E-05,3,TGFBR2
ENSG00000066933,5.682256869,2.307268311,2.73E-05,2.01E-05,15,MYO9A
ENSG00000068400,4.20251115,4.448844487,2.76E-05,2.03E-05,X,GRIPAP1
ENSG00000179950,4.042320602,5.714248614,2.79E-05,2.05E-05,8,PUF60
ENSG00000153879,-3.987547273,6.05390375,2.79E-05,2.05E-05,19,CEBPG
ENSG00000151612,8.438964874,1.827987293,2.84E-05,2.08E-05,4,ZNF827
ENSG00000161013,8.438964874,1.827987293,2.84E-05,2.08E-05,5,MGAT4B
ENSG00000126456,8.438964874,1.827987293,2.84E-05,2.08E-05,19,IRF3
ENSG00000134470,8.438964874,1.827987293,2.84E-05,2.08E-05,10,IL15RA
ENSG00000117305,8.438964874,1.827987293,2.84E-05,2.08E-05,1,HMGCL
ENSG00000213918,4.418724923,3.869554205,2.83E-05,2.08E-05,16,DNASE1
ENSG00000110906,3.94705689,6.690488049,2.97E-05,2.17E-05,12,KCTD10
ENSG00000172845,-3.954985263,6.474235223,2.99E-05,2.18E-05,2,SP3
ENSG00000153395,-4.125106292,4.819360245,3.02E-05,2.20E-05,5,LPCAT1
ENSG00000147454,4.073352553,5.147328839,3.03E-05,2.21E-05,8,SLC25A37
