,ensembl_gene_id,logFC,logCPM,PValue,qval,chromosome_name,hgnc_symbol
511,ENSG00000084444,14.81404182,8.044717729,8.75E-17,1.91E-13,12,FAM234B
3570,ENSG00000176208,14.48352929,7.714858995,3.64E-16,3.24E-13,17,ATAD5
1342,ENSG00000117009,-14.36143625,7.590302693,6.19E-16,3.56E-13,1,KMO
153,ENSG00000032742,14.34697929,7.578625292,6.57E-16,3.59E-13,13,IFT88
4006,ENSG00000196937,-14.27456305,7.50347738,9.00E-16,3.93E-13,7,FAM3C
2765,ENSG00000159256,-14.11910937,7.34811738,1.76E-15,5.59E-13,21,MORC3
2874,ENSG00000162909,-10.85790871,8.091358362,2.12E-15,6.04E-13,1,CAPN2
129,ENSG00000026103,-10.79272678,8.02623495,2.80E-15,6.68E-13,10,FAS
2811,ENSG00000160799,-11.29739369,7.618053328,3.96E-15,7.40E-13,3,CCDC12
4311,ENSG00000213965,11.11592894,7.6023965,4.29E-15,7.55E-13,19,NUDT19
4741,ENSG00000251022,-10.6665706,7.900199969,4.83E-15,7.77E-13,4,THAP9-AS1
2065,ENSG00000137601,-13.88094642,7.110120516,4.91E-15,7.79E-13,4,NEK1
2437,ENSG00000147174,-13.87767522,7.106851806,4.99E-15,7.82E-13,X,GCNA
2682,ENSG00000156136,-11.23216918,7.552887231,5.26E-15,7.91E-13,4,DCK
3679,ENSG00000180346,-13.85539845,7.084592165,5.48E-15,7.98E-13,4,TIGD2
1930,ENSG00000135317,-13.82769571,7.056911128,6.20E-15,8.19E-13,6,SNX14
2271,ENSG00000143110,13.8137151,7.046920669,6.57E-15,8.29E-13,1,C1orf162
4063,ENSG00000197860,13.77707584,7.01041072,7.69E-15,8.73E-13,5,SGTB
2161,ENSG00000139684,13.74502562,6.978476287,8.82E-15,9.17E-13,13,ESD
714,ENSG00000100647,10.05648596,8.023272283,8.82E-15,9.17E-13,14,SUSD6
2439,ENSG00000147251,13.71386353,6.947429203,1.01E-14,9.65E-13,X,DOCK11
1436,ENSG00000119950,-11.07816887,7.399036196,1.02E-14,9.68E-13,10,MXI1
1553,ENSG00000124171,-13.65215693,6.881520804,1.32E-14,1.16E-12,20,PARD6B
883,ENSG00000104889,-13.63094211,6.860325279,1.45E-14,1.24E-12,19,RNASEH2A
3086,ENSG00000166199,-13.58755298,6.816976603,1.74E-14,1.40E-12,11,ALKBH3
2892,ENSG00000163297,-13.57548955,6.80492465,1.83E-14,1.44E-12,4,ANTXR2
2666,ENSG00000155542,13.53066466,6.764957663,2.23E-14,1.62E-12,5,SETD9
1704,ENSG00000129472,-10.89515271,7.216220327,2.25E-14,1.63E-12,14,RAB2B
3455,ENSG00000173418,-10.8798869,7.20097245,2.40E-14,1.69E-12,20,NAA20
3161,ENSG00000167562,13.49914192,6.733569386,2.55E-14,1.75E-12,19,ZNF701
2903,ENSG00000163518,-13.49665211,6.726164877,2.57E-14,1.75E-12,1,FCRL4
4036,ENSG00000197329,-10.25485544,7.48896482,2.86E-14,1.86E-12,2,PELI1
1197,ENSG00000113273,13.44858725,6.683236421,3.16E-14,1.95E-12,5,ARSB
2372,ENSG00000145390,-10.80911834,7.130289661,3.26E-14,1.98E-12,4,USP53
2208,ENSG00000140830,13.43786905,6.672566204,3.32E-14,2.00E-12,16,TXNL4B
1180,ENSG00000112763,13.41619076,6.650986032,3.63E-14,2.09E-12,6,BTN2A1
108,ENSG00000017797,-13.40646236,6.636069842,3.80E-14,2.13E-12,18,RALBP1
1101,ENSG00000110880,-10.77321469,7.094431233,3.81E-14,2.13E-12,12,CORO1C
2038,ENSG00000137101,13.38609451,6.621028375,4.13E-14,2.22E-12,9,CD72
895,ENSG00000105171,13.38203381,6.616986598,4.21E-14,2.24E-12,19,POP4
1376,ENSG00000117906,10.56017042,7.048521371,4.72E-14,2.44E-12,15,RCN2
855,ENSG00000104312,-10.1219407,7.356237508,5.06E-14,2.57E-12,8,RIPK2
1236,ENSG00000114491,13.32183205,6.557071418,5.47E-14,2.71E-12,3,UMPS
214,ENSG00000052802,13.28424948,6.519673716,6.40E-14,3.02E-12,4,MSMO1
1608,ENSG00000125812,-13.2796016,6.509353806,6.56E-14,3.07E-12,20,GZF1
1979,ENSG00000136026,-13.20717323,6.437014579,8.98E-14,3.87E-12,12,CKAP4
4948,ENSG00000264343,-13.19671051,6.426565144,9.36E-14,3.98E-12,1,NOTCH2NLA
3738,ENSG00000182606,13.19216472,6.428062116,9.51E-14,4.03E-12,3,TRAK1
1003,ENSG00000107798,-13.18219923,6.412072479,9.98E-14,4.17E-12,10,LIPA
4160,ENSG00000203705,13.16051082,6.396577723,1.09E-13,4.42E-12,1,TATDN3
727,ENSG00000100883,-10.52499544,6.846559076,1.11E-13,4.48E-12,14,SRP54
4427,ENSG00000226950,13.14860864,6.384740207,1.15E-13,4.58E-12,4,DANCR
2107,ENSG00000138430,10.33653864,6.825872192,1.24E-13,4.81E-12,2,OLA1
4233,ENSG00000205707,9.734684651,7.145799216,1.27E-13,4.89E-12,12,ETFRF1
2890,ENSG00000163251,13.11963626,6.355927415,1.30E-13,4.96E-12,2,FZD5
1416,ENSG00000119638,-13.10736919,6.337341782,1.37E-13,5.13E-12,14,NEK9
4318,ENSG00000214087,-13.07774162,6.307755154,1.56E-13,5.55E-12,17,ARL16
1318,ENSG00000116406,-13.05909108,6.289130878,1.70E-13,5.83E-12,1,EDEM3
3717,ENSG00000182150,-13.05909108,6.289130878,1.70E-13,5.83E-12,9,ERCC6L2
2602,ENSG00000152700,-13.05475266,6.284798615,1.73E-13,5.89E-12,5,SAR1B
3073,ENSG00000165997,-13.04749283,6.277549144,1.78E-13,5.98E-12,10,ARL5B
2845,ENSG00000162385,-13.0372673,6.267338305,1.86E-13,6.13E-12,1,MAGOH
3493,ENSG00000174405,13.03553294,6.272305252,1.87E-13,6.15E-12,13,LIG4
3408,ENSG00000172172,13.0290555,6.265866005,1.92E-13,6.23E-12,8,MRPL13
4022,ENSG00000197124,13.02254885,6.259397882,1.98E-13,6.34E-12,19,ZNF682
1539,ENSG00000123595,-9.507455582,7.297151239,2.01E-13,6.39E-12,X,RAB9A
411,ENSG00000075188,13.01470194,6.251597653,2.05E-13,6.45E-12,12,NUP37
2809,ENSG00000160712,-13.01063537,6.240745187,2.09E-13,6.52E-12,1,IL6R
4788,ENSG00000255154,10.2020344,6.692034625,2.20E-13,6.69E-12,3,HTD2
3656,ENSG00000179295,12.99223439,6.229265144,2.24E-13,6.75E-12,12,PTPN11
4870,ENSG00000259330,-12.98806028,6.218203629,2.30E-13,6.84E-12,15,INAFM2
1119,ENSG00000111364,9.588783797,7.000566709,2.39E-13,6.97E-12,12,DDX55
4125,ENSG00000198792,12.96941141,6.206581419,2.48E-13,7.10E-12,22,TMEM184B
2757,ENSG00000158850,12.96670246,6.203889139,2.51E-13,7.14E-12,1,B4GALT3
1877,ENSG00000134107,-10.32984113,6.651725388,2.57E-13,7.22E-12,3,BHLHE40
386,ENSG00000072694,-12.95894851,6.189135982,2.60E-13,7.26E-12,1,FCGR2B
1775,ENSG00000131711,12.95444885,6.191711306,2.65E-13,7.32E-12,5,MAP1B
3910,ENSG00000187736,12.93932948,6.176686294,2.82E-13,7.59E-12,2,NHEJ1
3806,ENSG00000184489,-12.92131565,6.151561649,3.07E-13,7.97E-12,8,PTP4A3
1000,ENSG00000107679,-12.91813481,6.148385839,3.11E-13,8.02E-12,10,PLEKHA1
1305,ENSG00000116106,-12.91654176,6.146795309,3.13E-13,8.05E-12,2,EPHA4
3471,ENSG00000173702,12.91564699,6.153153527,3.13E-13,8.05E-12,3,MUC13
2976,ENSG00000164180,-12.89567039,6.125957282,3.42E-13,8.45E-12,5,TMEM161B
568,ENSG00000089154,-12.88918721,6.119484568,3.51E-13,8.56E-12,12,GCN1
4100,ENSG00000198315,-12.87940749,6.109720729,3.65E-13,8.74E-12,6,ZKSCAN8
3533,ENSG00000175352,12.87432795,6.112101425,3.73E-13,8.83E-12,11,NRIP3
868,ENSG00000104626,12.87143426,6.109226708,3.78E-13,8.89E-12,8,ERI1
281,ENSG00000064995,10.07598841,6.566670741,3.78E-13,8.89E-12,6,TAF11
2288,ENSG00000143337,-9.352105272,7.142126333,3.92E-13,9.05E-12,1,TOR1AIP1
2915,ENSG00000163602,-10.22500868,6.547085088,4.03E-13,9.18E-12,3,RYBP
185,ENSG00000047249,-12.84297039,6.07334391,4.29E-13,9.46E-12,8,ATP6V1H
4680,ENSG00000244437,10.04402507,6.534889762,4.34E-13,9.51E-12,2,IGKV3-15
935,ENSG00000105750,-12.83792962,6.068311617,4.38E-13,9.55E-12,19,ZNF85
1187,ENSG00000112977,10.03862831,6.529524185,4.44E-13,9.61E-12,5,DAP
1225,ENSG00000114126,-12.83287118,6.063261713,4.47E-13,9.64E-12,3,TFDP2
551,ENSG00000088356,-12.829489,6.059885266,4.53E-13,9.70E-12,20,PDRG1
3728,ENSG00000182405,-12.82609888,6.0565009,4.59E-13,9.76E-12,15,PGBD4
921,ENSG00000105497,12.82283092,6.060947498,4.65E-13,9.81E-12,19,ZNF175
4615,ENSG00000240682,-12.82270077,6.053108578,4.69E-13,9.85E-12,3,ISY1
3061,ENSG00000165806,-12.81758856,6.048005095,4.78E-13,9.94E-12,10,CASP7
387,ENSG00000072736,-12.81417032,6.044592718,4.85E-13,1.00E-11,16,NFATC3
1059,ENSG00000109436,-12.80902773,6.039458974,4.95E-13,1.01E-11,4,TBC1D9
398,ENSG00000073803,-12.80558913,6.036026304,5.02E-13,1.02E-11,3,MAP3K13
68,ENSG00000009335,-12.80214231,6.032585448,5.09E-13,1.02E-11,7,UBE3C
1344,ENSG00000117054,9.405364912,6.818087556,5.25E-13,1.03E-11,1,ACADM
1196,ENSG00000113272,12.79408599,6.032399244,5.27E-13,1.04E-11,5,THG1L
1057,ENSG00000109321,-12.79175216,6.022213379,5.35E-13,1.04E-11,4,AREG
3239,ENSG00000168818,12.79102662,6.02936103,5.35E-13,1.04E-11,4,STX18
1956,ENSG00000135766,9.976763778,6.468025278,5.78E-13,1.10E-11,1,EGLN1
244,ENSG00000058804,-9.078776071,7.268827644,5.80E-13,1.10E-11,1,NDC1
2618,ENSG00000153339,-12.76544463,5.99595228,5.98E-13,1.12E-11,18,TRAPPC8
2939,ENSG00000163867,-12.76012506,5.99064222,6.11E-13,1.14E-11,1,ZMYM6
488,ENSG00000081870,9.964293769,6.455630825,6.12E-13,1.14E-11,1,HSPB11
3566,ENSG00000176102,12.74434008,5.983002683,6.52E-13,1.19E-11,11,CSTF3
2773,ENSG00000159593,12.73640996,5.975129329,6.76E-13,1.21E-11,16,NAE1
2141,ENSG00000139174,-12.73322897,5.963794811,6.86E-13,1.22E-11,12,PRICKLE1
3381,ENSG00000171606,12.73003434,5.968799554,6.91E-13,1.23E-11,19,ZNF274
3132,ENSG00000167081,-12.72960464,5.96017712,6.96E-13,1.23E-11,9,PBX3
1559,ENSG00000124275,-12.72232855,5.952914414,7.17E-13,1.26E-11,5,MTRR
422,ENSG00000076043,9.926223687,6.417795364,7.21E-13,1.26E-11,11,REXO2
2465,ENSG00000148396,-12.71501558,5.945614972,7.44E-13,1.28E-11,9,SEC16A
1653,ENSG00000127527,-12.70766535,5.938278419,7.66E-13,1.31E-11,19,EPS15L1
1249,ENSG00000114982,12.70587161,5.944812364,7.66E-13,1.31E-11,2,KANSL3
1631,ENSG00000126581,-10.07087187,6.393259197,7.81E-13,1.32E-11,17,BECN1
1358,ENSG00000117475,12.6977266,5.936727154,7.95E-13,1.34E-11,1,BLZF1
3397,ENSG00000171928,-12.69842458,5.929054964,7.95E-13,1.34E-11,17,TVP23B
2929,ENSG00000163728,9.296005874,6.709346919,8.41E-13,1.38E-11,3,TTC14
2607,ENSG00000152894,-12.68164056,5.912302714,8.57E-13,1.40E-11,6,PTPRK
2706,ENSG00000157014,12.6812973,5.920419475,8.57E-13,1.40E-11,3,TATDN2
1467,ENSG00000121067,-12.67976356,5.910429291,8.64E-13,1.41E-11,17,SPOP
1111,ENSG00000111231,-12.67600222,5.906675134,8.77E-13,1.42E-11,12,GPN3
2487,ENSG00000149084,8.972616463,6.943719938,9.38E-13,1.49E-11,11,HSD17B12
1815,ENSG00000132478,12.65965563,5.898940031,9.39E-13,1.49E-11,17,UNK
3694,ENSG00000180917,12.64278443,5.882196923,1.01E-12,1.57E-11,16,CMTR2
3944,ENSG00000188906,12.63938639,5.87882485,1.02E-12,1.58E-11,12,LRRK2
4314,ENSG00000214022,12.6257136,5.865257157,1.09E-12,1.65E-11,7,REPIN1
4011,ENSG00000196975,-12.622287,5.853064942,1.11E-12,1.67E-11,2,ANXA4
1561,ENSG00000124299,-12.61641137,5.847201071,1.13E-12,1.69E-11,19,PEPD
1159,ENSG00000112237,9.21753298,6.631346788,1.18E-12,1.74E-11,6,CCNC
4348,ENSG00000215252,-9.382959718,6.618696204,1.22E-12,1.78E-11,15,GOLGA8B
2701,ENSG00000156875,-9.967790036,6.290406007,1.22E-12,1.78E-11,1,MFSD14A
2731,ENSG00000158042,12.59797304,5.83773275,1.23E-12,1.79E-11,11,MRPL17
4089,ENSG00000198157,9.791538536,6.28399002,1.28E-12,1.84E-11,X,HMGN5
702,ENSG00000100526,9.78896948,6.28143853,1.30E-12,1.86E-11,14,CDKN3
2584,ENSG00000152242,9.192108285,6.606080713,1.31E-12,1.87E-11,18,C18orf25
276,ENSG00000064601,-12.57459795,5.805472956,1.35E-12,1.90E-11,20,CTSA
3040,ENSG00000165417,12.56968861,5.809672808,1.38E-12,1.93E-11,14,GTF2A1
4253,ENSG00000211653,12.56790228,5.807900802,1.38E-12,1.93E-11,22,IGLV1-40
478,ENSG00000080845,-12.56242524,5.793325619,1.43E-12,1.97E-11,20,DLGAP4
1822,ENSG00000132680,9.766945803,6.259566677,1.43E-12,1.97E-11,1,KHDC4
3655,ENSG00000179222,12.56073478,5.800790923,1.43E-12,1.97E-11,X,MAGED1
179,ENSG00000043143,-12.56038644,5.791291085,1.44E-12,1.98E-11,5,JADE2
2215,ENSG00000141076,-12.55834474,5.789253678,1.45E-12,1.99E-11,16,UTP4
631,ENSG00000096092,9.761714533,6.254371799,1.46E-12,2.00E-11,6,TMEM14A
3829,ENSG00000185104,-12.55014895,5.781075166,1.50E-12,2.03E-11,1,FAF1
208,ENSG00000051009,9.75119474,6.243925575,1.52E-12,2.05E-11,11,FAM160A2
2438,ENSG00000147180,-12.54603353,5.776968463,1.53E-12,2.05E-11,X,ZNF711
2078,ENSG00000137944,-9.911848473,6.234596061,1.54E-12,2.06E-11,1,KYAT3
4836,ENSG00000257727,9.141999991,6.556293109,1.62E-12,2.14E-11,12,CNPY2
4816,ENSG00000256683,-12.53361636,5.76457777,1.62E-12,2.14E-11,19,ZNF350
1509,ENSG00000122779,-12.52318644,5.754170302,1.69E-12,2.20E-11,7,TRIM24
2848,ENSG00000162419,12.52066407,5.761047413,1.70E-12,2.21E-11,1,GMEB1
3736,ENSG00000182552,-12.51899327,5.749986209,1.72E-12,2.23E-11,4,RWDD4
2802,ENSG00000160563,12.51325738,5.753702157,1.76E-12,2.27E-11,9,MED27
4901,ENSG00000260792,-12.50209765,5.733127464,1.85E-12,2.34E-11,14,LINC02280
3226,ENSG00000168439,-12.49997171,5.731006206,1.87E-12,2.36E-11,11,STIP1
3148,ENSG00000167272,9.69741344,6.190528576,1.93E-12,2.41E-11,12,POP5
2738,ENSG00000158201,9.694671019,6.187806124,1.95E-12,2.43E-11,18,ABHD3
3452,ENSG00000173276,-12.48929479,5.720352894,1.95E-12,2.43E-11,21,ZBTB21
241,ENSG00000058091,-12.48714989,5.718212763,1.97E-12,2.45E-11,7,CDK14
3648,ENSG00000179021,-12.48285051,5.713922955,2.00E-12,2.47E-11,3,C3orf38
1125,ENSG00000111602,12.48134772,5.722060595,2.02E-12,2.49E-11,12,TIMELESS
1986,ENSG00000136141,12.46991483,5.71072514,2.11E-12,2.56E-11,13,LRCH1
363,ENSG00000070669,12.45646094,5.697386837,2.24E-12,2.66E-11,7,ASNS
4413,ENSG00000225830,-12.45678159,5.687912836,2.24E-12,2.66E-11,10,ERCC6
3347,ENSG00000170962,-12.4523906,5.683531875,2.28E-12,2.69E-11,11,PDGFD
1575,ENSG00000124784,-8.942157381,6.733231667,2.28E-12,2.69E-11,6,RIOK1
66,ENSG00000008513,-9.82045097,6.143425768,2.29E-12,2.70E-11,8,ST3GAL1
467,ENSG00000079387,-12.45019009,5.681336397,2.30E-12,2.70E-11,12,SENP1
3579,ENSG00000176623,9.654308723,6.147741985,2.31E-12,2.71E-11,8,RMDN1
2325,ENSG00000144043,-12.44798621,5.679137574,2.32E-12,2.72E-11,2,TEX261
2576,ENSG00000152056,-12.44577896,5.676935396,2.34E-12,2.73E-11,2,AP1S3
3114,ENSG00000166801,9.631546816,6.125151793,2.55E-12,2.89E-11,11,FAM111A
1673,ENSG00000128438,-12.42576027,5.656963107,2.56E-12,2.90E-11,17,TBC1D27P
2694,ENSG00000156531,-8.912080387,6.703244771,2.60E-12,2.93E-11,X,PHF6
3637,ENSG00000178573,9.031659659,6.44669828,2.61E-12,2.94E-11,16,MAF
1067,ENSG00000109787,-9.788106437,6.111165435,2.62E-12,2.94E-11,4,KLF3
1496,ENSG00000122435,12.40935686,5.650695603,2.73E-12,3.02E-11,1,TRMT13
2554,ENSG00000151470,12.40736042,5.648716941,2.75E-12,3.04E-11,4,C4orf33
2963,ENSG00000164080,9.017833273,6.432969273,2.78E-12,3.06E-11,3,RAD54L2
3013,ENSG00000164818,-12.40545989,5.63671055,2.80E-12,3.07E-11,7,DNAAF5
1544,ENSG00000123684,-8.708986866,6.900082459,2.84E-12,3.10E-11,1,LPGAT1
1835,ENSG00000132950,9.606962214,6.100755605,2.84E-12,3.10E-11,13,ZMYM5
328,ENSG00000067955,-9.763363087,6.086487888,2.91E-12,3.15E-11,16,CBFB
1359,ENSG00000117505,8.522506738,6.896260829,2.95E-12,3.17E-11,1,DR1
73,ENSG00000010256,8.705052945,6.677808824,2.96E-12,3.18E-11,3,UQCRC1
231,ENSG00000055950,9.586396695,6.080350086,3.09E-12,3.27E-11,10,MRPL43
383,ENSG00000072506,12.37911619,5.620726769,3.10E-12,3.27E-11,X,HSD17B10
103,ENSG00000015171,-9.746628571,6.069798574,3.14E-12,3.30E-11,10,ZMYND11
2870,ENSG00000162851,9.580466582,6.074466518,3.18E-12,3.32E-11,1,TFB2M
2747,ENSG00000158552,8.985046876,6.400417437,3.19E-12,3.33E-11,2,ZFAND2B
2321,ENSG00000143970,-9.736493888,6.059691542,3.27E-12,3.38E-11,2,ASXL2
283,ENSG00000065150,-12.36864959,5.599988976,3.28E-12,3.39E-11,13,IPO5
5212,ENSG00000280789,-12.36864959,5.599988976,3.28E-12,3.39E-11,16,PAGR1
1512,ENSG00000122877,-9.734797831,6.058000133,3.29E-12,3.39E-11,10,EGR2
1596,ENSG00000125651,-12.36631746,5.597662557,3.31E-12,3.41E-11,19,GTF2F1
3443,ENSG00000172943,-12.35695105,5.588319201,3.44E-12,3.48E-11,X,PHF8
2653,ENSG00000154719,-12.35459992,5.58597388,3.47E-12,3.50E-11,21,MRPL39
1833,ENSG00000132906,12.35238488,5.594240259,3.50E-12,3.52E-11,1,CASP9
1635,ENSG00000126803,-12.34988613,5.581271774,3.54E-12,3.54E-11,14,HSPA2
3756,ENSG00000183091,-12.34988613,5.581271774,3.54E-12,3.54E-11,2,NEB
94,ENSG00000013375,-12.34988613,5.581271774,3.54E-12,3.54E-11,6,PGM3
1542,ENSG00000123609,-9.716008405,6.0392626,3.57E-12,3.56E-11,2,NMI
1585,ENSG00000125352,12.34614513,5.588058277,3.57E-12,3.56E-11,X,RNF113A
1109,ENSG00000111203,-12.34278644,5.574189767,3.64E-12,3.61E-11,12,ITFG2
1216,ENSG00000113845,-12.33565163,5.567072838,3.78E-12,3.71E-11,3,TIMMDC1
4313,ENSG00000213983,12.32726233,5.569351711,3.89E-12,3.78E-11,14,AP1G2
3026,ENSG00000165006,-12.32608334,5.557528679,3.93E-12,3.81E-11,9,UBAP1
2530,ENSG00000150687,-12.32368132,5.555132746,3.97E-12,3.83E-11,11,PRSS23
847,ENSG00000104129,-9.100495831,6.337019864,4.09E-12,3.91E-11,15,DNAJC17
902,ENSG00000105246,-12.31645116,5.547920988,4.09E-12,3.91E-11,19,EBI3
389,ENSG00000072786,-12.31161085,5.543093052,4.17E-12,3.97E-11,5,STK10
28,ENSG00000005194,-8.800407825,6.591924246,4.20E-12,3.98E-11,16,CIAPIN1
3625,ENSG00000178074,-12.30918459,5.540673015,4.21E-12,3.99E-11,2,C2orf69
1508,ENSG00000122741,-12.30675424,5.538248913,4.25E-12,4.02E-11,9,DCAF10
1735,ENSG00000130559,-12.30188123,5.533388461,4.33E-12,4.07E-11,9,CAMSAP1
659,ENSG00000100030,-9.661700609,5.985108978,4.51E-12,4.19E-11,22,MAPK1
777,ENSG00000101911,8.599724578,6.573217494,4.64E-12,4.28E-11,X,PRPS2
3291,ENSG00000169756,-9.067950874,6.30457649,4.69E-12,4.31E-11,2,LIMS1
247,ENSG00000059573,12.28221687,5.524735558,4.73E-12,4.34E-11,10,ALDH18A1
790,ENSG00000102218,12.28221687,5.524735558,4.73E-12,4.34E-11,X,RP2
3516,ENSG00000175105,9.475736146,5.970589067,4.95E-12,4.48E-11,3,ZNF654
2064,ENSG00000137574,8.87559064,6.291782733,5.09E-12,4.57E-11,8,TGS1
3279,ENSG00000169429,-9.631027503,5.954525775,5.13E-12,4.59E-11,4,CXCL8
2532,ENSG00000150768,12.26026206,5.502994601,5.18E-12,4.62E-11,11,DLAT
1763,ENSG00000131196,-8.740542187,6.532259266,5.42E-12,4.77E-11,18,NFATC1
502,ENSG00000083720,-12.24969555,5.481340427,5.45E-12,4.78E-11,5,OXCT1
2352,ENSG00000144659,12.24469245,5.48757851,5.56E-12,4.85E-11,3,SLC25A38
1494,ENSG00000122376,-12.24208393,5.47374938,5.61E-12,4.88E-11,10,SHLD2
1206,ENSG00000113593,9.443428406,5.938556659,5.69E-12,4.93E-11,5,PPWD1
1445,ENSG00000120334,12.2357195,5.478694746,5.73E-12,4.95E-11,1,CENPL
1867,ENSG00000133935,12.23346751,5.476465227,5.79E-12,4.98E-11,14,ERG28
566,ENSG00000089123,12.23121201,5.474232255,5.85E-12,5.02E-11,20,TASP1
1319,ENSG00000116580,8.289379025,7.233897047,5.91E-12,5.05E-11,1,GON4L
1294,ENSG00000115919,-12.22930797,5.461008237,5.91E-12,5.05E-11,2,KYNU
2,ENSG00000000457,12.22895297,5.47199582,5.91E-12,5.05E-11,1,SCYL3
1459,ENSG00000120889,-12.22673915,5.458446457,5.97E-12,5.08E-11,8,TNFRSF10B
5145,ENSG00000277462,-12.22673915,5.458446457,5.97E-12,5.08E-11,1,ZNF670
2631,ENSG00000153975,-12.22673915,5.458446457,5.97E-12,5.08E-11,6,ZUP1
3285,ENSG00000169598,12.22442426,5.467512516,6.03E-12,5.12E-11,1,DFFB
2721,ENSG00000157601,12.22442426,5.467512516,6.03E-12,5.12E-11,21,MX1
644,ENSG00000099385,-12.22158774,5.453309215,6.16E-12,5.19E-11,16,BCL7C
433,ENSG00000077044,-12.21900512,5.450733722,6.22E-12,5.22E-11,2,DGKD
3286,ENSG00000169609,-12.21122941,5.442979553,6.42E-12,5.33E-11,15,C15orf40
1104,ENSG00000110917,-12.21122941,5.442979553,6.42E-12,5.33E-11,12,MLEC
4069,ENSG00000197961,12.21075219,5.453978356,6.42E-12,5.33E-11,19,ZNF121
2783,ENSG00000160055,-12.19817602,5.429962644,6.76E-12,5.53E-11,1,TMEM234
2545,ENSG00000151239,-12.19555111,5.427345116,6.84E-12,5.58E-11,12,TWF1
1532,ENSG00000123353,-12.19292141,5.424722833,6.91E-12,5.62E-11,12,ORMDL2
2674,ENSG00000155876,-12.19292141,5.424722833,6.91E-12,5.62E-11,9,RRAGA
292,ENSG00000065600,9.38848624,5.884096474,7.20E-12,5.79E-11,1,PACC1
3092,ENSG00000166311,12.18301311,5.426522862,7.21E-12,5.80E-11,11,SMPD1
1756,ENSG00000131023,-9.550400351,5.874145112,7.26E-12,5.83E-11,6,LATS1
1651,ENSG00000127511,12.1759942,5.419576518,7.44E-12,5.93E-11,19,SIN3B
99,ENSG00000013810,12.1759942,5.419576518,7.44E-12,5.93E-11,4,TACC3
1331,ENSG00000116830,-12.17704178,5.408888299,7.44E-12,5.93E-11,1,TTF2
2124,ENSG00000138735,-12.1743781,5.406232239,7.52E-12,5.97E-11,4,PDE5A
150,ENSG00000031698,-8.468343317,6.660281179,7.99E-12,6.23E-11,1,SARS1
2549,ENSG00000151332,12.14996201,5.393816393,8.29E-12,6.39E-11,14,MBIP
35,ENSG00000005812,9.354140171,5.850060735,8.35E-12,6.42E-11,13,FBXL3
5032,ENSG00000270362,-9.517238737,5.841089322,8.35E-12,6.42E-11,6,HMGN3-AS1
1942,ENSG00000135473,-9.515264111,5.839121082,8.42E-12,6.46E-11,12,PAN2
3537,ENSG00000175455,-12.14474834,5.376688396,8.47E-12,6.49E-11,3,CCDC14
2476,ENSG00000148690,-12.14474834,5.376688396,8.47E-12,6.49E-11,10,FRA10AC1
700,ENSG00000100483,12.14037808,5.384333783,8.66E-12,6.59E-11,14,VCPKMT
4779,ENSG00000254838,-12.13929512,5.371251212,8.75E-12,6.63E-11,11,GVINP1
3057,ENSG00000165716,12.13314812,5.377180674,8.94E-12,6.73E-11,9,DIPK1B
1280,ENSG00000115590,-9.501365534,5.825267721,8.98E-12,6.75E-11,2,IL1R2
2427,ENSG00000146842,-12.13107644,5.363056843,9.04E-12,6.78E-11,7,TMEM209
1026,ENSG00000108465,12.12588174,5.3699919,9.14E-12,6.83E-11,17,CDK5RAP3
1489,ENSG00000122085,-9.495367767,5.819289614,9.19E-12,6.85E-11,2,MTERF4
750,ENSG00000101236,12.12345146,5.367587655,9.25E-12,6.88E-11,20,RNF24
4133,ENSG00000198839,-12.11449728,5.346527218,9.66E-12,7.08E-11,7,ZNF277
1410,ENSG00000119522,12.11123826,5.355505923,9.77E-12,7.13E-11,9,DENND1A
3456,ENSG00000173465,8.424554214,6.399394932,9.86E-12,7.18E-11,11,ZNRD2
1172,ENSG00000112584,-12.10892828,5.340975011,9.88E-12,7.18E-11,6,FAM120B
4380,ENSG00000223547,-12.10892828,5.340975011,9.88E-12,7.18E-11,19,ZNF844
4029,ENSG00000197223,9.311815552,5.808128358,9.97E-12,7.23E-11,2,C1D
979,ENSG00000106688,12.10632388,5.35064474,9.99E-12,7.24E-11,9,SLC1A1
3975,ENSG00000196365,-12.1033377,5.335401366,1.01E-11,7.29E-11,19,LONP1
3832,ENSG00000185129,-12.1033377,5.335401366,1.01E-11,7.29E-11,5,PURA
926,ENSG00000105656,-12.10053426,5.332606453,1.02E-11,7.33E-11,19,ELL
3406,ENSG00000172086,12.09892078,5.343322095,1.03E-11,7.38E-11,2,KRCC1
38,ENSG00000005893,8.4126422,6.38758047,1.04E-11,7.42E-11,X,LAMP2
3187,ENSG00000167967,-12.09772537,5.329806117,1.05E-11,7.47E-11,16,E4F1
1010,ENSG00000108021,-12.09772537,5.329806117,1.05E-11,7.47E-11,10,TASOR2
1121,ENSG00000111530,-12.094911,5.327000339,1.06E-11,7.51E-11,12,CAND1
2621,ENSG00000153487,-12.094911,5.327000339,1.06E-11,7.51E-11,13,ING1
4014,ENSG00000197021,-12.08926573,5.321372368,1.08E-11,7.61E-11,X,CXorf40B
2898,ENSG00000163389,-12.08926573,5.321372368,1.08E-11,7.61E-11,3,POGLUT1
1557,ENSG00000124207,8.397008069,6.372075564,1.11E-11,7.74E-11,20,CSE1L
