,ensembl_gene_id,logFC,logCPM,PValue,qval,chromosome_name,hgnc_symbol
1846,ENSG00000133119,-8.054215388,1.397750556,0.000108555,7.16E-05,13,RFC3
2280,ENSG00000143248,8.045991868,1.475470521,0.000108555,7.16E-05,1,RGS5
1021,ENSG00000108370,-8.054215388,1.397750556,0.000108555,7.16E-05,17,RGS9
4377,ENSG00000223396,8.045991868,1.475470521,0.000108555,7.16E-05,1,RPS10P7
643,ENSG00000099381,8.045991868,1.475470521,0.000108555,7.16E-05,16,SETD1A
582,ENSG00000090372,8.045991868,1.475470521,0.000108555,7.16E-05,19,STRN4
3420,ENSG00000172403,-8.054215388,1.397750556,0.000108555,7.16E-05,4,SYNPO2
4434,ENSG00000227372,8.045991868,1.475470521,0.000108555,7.16E-05,1,TP73-AS1
2693,ENSG00000156521,-8.054215388,1.397750556,0.000108555,7.16E-05,10,TYSND1
1740,ENSG00000130723,-3.697457029,4.955936994,0.00011071,7.29E-05,9,PRRC2B
2625,ENSG00000153814,-4.317286697,2.917061869,0.000110866,7.30E-05,7,JAZF1
4316,ENSG00000214046,-3.62153368,5.738243529,0.000112186,7.38E-05,19,SMIM7
605,ENSG00000092330,-3.693521871,4.952303471,0.000112243,7.38E-05,14,TINF2
2075,ENSG00000137845,-3.644965939,5.190646438,0.000113914,7.49E-05,15,ADAM10
3382,ENSG00000171608,-3.783285344,4.364715435,0.000114699,7.53E-05,1,PIK3CD
69,ENSG00000009780,3.603422831,6.240473896,0.000115292,7.57E-05,1,FAM76A
372,ENSG00000071553,3.639604491,5.264130931,0.000116945,7.67E-05,X,ATP6AP1
4632,ENSG00000242028,3.64294512,5.227120149,0.000117458,7.70E-05,15,HYPK
1367,ENSG00000117625,5.275560031,1.93915494,0.000118214,7.75E-05,1,RCOR3
4431,ENSG00000227191,5.275560031,1.93915494,0.000118214,7.75E-05,7,TRGC2
145,ENSG00000030066,-3.633019151,5.384702879,0.000118715,7.78E-05,11,NUP160
464,ENSG00000079134,3.597674079,6.154488653,0.000121288,7.94E-05,18,THOC1
1543,ENSG00000123636,3.578264422,6.485191473,0.00012165,7.96E-05,2,BAZ2B
3715,ENSG00000182093,-3.754779722,4.474042391,0.000122282,8.00E-05,21,GET1
510,ENSG00000084234,3.548466458,7.403523887,0.000122739,8.03E-05,11,APLP2
2801,ENSG00000160551,-3.541857198,7.801576081,0.000122905,8.04E-05,17,TAOK1
2520,ENSG00000149923,-3.671451254,4.83967881,0.000123673,8.08E-05,16,PPP4C
