,stage1,stage2
ENSG00000010404.17,1316.993205,546.3404082
ENSG00000010610.9,108.5796332,1.142857143
ENSG00000010671.15,271.8004344,77.93877551
ENSG00000010810.17,294.3409749,5.285714286
ENSG00000010818.9,230.3177486,195.5246939
ENSG00000011007.12,148.7506298,1.673469388
ENSG00000011009.10,23.42471043,0.265306122
ENSG00000011021.21,36.58557674,7.959183673
ENSG00000011052.21,0.43614141,20.29469388
ENSG00000011114.14,50.68436295,189.4285714
ENSG00000011132.11,0.216216216,0.020408163
ENSG00000011198.7,44.77193774,0.020408163
ENSG00000011243.17,10.08035715,0.020408163
ENSG00000011258.15,166.14889,0.040816327
ENSG00000011260.13,37.55501931,16.93877551
ENSG00000011275.18,190.3126907,201.9387755
ENSG00000011295.15,0.291264479,559.5714286
ENSG00000011304.19,70.36751929,283.4897959
ENSG00000011405.13,51.441361,0.06122449
ENSG00000011422.11,5.660472975,3.918367347
ENSG00000011454.16,36.98407336,0.06122449
ENSG00000011523.13,16.91512066,0.163265306
ENSG00000011590.13,13.36607143,196.5714286
ENSG00000011600.11,27.21549228,1.734693878
ENSG00000011638.10,392.895029,849.3265306
ENSG00000012061.15,186.2350386,104.2634694
ENSG00000012124.16,110.7898166,317.755102
ENSG00000012660.13,205.3400097,881.6326531
ENSG00000012779.10,156.6276545,0.142857143
ENSG00000012822.15,165.6660232,169.2244898
ENSG00000012963.14,52.31595077,962.122449
ENSG00000012983.11,13.25482626,258.877551
ENSG00000013275.7,126.1942568,452.4489796
ENSG00000013288.8,106.4333977,211.877551
ENSG00000013306.15,57.31491313,495.5510204
ENSG00000013364.18,2.201013514,41.85714286
ENSG00000013374.15,297.4989431,211.3877551
ENSG00000013375.15,0.569317085,0.306122449
ENSG00000013441.15,2835.055261,3700.142857
ENSG00000013561.17,16.47466216,1.040816327
ENSG00000013573.16,0.223214286,459.7318367
ENSG00000013588.7,0.035714286,0.081632653
ENSG00000013725.14,0.380791506,0.408163265
ENSG00000013810.18,11.1155888,615.4081633
ENSG00000014123.9,146.9423262,11.2244898
ENSG00000014216.15,3.946911197,0.285714286
ENSG00000014641.17,687.5839769,398.7755102
ENSG00000014824.13,217.8088803,23.36734694
ENSG00000014919.12,0.138754826,145.3061224
ENSG00000015133.18,38.91578185,4.591836735
ENSG00000015153.14,1140.099421,35.14285714
ENSG00000015171.19,42.26472008,1.183673469
ENSG00000015285.10,10.99107143,37.44897959
ENSG00000015475.18,679.4934846,833.7142857
ENSG00000015479.18,1435.486803,1407.628776
ENSG00000015568.12,898.0436342,209.2189796
ENSG00000015676.17,0.076254826,122.8979592
ENSG00000016391.10,0.054054054,0.081632653
ENSG00000016864.18,0.040540541,14.28571429
ENSG00000017260.19,355.2218895,177.6734694
ENSG00000017427.15,0.013513514,0.020408163
