"","B_P_Matrix.Ensembl_ID","C473_Exp_ave","C481_Exp_ave","LC03_Exp_ave","RC02_Exp_ave","RC03_Exp_ave","LC01_Exp_ave","R03_Exp_ave","R02_Exp_ave"
"1","ENSG00000000003.14",0,0,0,0,0.108108108108108,0,0,0
"2","ENSG00000000005.5",0,0,0,0,0,0,0,0
"3","ENSG00000000419.12",692.533333333333,106.314814814815,96.3655913978495,0.384615384615385,153.027027027027,2.08163265306122,161.407407407407,206.732142857143
"4","ENSG00000000457.13",0.333333333333333,15.9518518518519,0.032258064516129,8.07692307692308,206.540540540541,637.847551020408,0.592592592592593,29.1873214285714
"5","ENSG00000000460.16",0,374.307407407407,4.06451612903226,0,0,2.41775510204082,0,0.223392857142857
"6","ENSG00000000938.12",0,0.722222222222222,0,0,0.0810810810810811,47.1632653061224,0,14.0178571428571
"7","ENSG00000000971.15",0.0666666666666667,0.210555555555556,0.0787096774193548,0,3.17810810810811,0,0,0.0178571428571429
"8","ENSG00000001036.13",0.533333333333333,0.12962962962963,2.96774193548387,0,113.837837837838,782.020408163265,0,92.3714285714286
"9","ENSG00000001084.10",0.2,448.666666666667,331.709677419355,0.0769230769230769,151.675675675676,0,130.851851851852,12.1785714285714
"10","ENSG00000001167.14",193.866666666667,136.925925925926,177.451612903226,0.461538461538462,0.0540540540540541,76.0612244897959,18.7777777777778,8.125
"11","ENSG00000001460.17",0,0,0.010752688172043,0,0,91.1224489795918,0.037037037037037,0.0357142857142857
"12","ENSG00000001461.16",57.6666666666667,6.07407407407407,254.688172043011,1.61538461538462,8.81081081081081,105.857142857143,0.111111111111111,105.053571428571
"13","ENSG00000001497.16",250.733333333333,221,297.849462365591,0,635.702702702703,196.285714285714,0.148148148148148,8.82142857142857
"14","ENSG00000001561.6",0.0666666666666667,221.685185185185,139.322580645161,0,0.0810810810810811,0.142857142857143,510.740740740741,62.1071428571429
"15","ENSG00000001617.11",0,0,0,0,0.027027027027027,0,0.518518518518518,0
"16","ENSG00000001626.14",0,0,0,0,0,0,0,0
"17","ENSG00000001629.9",4.8,184.666666666667,451.354838709677,0.307692307692308,823.432432432432,8.79591836734694,0.148148148148148,0.535714285714286
"18","ENSG00000001630.15",684.776,1229.01851851852,4233.67774193548,1739.23076923077,5378.29675675676,5400.16326530612,921.296296296296,683.399821428571
"19","ENSG00000001631.15",2.50533333333333,11.8944444444444,336.17376344086,0,1.36216216216216,0.102040816326531,483.703703703704,70.6398214285714
"20","ENSG00000002016.17",0.4,206.62962962963,0.946236559139785,0,4.81081081081081,35.7755102040816,6.62962962962963,0.0714285714285714
"21","ENSG00000002079.14",0,0,0,0,0,0,0,0
"22","ENSG00000002330.13",0.2,35.512037037037,0.150537634408602,0,0.351351351351351,0.387755102040816,0,68.2142857142857
"23","ENSG00000002549.12",3.6,306.592592592593,248.698924731183,767.769230769231,562.513513513514,402.489795918367,0.222222222222222,69.7857142857143
"24","ENSG00000002586.18",289,168.564814814815,833.586021505376,1327.57692307692,330.459459459459,186.224489795918,0.907407407407407,783.107142857143
"25","ENSG00000002586.18_PAR_Y",289,168.564814814815,833.586021505376,1327.57692307692,330.459459459459,186.224489795918,0.907407407407407,783.107142857143
"26","ENSG00000002587.9",0.133333333333333,0.0925925925925926,1.31182795698925,0,0.243243243243243,0,0,0
"27","ENSG00000002726.20",0,0.111111111111111,6.40860215053763,0,0,0,0,0
"28","ENSG00000002745.12",0.866666666666667,0.037037037037037,0.623655913978495,0,1.78378378378378,0,0,8.30357142857143
"29","ENSG00000002746.14",0,0,0,0.0769230769230769,0.027027027027027,0,0,0
"30","ENSG00000002822.15",0.266666666666667,252.5,0.032258064516129,6.61538461538461,0,0.0408163265306122,0.259259259259259,143.821428571429
"31","ENSG00000002834.17",0.933333333333333,361.146851851852,217.329677419355,986.154615384615,265.964594594595,401.84306122449,36.53,5.41071428571429
"32","ENSG00000002919.14",283.333333333333,1.09259259259259,0.010752688172043,0,0,0.448979591836735,0,2.80357142857143
"33","ENSG00000002933.7",0.2,0.0740740740740741,0.021505376344086,0.230769230769231,2.54054054054054,0.163265306122449,0.222222222222222,0
"34","ENSG00000003056.7",908.698666666667,160.162407407407,1207.27440860215,3053.35384615385,578.108108108108,761.411428571429,0.185185185185185,680.914821428571
"35","ENSG00000003096.14",0,0,0,0,0,0,0,0
"36","ENSG00000003137.8",0,0,0,0,0,0,0,0
"37","ENSG00000003147.17",0,0.12962962962963,2.25806451612903,0,0.27027027027027,0.0408163265306122,0,0.196428571428571
"38","ENSG00000003249.13",0,0,0,0,0.027027027027027,0,0,3.42857142857143
"39","ENSG00000003393.14",0.2,0,0,0,0.027027027027027,109.408163265306,0,0.0178571428571429
"40","ENSG00000003400.14",0.466666666666667,40.3333333333333,331.41935483871,16.5384615384615,6.51351351351351,87.9387755102041,27.6296296296296,83.7321428571429
"41","ENSG00000003402.19",2455.62866666667,2693.82814814815,982.056451612903,1201.92307692308,728.486486486486,1018.89795918367,2565.33333333333,660.347857142857
"42","ENSG00000003436.15",0.0666666666666667,0.037037037037037,0,0,0.72972972972973,0.0408163265306122,0,0
"43","ENSG00000003509.15",2.648,0.0740740740740741,2.16462365591398,0,0.135135135135135,0.0204081632653061,0.0740740740740741,37.06875
"44","ENSG00000003756.16",201.066666666667,425.58037037037,743.256774193548,1.84615384615385,852.189189189189,812.68306122449,37.5555555555556,116.585714285714
"45","ENSG00000003987.13",0,12.2962962962963,0.021505376344086,0,0.027027027027027,0,0,0.428571428571429
