Ensembl_ID,C473,C481,LC03,RC02,RC03,LC01,R03,R02
ENSG00000004766.15,0,0.407407407,0.010752688,0,0.081081081,0.081632653,0,0
ENSG00000004776.12,0,0,0,0,0,0,0,0
ENSG00000004777.18,0,0,0.010752688,0,0,0,0,0.017857143
ENSG00000004779.9,54,1174.740741,238.6666667,234,3.216216216,743.6734694,757.6666667,576.2678571
ENSG00000004799.7,0,0,0.010752688,0,0.081081081,0.040816327,0,0
ENSG00000004809.13,0,0,0,0,0,0,0,0
ENSG00000004838.13,0,0,0,0,0,0,0,0
ENSG00000004846.16,0.066666667,0.037037037,0,0,0,0.020408163,0,0
ENSG00000004848.7,0,0,0,0,0,0,0,0
ENSG00000004864.13,0.4,2.962962963,3.333333333,50.46153846,0.351351351,269.7346939,0.111111111,13.92857143
ENSG00000004866.20,0.866666667,0.148148148,0.010752688,0,0.216216216,0.020408163,0.037037037,0.017857143
ENSG00000004897.11,839.864,2097.047593,190.9535484,169.2307692,2006.438108,546.4285714,868.7407407,647.2967857
ENSG00000004939.13,7.866666667,0,0,0,0,0,0,0
ENSG00000004948.13,0,0,0,0,0,0,0.037037037,0
ENSG00000004961.14,194.1333333,112.2222222,16.95698925,11.07692308,12.27027027,24.73469388,21.96296296,85.5
ENSG00000004975.11,125.1333333,0.018518519,0,0.153846154,0.027027027,5.489795918,0.074074074,0
ENSG00000005001.9,0,0,0,0,0,0,0,0
ENSG00000005007.12,2,1.759259259,79.86021505,0.076923077,379.6486486,80.36734694,2.37037037,61.48214286
ENSG00000005020.12,312.4666667,407.537037,448.9354839,1609.230769,2.054054054,3785.122449,353.5185185,484.4821429
ENSG00000005022.5,1256.257333,3904.836667,4036.172903,177.2292308,4700.64027,6630.481224,2.296296296,2202.79125
ENSG00000005059.15,220.2,9.111111111,113.4301075,0.076923077,229.2432432,0.87755102,282.5555556,132.625
ENSG00000005073.5,0,0,0,0,0,0,0,0
ENSG00000005075.15,35.08866667,734.2292593,107.1956989,0.153846154,12.42405405,78.17653061,165.0611111,66.95642857
ENSG00000005100.12,196.4666667,153.5555556,47.29032258,399.3076923,0.135135135,214.1020408,0,31.51785714
ENSG00000005102.12,0,0,0,0,0,0,0,0.017857143
ENSG00000005108.15,0.2,0,0.010752688,0,0.027027027,0,0,0
ENSG00000005156.11,0.066666667,0.294259259,0.043010753,0.923076923,0.054054054,0,903.1111111,0.017857143
ENSG00000005175.9,8.933333333,176.4074074,321.9677419,0,36.75675676,90.46938776,860.4074074,1.428571429
ENSG00000005187.11,0,80.72222222,0,0,0,0,0,31.05357143
ENSG00000005189.19,0,0,0,0,0,0,0,0
ENSG00000005194.14,948.5333333,282.5185185,1.440860215,0,0.027027027,2.857142857,0,73.375
ENSG00000005206.16,0.066666667,0,51.11827957,0,0.054054054,0.040816327,528.8148148,18.44642857
ENSG00000005238.19,0.733333333,0.018518519,1.204301075,0.076923077,0,0.020408163,0.037037037,0.017857143
ENSG00000005243.9,0,0,0,0,0.054054054,0,0,0
ENSG00000005249.12,0.066666667,0,0.010752688,0.076923077,0,0.469387755,82.62962963,0.035714286
ENSG00000005302.17,45.26666667,117.6481481,154.4731183,2343.769231,1.162162162,683.7755102,1.259259259,636.0535714
ENSG00000005339.14,555.4666667,447.1111111,1345.870968,0.538461538,735.8108108,137.9387755,1951.62963,622.3392857
ENSG00000005379.15,0,0.222222222,7.279569892,0,0.162162162,61.02040816,0,0
ENSG00000005381.7,0,0,0,0,0,0.040816327,0,0
ENSG00000005421.8,0,0,0.010752688,0,0.702702703,0,0,0
ENSG00000005436.13,1.8,0.37037037,12.11827957,1.923076923,0.027027027,525.7142857,3.962962963,444.9814286
ENSG00000005448.16,0.133333333,109.962963,157.3333333,779.2307692,0.351351351,48.02040816,0.148148148,35.21428571
ENSG00000005469.11,0,0.12962963,0.161290323,0,0.189189189,0,0,21
ENSG00000005471.15,0,802.3703704,0,0,780.3513514,0.020408163,0,0.053571429
ENSG00000005483.20,1371.717333,5906.777593,7624.865591,8372.692308,4676.540541,4325.979592,3008.444444,4481.420179
ENSG00000005486.16,1.933333333,121.9074074,3.935483871,0,0.810810811,10.63265306,0.037037037,157.1785714
ENSG00000005513.9,0.066666667,0,0,0,0,0,0,0
ENSG00000005700.14,1.133333333,0.462962963,227,0.076923077,308.972973,269.5306122,0,29.19642857
ENSG00000005801.16,81.33333333,61.81481481,63.67741935,30,0.459459459,0.469387755,0.074074074,280.1071429
ENSG00000005810.17,1126.903333,976.5505556,706.3717204,2955.384615,528.7635135,64.63408163,1450.183704,786.62375
ENSG00000005812.10,0.133333333,1.114259259,209.3292473,0.076923077,0,829.7959184,0.814814815,113.1939286
ENSG00000005844.17,327.4666667,709.7222222,405.0752688,0,0.378378378,142.6122449,0.037037037,21.53571429
