Gene,DEG,Degree,Mfuzz,Pathway,Immune
RPN1,1,40,1,9,0
NHP2,1,50,1,6,0
DHX9,1,57,1,7,1
SNRPA1,1,43,1,2,0
CCT7,1,49,1,5,0
RAN,1,48,1,26,1
EIF4A3,0,73,1,14,1
HSPA4,0,67,1,15,1
RBM5,1,28,0,2,0
